S. No.,Category Name,URL if available,Description(Minimum 80 words),location,contact(Multiple If available),Reviews,Rating,Images
,,,,,,"4. Prestige Group was one the leading property developers in South India and one of the leading firm in Kerala. It was pleasure working with this group. The work at Prestige was not organized and we were responsible for all works of the project including planning, checking measurements , billing , variations, Site management etc. Al though it was a great experience working with top level Engineers of South India.",4,
,,,,,,,,
7,Brigade Group, http://www.brigadegroup.com/,"Brigade Group was established in 1986, with property development as its main focus.
Today, Brigade Group is one of South India's leading property developers with headquarter in Bengaluru, branch offices in several cities in South India, a representative office in Dubai and an accredited agent in the USA. Brigade have a uniquely diverse multi-domain portfolio that covers property development, property management services, hospitality and education. The projects extend across several major cities in South India: Chennai, Chikmagalur, Hyderabad, Kochi, Mangalore and Mysore.","Brigade Enterprises Limited 29th & 30th Floors, World Trade Center Brigade Gateway Campus, 26/1, Dr Rajkumar Road Malleswaram-Rajajinagar, Bangalore 560 055",8041379200,"1. Over 7.5 yrs of experience in Accounts, Tax computation and Audit
Master of Commerce with strong knowledge of Tally ERP 9.3
Expert in Receivables, Payables and Bank Reconciliation
Managing statutory obligations like Service Tax, TDS, periodically
Strong working knowledge of MS Office Tool
Excellent team player with strong analytical and organizational skills
Ability to learn new concepts quickly",4,
,,,,,,"2. A lot of opportunity is given to youngsters with good set of training programmes.
New initiatives are taken to involve employees from various levels to involve in company's decisions
The department heads are not easily approachable but there is a grievance procedure system to address an issue",4,
,,,,,,,,
8,The Oberoi Realty,http://www.oberoirealty.com/,"The Oberoi Realty is a real estate developer based in Mumbai, India. It was initially incorporated in 1980 as Oberoi Constructions and later changed to its present name. The group is led by Mr Vikas Oberoi, Chairman and Managing Director of the company.
Over the past three decades, the company has built growth and high stature through consistent high-design and quality parameters. It has developed over 36 projects at strategic locations across the Mumbai skyline aggregating about 6.5 million sq ft of spaces. With another 24 million sq ft in the making, Oberoi Realty has aggressive plans for upcoming projects in various parts of Mumbai and other regions.","Oberoi Realty Limited,
Commerz, 3rd Floor, 
International Business Park, Oberoi Garden City, 
Off Western Express Highway, Goregaon (East), 
Mumbai-400 063. India",22 6677 3333,"1. Weekends off for HO employees
Young staff at the entry level positions
Managers encourage employees to ask questions
Company has a lot of land parcels in prime areas",3,
,,,,,,"2. Growth is slow, depending on what level one joins the company
Too many processes that hinder workings and causes delays
Suggestions for changes in processes are ignored by seniors
Going home on time is looked down upon. People unnecessarily stay back, even if they have no work.",3,
,,,,,,"3. Professional, good teaching practices, PYP, MYP, IGCSE and IB curriculum",2,
,,,,,,,,
9,Sobha Developer,http://www.sobha.com/,"Sobha Developer is the entrepreneurial venture of Mr PNC Menon and was started in 1994. Through this company, Mr Menon helped shape the future of the real estate sector in India with his eye for detail and his determination to persistently deliver best-in-class products. The company which started as a small enterprise 20 years ago is presently a force to reckon with in the Indian real estate industry.
Presently, Sobha has completed 94 real estate projects and 251 contractual projects covering about 6.06 million sq m of area. The company currently has 47 ongoing residential projects aggregating to 2.73 million sq m of developable area and 29 ongoing contractual projects aggregating to 0.81 million sq m of area. Sobha has made a footprint in 24 cities and 13 states across India. Some of its prestigious corporate clients include Infosys, Taj Group, Dell, HP, Timken, Biocon, Institute of Public Enterprises (IPE), Bosch, and Hotel Leela Ventures, among others.","Sarjapur - Marthahalli Outer Ring Road (ORR)
Devarabisanahalli, Bellandur Post,
Bangalore - 560103
Karnataka, India.",80 49320000,"1. A typical day starts with lots of enthusiasm, which motivates to learn all new things at work. Guided by experienced and knowledgeable mentor i have learned various skills in field of marketing and communications. its always a fun to work along with the team of highly qualified professionals and sharing knowledgeable experiences from their work. Hardest part of job is to keep a proper rack of changing market dynamics in real estate which in return shows most enjoyable part of job which is to plan and execute the marketing activities to deal with every situation and maintain the brand and image of company by reaching to target customers in adequate manner leaving strong impact. Overall there are lots and lots of new learning and creativity carving my professional career.",4,
,,,,,,"2. Maintaining the machineries for daily usage.
Attending the problem raised with quick response.
Maintaining good relationship with superiors and juniors.
Day to day work schedule.",2,
,,,,,,"3. Good Working environment, Friendly Colleagues are the advantages.
Learned to work in a corporate environment and had a good exposure to finance department, which s the back bone of the company.",3,
,,,,,,4. good to work in that company. I have learnt a lot from them and also it is the most enjoyable part of th ejob. it was a big company in india .,4,
,,,,,,,,
10,Hiranandani Developers,http://www.hiranandani.com/,"Hiranandani Developers is a part of the Hiranandani Group, which was founded in 1978. Mr Niranjan Hiranandani and Mr Surendra Hiranandani are its present managing directors and also the co-founders.
With its foresight to spot the shifting societal trends, Hiranandani is today a leading real estate group in its flagship business of construction with a pan-India as well as international presence. The Group is known for its projects of Hiranandani Gardens, Powai; Hiranandani Meadows, Thane; Hiranandani Estate, Thane; and Hiranandani Business Park, Powai and Thane. Today, Hiranandani has a dedicated and experienced team of over 1,600 people employed in its diverse community.
JSW Energy is one of the most efficient power generation companies in India. Their plants are the industry benchmark for the high plant load factor achieved, which is a measure of efficient capacity utilisation.","Hiranandani Developers Pvt. Ltd. 
Olympia, Central Avenue, 
Hiranandani Business Park Powai,
Mumbai 400076",22 2576 3600 / 6868 ,"1. 

Pros

Good place to work. Life is balance
",3,
,,,,,,"2. 

Cons

Nothing as such for now. Hike is very low
",3,
,,,,,,"3. Very relaxed attitude and the same accepted by GM and VP
Very long lunch breaks
Can go shopping at your own convenient time even during work hours to HAIKO owned company of hiranandani
Can visit office canteen any time
9:30 to 5:30 working only as if you miss your office bus so no more me wants to wait back and this is ok and acceptable by the very generous management
At 5:25 you can shut your work and leave office, very nice company to work",3,
,,,,,,,,
11,Omaxe, http://www.omaxe.com/,"Omaxe is one of India's leading real estate development companies. It was started in 1987 by Mr Rohtas Goel. In 1989, the Omaxe Builders Private Ltd was founded to undertake construction and contracting business.
Over the years, Omaxe has made a mark with some landmark projects and engineering marvels in metros. Seeing an opportunity in tier II and III cities, the company made a conscious decision to venture into states such as Uttar Pradesh, Madhya Pradesh, Punjab, Haryana, Uttarakhand and Rajasthan,among others.
Presently, Omaxe has spread its footprints in nine states across 30 cities in India.The company has already delivered more than 90 million sq ft and is currently executing 42 real estate projects, among which are 16 integrated townships, two hi-tech townships, 14 group housing projects, 10 shopping malls and commercial complexes and hotels.","Omaxe House, 7, LSC, Kalkaji,
New Delhi – 110019 (India)","11- 41893100,
41896680,
41896776","1. I Can Deals With Farmers, Patwari & other revanue officers.
I can do hard work for long time.",4,
,,,,,,2. Kindly follow the rules and regulations and give respect to your employees because they are only your cash cows.Brokers are important but employee is the face of the company.Kindly keep away the relatives from any of the big decision of the company,2,
,,,,,,"3. 2-3 projects of company are too delayed in work progress, due to wrong decision of management/ Senior level during tendering process.
Rest all were good going.",4,
,,,,,,"4. Cons
Hire and Fire policy
Less or No support by Top management. You are on your own.
No offs/holidays for Marketing/Sales staff
",2,
,,,,,,,,
12,The Jaypee Group,http://www.jalindia.com/,"The Jaypee Group is a Rs 20,000 crore (US$ 3.18 billion) well diversified infrastructural industrial conglomerate in India. Over the decades it has maintained its salience with leadership in its chosen line of businesses.
Transforming challenges into opportunities has been the hallmark of the Jaypee Group, ever since its inception five decades ago. The Group is a diversified infrastructure conglomerate with business interests in engineering & construction, cement, power, real estate, expressways, fertilizer, hospitality, healthcare, sports, information technology and education (not-for-profit).","Jaiprakash Associates Limited 
(CIN:L14106UP1995PLC019017)
Sector-128, Noida - 201304
Uttar Pradesh, India","4609000, 2470800","1. Excellent place to work, great colleagues!

My Portfolio:

- MICE Sales
- Corporate Sales
- Handling all RFP'S on Lanyon.
- Offsite Conferences
- Business Development",4,
,,,,,,"2. Good place to learn
Poor work culture
Job security but low salary
best part is learning technology
Learning helps to grow career in another company later on",2,
,,,,,,"3. very good hospitality for employees,
nice growth,yhe company quote is ""no Dream too big"",its a multiple meaning . very biggest group of company in india.",3,
,,,,,,"4. 1-no any day typical for me at site
2-good management at site
3-i have big team for construction
4-sefty
5-structures finishing work",2,
,,,,,,,,
13,Supertech Limited,,"Supertech Limited was founded in 1988 in the National Capital Region (NCR) by Mr RK Arora. The company develops projects in different verticals of real estate such as residential, townships, commercial, retail, office spaces and hospitality. It has a major presence in Uttarakhand (Uttar Pradesh) and Haryana in the north, and is constructing a project in Bengaluru in the south of the country.
Supertech is the first Indian real estate developer to introduce the precast technology, which is a step further in construction. With the use of this technology, a hindrance-free construction can be carried out in any season saving up to 64 per cent of time as compared to the construction time of a brick house.
Supertech has already converted more than 33 million sq ft of residential and commercial entities. With 40 ongoing projects worth Rs 14,000 crore (US$ 2.38 billion) in hand, the company has over 75 million sq ft under construction with projects such as North Eye and Supernova in Noida, Uttar Pradesh.","Supertech House
B 28-29, Sec-58,
Noida - 201307, India",120-4669991,"1. Co-operative team members,
great learning of HR processes,
lots of initiatives taken with the support of management,
challenges faced are enjoyable",3,
,,,,,,"2. 9 hrs work are long,should be short,weekly off sould be regular
More employee friendly
Should be good work condition
Good collegues
Good boss
etc",2,
,,,,,,3. No matter what the best part is seniors are willing to guide juniors and have faith in the Learnt banking FBT etc over there.Co-workers are good There was no hardest part.We use to enjoy Birthdays and ocassions.,4,
,,,,,,"4. Supertech Limited group is very nice ,such as sailery comes on periodically but less sailery as compared to work & management staff is good",2,
,,,,,,,,
14,Unitech Ltd,http://www.unitechgroup.com/,"Established in 1972 by a group of technocrats, Unitech Ltd is one of India’s leading real estate players. It began as a consultancy firm for soil and foundation engineering and has grown to have the most diversified product mix in real estate, comprising of world-class commercial complexes, IT/ITes parks, SEZs, integrated residential developments, schools, hotels, malls, golf courses and amusement parks.
So far, it has built more than 100 residential projects. Nirvana Country in Gurgaon, for one, is an integrated development complete with villas, apartments, offices, retail spaces, schools and clubs. The company has also developed world class malls such as Metro Walk in Rohini, The Great India Place in Noida, and Central in Gurgaon, all of which have been hugely successful. Currently, 4.5 million square feet of retail space is under construction in cities like Mumbai, Kolkata, Bengaluru, Hyderabad, Chandigarh, Dehradun, Amritsar, Bhopal, Mysore, Mangalore, Lucknow, Kochi, Trivandrum and Siliguri.
The recent launches have been Gardens Galleria in Bengaluru, Noida and Mohali, Great India Place in Bhopal and Dehradun, and Downtown in Mohali.","Unitech Limited
Unitech House L Block,
South City - 1,
Gurgaon - 122001
Haryana",124.4125200 / 4125328,"1. Working atmosphere is good, except for the salary. I have got very good technical experience and could grow up to present level. I got a chance to learn very lessons from the top managements as well as from my immediate bosses for the betterment of my future. Presently the company undergoing a very tough situation from the last 2-3 years and the employees are also in strife. Hope The Almighty help the top management to bring the company into a position better than earlier in the nearest future. Through out the service were very enjoyable.",4,
,,,,,,"2. Had to report to the Managing Director and see that his office functions smoothly. Doing correspondence independently. Make appointments for MD, receive mails, attend phones, etc.",3,
,,,,,,"3. One of the leading real estate development companies in India, Unitech Limited is the best launchpad a fresher can get to learn the ABCs of the construction industry.",4,
,,,,,,4. A very good company to work with. Gained a good amount of knowledge on real estate and i'm happy to work under one of the asia's big builders..,5,
,,,,,,,,
15,Godrej Properties,https://www.godrejproperties.com/,"Established in 1990, Godrej Properties is one of the leading real estate development companies in India. The Mumbai-based organisation is the first real estate company to receive ISO certification. With projects that span across the country, the company's upcoming development covers 83 million square feet (sq ft). To create landmark structures, Godrej Properties collaborates with outstanding associates and reputed names. The company aims to deliver superior value to all stakeholders through extraordinary and imaginative spaces created out of deep customer focus and insight.
Godrej Properties’ portfolio is diversified, spanning 12 cities across India and containing residential, commercial and township projects. The company has featured among the top 10 construction companies in India for the past four years in a study by the journal ‘Construction World’. Planet Godrej, one of the company’s premium residential developments in Mumbai, was declared the ‘Best Residential in Western India’ at the CNBC AWAAZ CRISIL CREDAI Real Estate Awards in 2009 and 2010. The company also received a seven-star rating by CRISIL in 2010.","Godrej Properties Limited
Unit No 5C, 5th Floor,
Godrej One, Pirojshanagar,
Vikhroli East,
Mumbai - 400 079",022 - 6169 8500,"1. very nice culture..
supportive management
takes care of every employee
i have never seen a company which is so much employee oriented
very safe for female employees",4,
,,,,,,"2. very nice company
funloving atmosphere
good opportunity
management is very nice
annually abroad trip
meeting and party every month",3,
,,,,,,"3. Good place to work for.
opportunity to explore new ideas.
Better collaboration within teams which helps in achieving the goal.",4,
,,,,,,"4. GPL is a good company to work for but the ahmedabad region is way behind in terms of planning, forecasting & implementation.",4,
,,,,,,,,
,,,,,,,,
,,,,,,,,
16,DLF Ltd,http://www.dlf.in/,"DLF has over 60 years of track record of sustained growth, customer satisfaction, and innovation. The company has 314 msf of planned projects with 52 msf of projects under construction.
DLF's primary business is development of residential, commercial and retail properties. The company has a unique business model with earnings arising from development and rentals. Its exposure across businesses, segments and geographies, mitigates any down-cycles in the market. From developing 22 major colonies in Delhi, DLF is now present across 15 states-24 cities in India.
DLF is credited with introducing and pioneering the revolutionary concept of developing commercial complexes in the vicinity of residential areas. DLF has successfully launched commercial complexes and is in the process of marking its presence across various locations in India.","DLF LTD.
DLF Centre, Sansad Marg,
New Delhi- 110001",11-42102030,"1. While dealing with a lot of vendors and various Group BUs simultaneiouly - Vendors: negotiations and getting the jobs done and at the same time, following up with Group BUs for getting the payments released to the vendors in time. This is the almost every day's scenario.

* How to deal with the Stressed work atmosphere.

* Very good

* Very friendly & co-operative.

* Nothing

* Independent handling of the ascertained job ",3,
,,,,,,2. My long term experience in the service industry has taught me how to meet and exceed each customer's expectations with service that sells. I have assisted all types of customers in all types of settings and realize that acquiring and maintaining loyal repeat business as well as spreading the word of your business through these loyal patrons is of the utmost importance in every company. Positioning a company for better exposure and greater marketability is a task that I have performed with success many times,3,
,,,,,,3. Its a very balance organization . One can enhance the experience working with them. When i worked with company i really came to learn lots of differnt experience of work which one find only working with such a gamut organisation. Really nice platform.,3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
17,Gaursons India,http://www.gaursonsindia.com/,"It’s not what we claim; rather it’s what our customers say. With a proud history of delivering projects on time and as per promised specifications, GAURSONS is a name to reckon with when it comes to real estate in NCR. With a burgeoning list of residential projects that encompass high end apartments to highly affordable accommodations occupied by thousands of happy families, GAURSONS stress on customer’s trust has become the winning mantra.


GAURSONS India Limited needs no introduction in the world of brick and mortar. The company has significant presence in NCR with various projects successfully completed and delivered.


GAURSOSNS India Limited stands for ""The synonym of trust in realty"" with its projects Gaur City, Gaur Cascades, Green Avenue, Gaur Heights, Gaur Ganga, Gaur Homes Elegante, Gaur Grandeur and Gaur Gracious, Gaursons has left no stone unturned in giving the best deals to their buyers. The company's latest projects namely “Gaur Mulberry Mansions” and “Gaur Saundaryam"" in Noida Extension are the latest projects in luxury living.


Further GAURSONS has entered into the retail business with the launch of 'Gaur Central Mall' at RDC, Ghaziabad. GCM is an extraordinary mall blending International standards with modern life and convenience.


Today, after successfully building number of landmark projects and achieving substantial amount of success in residential projects, the company is geared up to build major townships and commercial projects that will have hi-tech infrastructure and ultra-modern international facilities. The company intends to emerge as the leading realty and space developer in India with a future line-up of projects planned across the country. Gaursons' vision is to be prospected amongst the best and most innovative real estate developers in the country by creating value for their customers through excellence in corporate practices and real estate products.

","Gaur Biz Park
Plot No-1 , Abhay Khand II
Indirapuram Ghaziabad-201014",0120-4343333,"1. Hardworking management
Learnt a lot of new things
Genuine people",4,
,,,,,,2. The role of the Manager is to provide overall leadership and direction in managing the day-to-day operations of the engineering team while leading and motivating the department people resources.,3,
,,,,,,"3. Applied on the Job portal then face to face round of the interview. After interview salary and document check, salary negotiation, offer , joining and then background verification by third party.",2,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
18,Century Real Estate,www.centuryrealestate.in/,"Century Real Estate, with its headquarters in Bangalore, India was founded by Dr.P.Dayananda Pai and Mr.P.Satish Pai in the year 1973 with the primary objective of transacting in the simple buying and selling of land. More than 35 years later, the Company has evolved into an integrated, full service real estate development company that has transformed Bangalore’s urban landscape and is credited with several of Bangalore’s landmark developments such as Manipal Centre, Taj Residency, Vijaya Bank Head Quarters and Diamond District to mention only a few. Century Real Estate has the unique distinction of having purchased land on M.G.Road at INR 5 per square feet way back in 1973 where today the quoted prices are in the range of INR 20,000 per square feet.

Regarded as one of the oldest and most respected companies in the Real Estate space in India, the growth of Century Real Estate has practically mirrored the growth of Bangalore as one of Asia’s fastest growing cities. Today, we are the largest owners of real estate in Bangalore with a land bank in excess of 3000 acres representing more than USD 2 billion in asset value and a development portfolio of over 10 million square feet comprising hotels, office buildings, residences, educational institutions and integrated townships spread across South India.","Century Sales  Galleria
Opposite Sahakaranagar Cross
Bellary Road
Bangalore 560092 India",80 4433 4400,"1. 

Pros

There have a good and energetic environment to work, and I want to know more about HVAC system and uncut emergency supply with BMS system it's like a small industry but consumes more power than others

Cons

that was my new experience to work in a mall industry and feel good to work there, in that type of industry basic culture is different than a production plants, so many peoples are coming there to spend their weekend to shop, Game, and food with full of joy but beyond there lights and colorful environmental have some critical issues it consumes more skills of a engineers and technicians
",3,
,,,,,,2. more reliable and professionals have to join there to grow it faster,2,
,,,,,,"3. Nice workplace ,central location,and very co-operative staff.Great learning experience.",3,
,,,,,,,,
,,,,,,,,
19,ashianahousing,https://www.ashianahousing.com/corporate,"At Ashiana, we believe in earning your trust and respect through actions, not just words. What exactly do we mean by earning trust and respect through actions? Here are some examples.
Putting up price lists on our website for total transparency.
Sending quarterly work progress report with the latest photos to customers.
Providing after possession services.
Just a few reasons why our customers believe they are in safe hands. Our logo and the tagline conveys the same thing. The initial impression the logo gives is an impression of 'a' from Ashiana. But if you look closely, it is also a baby in a mother's safe and comforting embrace, symbolizing the safety and trust in Ashiana.","4th Floor, Village Centre
Ashiana Village, Vasundra Nagar
Bhiwadi - 301 019 
Distt. Alwar (Rajasthan)",01493-515615,"1. Strongly oriented towards employee welfare, Strong ethics and core values, excellent support mechanism among team members. People find reasons to laugh, have courage to share failures.. an excellent place to work!",3,
,,,,,,2. Complacent at times and inward looking,2,
,,,,,,3. Need to work on HR policies and benefits for the employee. Had to work on some incetives and perks for the employees.,3,
,,,,,,,,
,,,,,,,,
20,Tata Housing Development Company,http://www.tatahousing.in/,"Myst is a gated development located on top of a private hill. The master plan takes inspiration from hilltop villages with public plazas and paved streets flanked by residences of contemporary design.Expansive mountain views, indigenous plants, clean air and cascading streams of water become a part of the living experience, adding a new dimension to luxury living. The result isn't just architecturally accomplished - it’s a way of living in harmony with natural beauty that is both pleasurable and sustainable. Never before has luxury been more sensitive in its approach and more evolved in the statement it makes about those who choose to live here.","Naurang House, Kasturba Gandhi Marg, Connaught Place, New Delhi, Delhi 110001",070421 63589,"1. During early stage rounds with a senior position lady from their HR team I noticed something weird about her. She was abruptly looking here n there from the left corner of her eye then the right one/ rolling her eyes first clockwise, then anti-clockwise. It didn't take me long to figure out that she had an OCD or a Tourettes syndrome.",3,
,,,,,,"2. Pros

Experience was good. Everyone was helpful

Cons

Growth path and extent is limited

Advice to Management

Faster process of training
",2,
,,,,,,"3. My recruitment was directly from college after my PG.
Process driven
Employee Driven
Best HR policies in industry.",3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
