S. No.,Category Name,Description(Minimum 80 words),contact(Multiple If available),Reviews,Rating,Images
3,K. Radhakrishnan:,"Indian Space Research Organisation (ISRO) chairman and Padma Bhushan Dr. Radhakrishnan created and unleashed a historical moment when Mars Orbiter became first Indian spacecraft to enter Martian orbit in a maiden attempt. In December recently, he also guided ISRO to blast its heaviest ever rocket GSLV Mark-III, paving the road to manned space missions.",,"1. 2014: Radhakrishnan received the Padma Bhushan Award for his contribution to Science and Engineering, especially in the field of Space Science and Technology.",4,
,,,,2. Radhakrishan is the big name in the indian space organisation. He having alot of achievement. ,3,
,,,,3.He also write books and getting the place in top 10 world scienties,3,
,,,,4. We proved on you. ,1,
,,,,,,
4,Arvind Kejriwal:,"Former bureaucrat and current Aam Admi Party (AAP) supremo Kejriwal hogged the political landscape of Delhi during his 49 days of turbulent chief ministership that took a number of controversial decisions. A strong votary of India Against Corruption, he recently ended all speculation by declaring he will contest polls from New Delhi seat.",,"1. Arvind Kejriwal led Delhi Govt. is first in the history that has significantly engaged people's participation in governance.  I have never seen such govt. in my life that has fulfilled the key promises made during the election campaign like 50% subsidy in electricity bill up to 400 unit and 20000 litre free water per month. I am currently living outside India but was in Delhi during those 49 days. I Just talked to my friend in Delhi. Despite being a strong critique of AAP, she now admires Delhi Govt. for having no power cut and water problem in summer. The extortionist corruption has been reduced significantly after empowering ACB. The opposition like BJP and Cong has rattled to such an extent they are leaving no opportunity to obstruct them from delivering on the ground. That speaks volume about the success of Delhi Govt.'s governance. More power to AAP !",5,
,,,,"2. AAP is working in full swing almost in all sectors  in Delhi  despite of altercation with Lieutenant Governor ,  BJP and Media's vilification agenda because they have sole motive of delivering what is promised .

From the development works I really admire the focus towards the deteriorating condition of education sector.",4,
,,,,"3. Scarcity of Teachers in Schools -> Currently Government Schools having single teacher for 100 students (1:100) while actual requisite ratio is  1:40. 
20,000 teachers to be appointed by next year for government schools including selection of guest teacher after proper examination.",4,
,,,,"4. 500 Schools Target for 5 years 
    a) 45 schools construction started 
    b) Double shift to be started in 79 Schools.
    c) Land identified for 60-70 new schools .Construction to be started in 
    d) Cctv in schools and classrooms . ",3,
,,,,5. Sir @ArvindKejriwal undoubtedly you are a nautanki n full time drama CM but no.1 film critic of all time. ,4,
,,,,,,
5,Kapil Sharma,"Known for his spontaneous humour, Kapil Sharma made the biggest climb this year as he ranked 33rd in the Forbes India Celebrity List of 2014. From being an under-paid theatre artist to a most loved host of the popular TV show Comedy Nights with Kapil where almost every Bollywood celebrity wants to promote their films, this man from Amritsar has seen a stellar growth. He is now geared up to make his debut in Bollywood with Abbas Mustan’s upcoming flickKis Kisko Pyaar Karu.",,"1. Kapil Sharma has always been my favorite comedy artist and in this show too he'll never let you down. His awesome comic timing will make you laugh like mad.

There are many other artists in the show including Ali Asgar as Dadi and Sumona as Mrs. Kapil Sharma. The show is very popular in India and even in abroad. A must watch for all the people because life is to enjoy to the full and comedy nights with Kapil will help you for sure. Kapil Sharma has always been my favorite comedy artist and in this show too he'll never let you down. His awesome comic timing will make you laugh like mad.The concept of the show is also very good.",3,
,,,,"2. Comedy nights with kapil is a family program, all character play good performance, in this I like kapil, shimona and guthi.One of the best actor which I like most is ghutthi, he is realy good character.As ghuthi is a male but he realyhe play the role of female very nicely and confidently, the famous dialogue or u can say role is that when he say ap aye ho humare yha pey fool khile h gulshan gulshan fool khile gulshoon is famous dialogue and I love to also.This show really raise the Trp so soonly.",5,
,,,,"3. Guys, have ever seen like that show? Ihve never been seen. Its a really good laughter show. Kapil is great man who taking its ownership. And his team mindblowing actors. Sumana, sunil, kiku, upasana everyone who are the part of its having lots of experience. Among them Kapil Sunil are the lightning charecters.",5,
,,,,,,
6,Shahrukh Khan,"Ranked as the second-richest actor in the world in 2014, Shah Rukh Khan has an enviable asset worth US$600 million. With 14 Filmfare Awards and other global awards in his kitty, he was declared as the “the biggest movie star you’ve never heard of ” by the Los Angeles Times. King Khan’s latest flick Happy New Year turned out to be the biggest grosser of the year with a collection totalling Rs. 382 crore as of November 2014. The philanthropist in Shah Rukh made him adopt 12 villages to provide with electricity as part of the solar energy harnessing project’s initiative.",,"1. e is the best person ever born He is biggest star in the world he defeated tom cruise,Jhonny dep in popularity and in richness.....
He respect womens he is great actor Amitab B said Srk is bigger star than me dilip kumar says Bollywood can create 100 salman and amir but only god can creat 1 srk i love him somuch he is my ideal he is true king",5,
,,,,"2. No. That movie was horrible. Demonetization might have had a slight effect as people are busier queuing up in front of ATMs than movie theaters. But, that movie was nothing compared to the original Rock On!. Huge disappointment.",1,
,,,,"3. I agree, Irrfan Khan is one of the only actors who fit in well with the hollywood set. SRK should stick to Indian cinema, thats where his fan base and acting resides. I see no reason why hollywood should consider SRk in any of their films except to get more exposure of their films to Indian viewers",3,
,,,,"4.Shah Rukh Khan(born Shahrukh Khan; 2 November 1965), also known as SRK, is an Indian film actor, producer and television personality. Referred to in the media as the ""Baadshah of Bollywood"", ""King of Bollywood"" or ""King Khan"", he has appeared in more than 80 Bollywood films, and earned numerous accolades, including 14 Filmfare Awards. Khan has a significant following in Asia and the Indian diaspora worldwide. In terms of audience size and income, he has been described as one of the most successful film stars in the world",4,
,,,,"5. SHAH RUKH KHAN. If you don't know him just google'World's Biggest Movie star'. You heard it right . He is world's biggest movie-star. The Los Angeles Times declared him ‘'World's Biggest Movie star'. According to the recently published world’s highest paid actors list by Forbes, Khan is eight on the list with estimated wealth of$33 million, leaving behind popular Hollywood stars like Brad Pitt, Leonardo DiCaprio.

His debut in television industry through Fauji in 1989. He played the character Abhimanyu Rai which made him quite popular leading to other serials like Circus and Idiot.His debut movie Deewana released in 1992 starring Rishi Kapoor as lead and Divya Bharti. This movie earned him Filmfare(Bollywood’s Oscar) Best Debutant Award.Khan’s negative roles in Darr & Baazigar is most appreciated. He win his first Filmfare for Best Actor for Baazigar. In 1995, his significant release Aditya Chopra directorial is Dilwale Dulhaniya Le Jayenge(DDLJ) became blockbuster both in India and overseas. DDLJ is the longest running movie in the history of Indian Cinema.

His much awaited movie Raees releases next year. He currently wrapped up foreign schedule for Imtiaz Ali’s next. He plays dwarf in Anand L Rai next which releases Christmas 2018. He also is in talks with Aditya Chopra.

Hope Khan’s magic continues forever. Read more on my blog(",5,
,,,,,,
,,"Hailed as the thinking man’s actor, Mr. Perfectionist Khan’s latest entry with a poster flashing him in the buff, PK has been rated among 2014′s Top 10 biggest opening movies of Bollywood. His Satyamev Jayatein its third year on TV has well established him as the conscience-keeper of the nation. Not many would know that the great freedom fighter Maulana Abul Kalam Azad was his great grand uncle.",,,,
,,,,,,
7,Baba Ramdev,"Besides being a yoga guru and a strong proponent of Ayurveda, Baba Ramdev is also a business maven. Owner of a business empire worth Rs.2,000 crore, Ramdev’s net worth is greater than many corporate honchos. A prominent face of the anti-corruption movement, Ramdev is one of the nine people invited by Modi to join the ‘Clean India’ campaign. He has recently announced his plans to open 500 schools to revive Gurukul system of education in India.",,"1.Hello friends, Few days back I purchased patanjali aarogya aata . I had seen the advertisement and thought of purchasing the product for trail basis. The product is very good and when mixed with water, the aata is mixes well and Roti's and chapati's can be baked easily.

The price of this aata is affordable . 5kg package comes for Rs145 only.

The chapati's smell good and doesn't have a impurities added which helps this product to give good portions for health benefits .

This product is available in almost all grocery stores. Packaging is also well maintained which helps customers to carry the pack easily.",4,
,,,,"2. We are using it from 6 months in my family and its one of the top Atta which is good for health and tasty. We make everything just like Laddu, Bati and Halwa etc.

This Atta is made of good wheat grains, quality is good and chapati's made well. Like other Atta their is no adulteration.

There some of the negative pointsstrong text which I don't like from company and Atta.

• Packing is not good because I find it damaged many times.

• Also there are some wheat weevil inside Atta which make it more difficult to consume.

• Its also costly compare to other available Atta in market.

• After meshing Atta for 1-2 hours superficially it becomes blackish on top. After this 2016 monsoon we are getting some bad quality Atta from Patanjali.

• If Patanjali wants to create good esteem other than local flour mills, they should have put some effort on quality control and customer satisfaction on basis of sample of wheat grains, year of crop and species of crop.

• In advertisement there are some 12 rupees and 18 rupee/k.g. Atta is coming but in market its not available.

• It is not mentioned that Patanjali wheat grain planted in chemical fertilizer or natural fertilizer.",4,
,,,,"3. I am very concious about my and my family's health . as we all are having the mind set of perfect produtcs of patanjali so I bought that honey of patanjali.

But it is not at all pure due to few of reasons whether it is taste as this is giving us sugar taste but the taste of honey is very different.and the texture as well.",3,
,,,,4. Improve the health of the contry persons by yoga and desi products. Improve contry econome.Good work baba g.,5,
,,,,,,
8,Sachin Tendulkar,"The master cricketer is also the youngest recipient of the Bharat Ratna award. Tendulkar also became the first person without an aviation background to receive the honorary rank of group captain by the Indian Air Force. The only player to score more than 30,000 runs in all forms of international cricket, Tendulkar also holds the world record for playing the highest number of Test and ODI matches. Forbes ranked him as the 51st richest sportsman in the world for the year 2013 and also the world’s highest-paid athletes for the same year with total earnings estimated to be $22 million.",,"1. Sachin is the greatest batsman in the world. He plays very well. No one can compare with him. He made100 centuries in cricket world.

Sachin is very humble person in his life. Everyone likes sachin tendulker. Sachin Tendulkar lives in Mumbai with wife Anjali. He has two children, son Arjun tendulkar and daughter Sarah Tendulkar.",4,
,,,,"2. The greatest ever cricketer the world has produced. His presence in the indian team destroyed the mindset of every opposition team. His ability to play the straight and cover drive was as sublime as ever.

He is very nice as a personality and has given every bit for indian cricket team. He has became the role model of crores of people across the world. His batting strokes were full of class and comfort.

He was the first man on planet to score double hundred which really made every indian proud of him and his achievement. He is the greatest ever cricketer of all time.

",4,
,,,,"3.Sachin Ramesh Tendulkar. This is a name described to tell anyone what batting is. Sachin in his prime years was a nightmare for any world class bowlers. The way he decimated bowlers was incredible. Still Remember 90's Indian Cricket when all Indian Television used to switch off the moment he got out. He was like a lone warrior, a cricketer who wasn't involved in any sort of controversies. This was Sachin as a cricketer. Off field too, he used to conduct batting well. Great player!",3,
,,,,"4. I personally feel that player like Sachin should play next World Cup. His just existence in team is enough 2 create pressure for another team.

His decision to retire is a big drawback for the Indian team. Keeping his own performance is equal 2 rest of team.",5,
,,,,"5. Sachin tendulkar is one of the gretest batsman of the world history.He is also known as the master blaster .He is born on 13 April 1973 .He is the former Indian captian and a great batsman .

He made his test debut on 15 November 1989.He  holds the record of most runs in one day as well as test cricket. He is the only batsman to score hundred centuries in international cricket. He was the first

Cricketer to score double century in one day cricket",5,
,,,,,,
9,Chetan Bhagat,"The Indian author was adjudged “the biggest selling English language novelist in India’s history” by The New York Times. It took just 3 months for his book ‘Revolution 2020′ to sell one million copies. At the age of 36, Bhagat entered the Time magazine’s list of World’s 100 Most Influential People 2010. His debut as a screen writer for the movie ‘Kick’ was a huge success as the Bollywood flick entered the Rs. 200-crore club within two weeks of its release. Having made reading a cool habit among India’s youth, Chetan can boast a following of 4 million on Twitter, way higher than luminaries like Shashi Tharoor and Vijay Mallya.",,"1. It is good book in which a bihari boy loves a girl from Delhi.it's a good book for the lovers of now a days .It realtime shows whats the value of love now a days .In this book The story is about Madhav and Riya, who meet in St. Stephen’s college in Delhi. Madhav is from a small town, almost rural area in Bihar. He joins St. Stephen’s and falls in love with Riya. I really don’t want to say more as it will take away something from the reading experience. All I can say is there are lots of twists and turns in Madhav and Riya’s story.",5,
,,,,2.Since Chetan Bhagat is very popular writer in the world. Five Point Someone is a type of story based on the current situation on present day. Everyone get full enjoyment while reading book. This book is readability for all kind of people. Chetan Bhagat books are all good but this book is best among other. I appreciate writer of this book and I highly recommended to others to read this book once and I wish this book will be best selling book across the world.,5,
,,,,"3.The beauty of this book is the way it has been narrated. I am a big fan of this book and time just flies as one sits and reads the book. The extremely humorously nature of novel with the twists and turns makes it a must read for all not only for the IIT aspirants. The story touches upon many things at the same time such as sacrifice of family, friendship, tensions of getting jobs etc. The lucid flow and language used by the author wins the heart of the reader for so many reasons. Only one thing I assume that the book is written for a particular age group. People from different age group may not like it. This is my individual opinion and I would be happy to be wrong,",4,
,,,,"4. This book is really wonderful.I just can't explain you people the relaxation I had after reading this book.As chetan Bhagat is one of my heart hacking writter, i read his each and every book.But this one is really marvellous and offcouse interesting too.If you people have any grievances or miserable thoughts, then just go throw this book.This book has nothing to do with your grievances, but I promise you that after reading this book there will be a cute smile and quite happiness and relaxation on your face.So please, do read this book",4,
,,,,,,
10,Sundar Pichai,"In a major shake-up at Google, co-founder CEO Larry Page made Sundar the new product king who became responsible for everything that Google offers from search, ads Google+, maps, commerce and infrastructure teams. The meteoric rise of young and brilliant Chennai-born Pichai from a senior vice president to #2 position is a calculated move to continue building vastly successful products aligned with the teenager mindset.",,"1.Pichai reiterated that Google was in talks with telecom operators and regulatory authorities in the country to bring Project Loon to India, especially for rural areas which lagged in connectivity. Overall he focussed on an India first focus. "" We do work hard to bring our services to India. We're working hard to bring project Loon. Increasingly we also do thing first in India like YouTube Offline which started in India and is now in 77 countries. It is a goal to build things here. We do things we can build here at scale which will apply to the world,"" said Pichai.",4,
,,,,"2. The book gives an incisive look into the world's most innovative tech company and the man chosen to lead it. It gives us a glimpse of Sundar's attributes and here is my version of it - Sundar will do what he believes in, and he believes in what he does. At Google, he is known to weather constraints and convert what others may see as a disadvantage into an opportunity. Pichai's current success owes a great deal to his ability to lead difficult projects successfully by listening to people and derive cues from what is happening around him. And Larry believes that Sundar has the ability to manage people and get them to collaborate with each other in a manner that borders on leadership mastery along with the talent for creating products that are technically excellent yet easy to use as in case of Chromebooks based on SSD which proved that the fastest Windows laptop would possibly be slower than the slowest Chromebook. In total this book offers a rare glimpse into the fascinating ecosystem of a path-breaking company. An inspiring book that must be read by tech geeks.",5,
,,,,"3.Pichai : The Furture of the Google is a lucidly written biography of Sundar Pichai written by Jagmohan S. Bhanver . Books holds only a very brief account of Pichai's lifefrom being a school student to the designation as the CEO of a Tech giant Google . Author had embedded the events which leads Pichai to steadily climb the ladder of management to top .
Situation :",3,
,,,,"4. He told the students to not worry about taking risks. In fact, he encouraged it.  ""It is worthwhile trying to take risks, it may not work out the first time around, but it will work out in the long run,"" he said. ",5,
,,,,,,
11,Smriti Irani,"From being a quintessential ‘bahu’ and a popular face of Indian television to holding an important portfolio of Human Resource Development Minister, Smriti Irani’s rise in politics has been steady. Within days of assuming office, the Minister had to face the flak for announcing plans to give a “Hindu perspective” to school curriculum. The youngest member in Modi’s cabinet has set herself on the task of reforming the teacher education system. Smriti also runs an NGO that provides water solutions to villages.",,"1. Irani faced public outrage and the opposition’s ire over her handling of the episode related to Dalit research scholar Rohith Vemula’s suicide. This incident snowballed into a political flashpoint with the Opposition alleging that the HRD ministry pushed for the punishment of Dalit students, including Vemula, by sending five reminders to the Hyderabad university’s vice-chancellor on a complaint from labour minister Bandaru Dattatreya. Opposition parties alleged Irani distorted facts.
In another row, involving the JNU students’ union, Irani became the target of the Opposition as she tried to defend the central government’s action. Her over-zealous pitch for patriotism prompted Opposition to call her ‘Aunty national’.",4,
,,,,2. The minister drew flak after she suggested Indian Institute of Technology to introduce Sanksrit in their institutes. She had set up a committee to promote Sanskrit in educational institutions.,3,
,,,,"3. The minister’s educational qualifications came under scrutiny immediately after she took charge in May 2014. Critics argued how the country’s education portfolio could be handed to a person who had not even gone to college.
A case was filed against the minister over allegations that she made contradictory claims about her education in documents filed in different years with the Election Commission. In her April 2004 affidavit to the EC Irani said she completed her BA in 1996 through a long-distance or correspondence programme from Delhi University. In 2014, ahead of the general elections, she claimed she had completed a bachelor’s degree in commerce from the School of Open Learning, Delhi University. Her claim to have a degree from Yale University also was lampooned. The university clarified that she had only attended a week-long programme, India-Yale Parliamentary Leadership Program, in 2013.",4,
,,,,"4. The premier management schools raised objection to the HRD ministry’s move to include provisions in the IIM bill that could concentrate powers in the hands of the ministry. Facing heat, Irani’s ministry held several rounds of meetings with the IIMs and later decided to modify/delete the contentious clauses.",4,
,,,,,,
12,Virat Kohli,"The Indian vice-captain holds the unique record of scoring the fastest century by an Indian batsman. A naturally aggressive batsman, Kohli is looked upon as the next big thing in Indian cricket after Tendulkar. Ranked as the 2nd most marketable athlete in the world by a sports magazine, Virat Kohli overtook Dhoni in terms of brand value after signing a Rs.10-crore deal with Adidas. Virat recently surpassed the cricketing legend Sachin Tendulkar as the most followed sportsperson on Twitter.",,1. Virat Kohli is now my favorite cricketer after Sachin Tendulkar. I love his batting a lot. He is a superb player and can turn any game wherever India is playing. He has almost scored more than 20 centuries and has already broken many records.,5,
,,,,"2. A 26 year old boy is the nation's hero. 5 years back he was selected for national team and after that there was no looking for this cool hunk. He is the run machine for India for last several years. A master of chasing scores virat kohli is the next big thing in India. At 26 he got the captaincy of Test team.

Even God of cricket machine has admired him and said only he can break his records.He is Also the captain of RCB in IPL.

Though it's too early too say but we can hope that in virat we can get 2nd sachin.

",4,
,,,,"3. Virat Kohli is One of my favourite player. I would say The Dashing man, The Best Personality and yes! of course, Mr. Arrogant. yes I agree sometimes he behaves arrogantly in public. Sometimes he also looks aggressive, but being aggressive is not the bad thing.

I personally believe that if you are aggressive for something, it shows your passion towards that. And if you are passionate towards your work, there is nothing which will stop you. That's what I found in virat kohli. He is too much passionate towards his work/goals/dream.

Everyone has their own plus points and flaws. Its upto you only. that how you are going to use it. No One is perfect. As he uses his aggressiveness towards his game, I would say it is totally right. These feelings come from heart and it is very for one to control. Virat is also one of them.",4,
,,,,"4. Cricket has always been the most loved game by indians.There always been a tesned state on cricket fans face what will happen if our master blaster Tendulkar gets retire from cricket.

But we always have alternatives if a best players retires new best playera emerges and such a player is VIRAT KOHLI young, stylish and a sensational batting style with great positive attitude.from the day he came to indian cricket team his batting and runs are reflected clearly.

First virat started with the 19 world cup he lifted it up and made his place in indian team.being such a young player he has still now scored 22 hundreds and more than 6500 runs.He is a run machine for indian team.

Virat kohli reached many milestones in such a small time span fast to score 20 hundreds, fastest to score 5000 runs, fastest to score 6000 runs.all indians fave faith in him that he will be the next sachim for indian team but I say no both players are different and have equal potential and dedication towards cricket.

I would say he is the one of the most favourite batsman of indian cricket team.many indian hearts have attached to it.keep playing keep scoring.

...
",5,
,,,,,,
13,Manohar Parrikar,"Hand-picked by Modi to lead the Defence Ministry, Manohar Parrikar is the new entrant in the Union Cabinet. He is considered the one who made BJP acceptable in Goa – a state with a significant Christian vote. Within one month of assuming office, the ex-Goa Chief Minister zeroed in on indigenisation of defence equipment to reduce the dependence on imports. Besides aiming 100 percent indigenisation in some equipment, the IIT Bombay alumnus has also set his eyes on building infrastructure to start exporting defence equipment.",,"1.Manohar Patrikar has been a great move on from AK Antony.
he looks to be a man of substance and his stern statements against terrorist activities and proxy wars are encouraging. He, as a Defence Minister , has made it very clear that India is not here to preach peace and further he was also lauded for his statement ""terrorists should be neutralised through terrorists"" .
Thus I firmly believe that the reigns of the ministry of defence are in the hands of a able man.",5,
,,,,"2. If you are talking about safe in the sense of personal safety, then yes it is.

The Army grooms each person before they commence their proper service in the Army. You surely wouldn’t face any difficulties. Also, almost at every station at which you are posted, there are numerous Lady officers which have equal authority and respect to their male counterparts.

So, if you really want to join the Army, go for it! Don’t let these things concern you.

Good Luck!",4,
,,,,"3. nfortunately, over the last few days since the Indian Army's Special Forces carried out a covert operation to eliminate a few terrorists on Pakistan soil, Parrikar has carried out surgical strikes on our senses. Not a day passes without his inane comments flooding the media. Parrikar might be an exceedingly honest man and a hardworking minister in the Narendra Modi Cabinet but that hardly gives him the license to try and raise political capital out of a military offensive. The BJP has been accusing rival political parties of trying to politicise the surgical strikes but truth to tell, nobody has made the onerous attempt more than Parrikar himself did.",4,
,,,,,,
14,Mary Kom,"Nicknamed ‘Magnificent Mary’, this fighter from Manipur became the first Indian woman boxer to get a Gold Medal in the Asian Games in 2014. The biopic on Mary Kom grossed a whopping Rs.104 crores worldwide within one month of its release. Both Padma Bhushan and Arjuna Award came her way in 2013. She is the only Indian woman boxer to have qualified for the 2012 Summer Olympics and won a bronze medal.",,"1. India has produced many legends in the field of sports. But barring the ones in cricket and few others in other games, we hardly can recall prominent names who have made a mark. Mary Kom is one such personality who became a known name for most Indians only after her victory in the 2012 London Olympics. Her story is extraordinary, her struggle is unparalleled. In short, she deserves a biopic that would make her story known to people all around the world. Debutant director Omung Kumar takes up the challenge and comes up with a fairly nice tribute to the boxing champion. Sadly, it could have been the film of the year but few factors doesn’t allow that to happen.

The story of the movie: Mangte Chungne Zang(Priyanka Chopra) is based in Manipur and is interested in boxing. Her father(Robin Das) however is averse to his daughter’s hot temper and obsession for boxing. Unknown to him, Mangte starts learning boxing under Coach Singh(Sunil Thapa) who rechristens her as Mary Kom. She even falls for Onler(Darshan Kumar). Although she is a pro at boxing, she has lot of hurdles in her way. She is from a country where her home state Manipur is not considered a part of India. She is from a country where women boxing is unheard of. Her father strongly disapproves of her boxing and Coach Singh disapproves of her desire to get settled and start a family. How Mary bravely faces these odds and manages to become world champion not once or twice but as many as 5 times is what the film is all about.",5,
,,,,"2. Despite flaws, this movie must definitely be worth a watch courtesy Priyanka, the extra-ordinary actress as well as Mary Kom, the legendary sportswoman of India. Very good review Fenil. Compliments. Let me watch this movie as soon as possible.",3,
,,,,"3. Kom, who had previously fought in the 46 and 48 kg categories, shifted to the 51 kg category after the world body decided to allow women’s boxing in only three weight categories eliminating the lower weight classes",3,
,,,,,,
15,Mukesh Ambani,"Reliance Industries chairman Mukesh led Yahoo India’s 2014 search list of finance newsmakers. Despite a tough economic environment, he managed to grow his business exponentially and is mulling to invest over Rs.1.5 lakh crores in new ventures ahead. His recent decision to soft launch Reliance Jio this year in 4G segment is seen as a game-changer in the telecom world. The takeover of Network 18, India’s large media conglomerate has also signalled its intentions to consolidate its interests in media market.",,"1. Fourth placed Mukesh Ambani with a fortune of $29 billion has global ambitions, Forbes said. So has his younger brother Anil Ambani ranked 36 with a $13.7 billion fortune.",4,
,,,,2. Mukesh ambani sir is a good gifted business minded person. He always taken the decision for develope your company revenue.He is totally business minded person.,2,
,,,,"3. Ambani family are money minded and business oriented approch .They are not having good relations between their family.Comparision with TATA , ambani's not thinking more about society.",4,
,,,,,,
16,M.S. Dhoni,"Widely considered as one of the greatest finishers in limited-overs cricket, the captain of Indian cricket team has brought the winds of change. Dhoni has the best Test and ODI records among all Indian captains. Over the years, he has built the reputation of delivering even in the most hostile situation. Dhoni ranked 22nd in the 2014 Forbes list of highest paid athletes in the world. His earnings in 2014 is estimated at $30 million. A biopic on Dhoni, M. S. Dhoni: The Untold Story, is slated to be released in 2015.",,"1. I really like Dhoni's one-liners especially ""You don't play for the crowd, you play for the country.""",4,
,,,,"2. Now Obama has to prove if he is the Dhoni of the World. Seriously. And, Gorilla would soon turn out to be King Kong. Surely.",5,
,,,,3.Good motivated movie toward cricket and also for parent to encourage their childrens toward towards games.As ms dhoni charactor in movie play great role in movie. I specially recommanded this movie to parents & their children.face of sushant singh is also similar to our great indian player ms dhoni,4,
,,,,4.dhoni I always appreciate your spoken English...but what you said today...I think it's dialogue of my life...what a quote..I love the maturity in your batting...Now am fan of your eloquence too.........beauty of quote....great tribute to the God...,3,
,,,,,,
17,Anil Ambani,"The chairman of Reliance Group, Anil was back in action after he acquired the hydropower assets of Jaiprakash Associates for around $2 billion outsmarting Gautam Adani’s bid. He was among the nine Indians chosen by prime minister for Swachh Bharat campaign. The Mumbai Metro under Reliance Infrastructure became functional creating a global record with 30 million commuters in mere100 days.",,"1 Mission of Anil ambani is To attract, nurture, grow and retain the best leadership talent in every sector and industry they operate in .",5,
,,,,"2.Reliance Communications (RCom) and Reliance Jio Infocomm, owned by his elder brother Mukesh, have 'virtually' merged. ",4,
,,,,,,
18,Amitabh Bachchan,"The 72-year legendary screen icon recently won the International Icon of the Year award at the recent Sansui-COLORS Stardust Awards. A social media pro, his Facebook following crossed 18 million on Facebook and 12 million on Twitter. His upcoming Wazir promises a great action thriller flick for all his fans.",,1.Amitabh Bachchan is an Indian actor who has appeared in Hindi movies. He is often regarded as one of the greatest actors of Indian cinema.,5,
,,,,"2. No word about amitabh sir , he is the god of hindi cinema.",5,
,,,,"3.After the long journery in indian cinema ,amitabh ji also facing a struggling time in his life .but god always with him and provide a chance to change his destiny in the form of KBC.",4,
,,,,"4.He is a good actor, excellent husband , good father and now a good indian",3,
,,,,,,
19,Rahul Gandhi,"The Vice-President of the Congress party has long been carrying the tag of a ‘reluctant politician’ whose comments on political and issues have courted huge controversies and gone viral on social media. Known for conducting extensive tours across the country and reaching out to poor, Rahul was chosen the CNN-IBN Politician of the Year quite early in his political career “for emerging as the rallying spirit of the Congress and the face of India’s young politicians.”",,"1. In a bid to demystify ‘Brand Rahul’, Decoding Rahul Gandhi chronicles his political path, which is different from that pursued by his mother Sonia, father Rajiv, and grandmother Indira. Although the 42-year-old Rahul has borrowed a few elements from them, he has carefully and deliberately added new ideas, strategies and practices from the world of business and management. Rahul’s philosophy is a form of corpo-politics, where management principles are applied to political leadership, and socio-politics, where beliefs in inclusive growth are ingrained in overall strategies. Why have Rahul’s plans flopped so far? His initiatives to inculcate ‘internal democracy’ in the Congress’ youth and student wings were well-intentioned, but lacked a clear-cut thrust and have failed to grapple with realpolitik. ",4,
,,,,2.The whole nation wants to know that is Rahul Gandhi dating someone and if he is not dating anyone then when he will be getting married. In the year 2014 during the Lok Sabha election he confessed that he will be getting married soon after he will be getting some perfect life partner.,4,
,,,,"3.One who doesn't take care of his own mother, will he be sensitive to your suffering",3,
,,,,,,
