S. No.,Category Name,URL if available,Description(Minimum 80 words),location,contact(Multiple If available),Reviews,Rating,Images
,,,,,,"2.fantastic place, good location. If you will come jodhpur then you want see
 this place.",4,
,,,,,,"3.It's amazing place.Most beautiful place I ever seen.must visit Umaid 
palace. I like marwadi food..must visit clock tower.I take food at shandar 
restaurant. I like lassi .lasan chatani at restaurants. Like so much",5,
,,,,,,"4.It's very beautiful palace and nature palace. I have not saw this palace in 
my life.",4,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,Club Mahindra Valley resort,,"Club Mahindra Valley Resort Binsar is perched on top of a hill with a spectacular view of the snow capped peaks and the Almora
 Valley which is the epitome of serenity and tranquillity. Surrounded by abundant garlands of alpine flora, ferns, hanging moss and
 many other species of wild flowers, this is as close as one would get to heaven. The resort in itself is beautiful to look at with its 
slate roofing, stonewalls and beautiful wood carvings, typical of the Gupta period. It fits well amidst the alpine flora, hanging moss 
and vibrant spray of wild flowers that carpet the village.","Almora Takula Bageshwar Road, Bhainsori Post, Almora, Sunoli Mafi, Uttarakhand 263684",083929 10583,"1. Serene silent place.... you can hear water fall so clearly... such a lovely
 ranges.. Abundance of greenery all around makes everything so fresh and 
beautiful... words are less to express the beauty of this place ... a must visit
 place to have silent comfy break from hectic places... ",4,
,,,,,,"2. Resort is like a house, feels like on a vacation. No feeling of hotel and having
 pleasure experience, will visit again. The problem is distance only which is far 
from station or from connecting roads",3,
,,,,,,"3. The unique experience to stay in log huts in hill top, with breath taking views
 fm the balcony, trekking in the mountains, bird watching, viewing the sunset fm 
the sunset point, was an overall amazing experience which we will cherish life 
time ",3,
,,,,,,"4. This is among one of the best maintained Club Mahindra properties. The 
studio apartments are well furnished and superbly maintained. The sofa's in 
the room are unfortunately too soft and not great for sitting. Ground floor 
apartments are compromised for privacy. The service is outstanding and very 
responsive.",4,
,,,,,,"5. The property doesn't need any description, standard quality like all their resorts, 
pretty well maintained, spacious, luxurious and ample. No complains in that or the 
room service or any other aspect.
Jack their bird watching guide was a joy infact to move along with on mornings we 
spent for Bird Watching. ",3,
,,,,,,,,
9,Sattal Forest resort,,"Enjoy views of the surrounding lakes and hills from your private cottage at V Resorts - Sattal Forest Resort. Located at an altitude 
of 1,524 m in the heart of the Kumaon Hills, the resort has a 24-hour front desk and its very own restaurant. Located near the 
quaint town of Bhimtal in Nainital District, Sattal Forest Resort is 12 km from Praathmik Swaastha Kendra, a health centre. 
Pantnagar Airport is approximately 55 km from the resort. Large glass windows and panelled doors front each cottage, which 
comes with heating and a private bathroom with hot water. A seating area and TV are also included.",Uttarakhand 263136,081307 77222,"1. My room location is very nice because my room was lake view room.
The rooms are fine; staff attempt to be helpful, breakfast is good. Bathrooms and water 
supply as well. The Hotel Staff and Both Managers are nice people. Food are also 
beautiful. I enjoyed food. Rooms and hotel also neat and clean.
You get to see the entire valley and evenings are very relaxing. If it rains when you 
around, you feel like you got the value for your money and a bit more. ",4,
,,,,,,"2. Its one of the best properties, that I have been to...and I am not talking about luxury or 
5star place. But a beautiful location, where the staff will make you feel home and do their 
best and to cater your needs. Thanks to Mr.Shailendra (Manager) and other staff 
members for their hospitality. The food is homely and tasty!! We were in a group of 9 
and everyone loved the place!!!",4,
,,,,,,"3. Serenity is the word you will say when you visit this place. The property has been built 
away from the city on the hills. It's so peaceful and calm that you just fall in love with the 
place. We had one whole apartment booked so it was like having your own private home
 on the hill top. The view from our balcony was amazing.",3,
,,,,,,"4. Amazing view from resort, Food & services were really fantastic ,the Tea could have
 Better. wish they had used milk in tea instead of creamer. overall this is my first family 
trip even first time my mother visit Uttarakhand. & she is very happy i couldn't have been 
happier. ",4,
,,,,,,"5. We were a group of 8 friends went to this hotel. It's in a very secluded place but 
considering the location & beauty of nature it's a must go place, especially for people 
those who seek peaceful places and away from the crowd. This resort is good but food 
is over priced. Go for a package wich includes all meals coz there is no alternate..and 
getting food from outside is next to impossible. Room services are bit slow considering
the distance between cottages. They give u a mobile and there is no land line to
 communicate with the hotel staff. We spend our maximum time in indoor games, which 
was awesome. Rooms are good. Location & view is superb",4,
,,,,,,,,
10,Brahmaputra Jungle resort,http://www.brahmaputraresort.in/,"Welcome to the wilderness of Brahmaputra Jungle Resort a wild rustic jungle retreat and a paradise for nature lovers. Situated in village Tapesia under Sonapur Circle on a plot of land measuring 20 acres, not far away from the International Airport or the Railway Station at Guwahati and just a kilometer from NH 37, the Resort is fast developing into an international tourist destination with guests from various parts of India and abroad visiting. Just 14 kms from Guwahati, the capital of Assam and gateway to the most virgin tourist destination - THE NORTHEAST INDIA, awaits for you the most beautiful and exciting place on earth. Located on top of a hill, with a waterfall and a mini-lake, and surrounded by tea gardens on the front and Amchang Wildlife Sanctuary at the back, Brahmaputra Jungle Resort, in pure jungle ambience, yet fully secured, is just the ideal destination to enjoy your holidays with your near and dear ones.","Near Laxmi Bai Institute of Physical Education, Tapesia, Kamarkuchi Sonapur, Guwahati, 
Assam 782402",097060 99380,"1. A must visit place when you are in Guwahati,Good & friendly staff.Beautiful place 
with lush green environment.Plenty activities to do. stayed for 2 days. very relaxing 
and good place for nature lovers. ",4,
,,,,,,"2. great place to be with your family for a super duper weekend ,,nice food ,well 
behaved stuff and most of all a perfect natural beauty all around..be there and hVE 
FUN..AND IF YOU ARE A FOOD LOVER THAN THIS IS THE BEST PLACE FOR 
TRADITIONAL CUISINE..",3,
,,,,,,"3. The location of the resort is indeed ideal to justify the name- Jungle resort. The 
resort has a main building attached a few spread out structures with rooms. The 
distance from the rooms to reception is substantial and road is rough to walk. 
While the resort has some nice adventure game facilities, the rooms are not 
adequately maintained and laid out. The stay therefore is not very comfortable. 
Some improvements would make this a much better place to stay for families. ",5,
,,,,,,"4. This resort is located on top of a hill, with a waterfall and a mini-lake and is 
surrounded by tea gardens on the front and Amchang Wildlife Sanctuary at the 
back, It boasts of pure jungle ambience. We had children with us who enjoyed the 
elephant ride, pony ride, trampoline, water ball and many other activities. ",4,
,,,,,,"5. I've been visiting Brahmaputra Jungle resort since a long time now. its always
 been a good experience since the location of the resort shares its border with 
Amchung Wildlife Sanctuary. the environment is completely nature oriented. and the 
plus point is that, the resort is just few kms away from Guwahati city. the resort is 
very well maintained and they have surely been successful to keep their customers 
satisfied with good food, hospitality and a scenic location. its been a good 
experience visiting this resort. and i would recommend other people as well to 
visit Brahmaputra Jungle Resort and have a good time.",3,
,,,,,,,,
11,Balaram Palace,http://www.balarampalace.com/,"Balaram Palace Resort, once the hunting retreat of the Lohani Nawab of Palanpur, is now a Heritage Classic hotel. It was built between 1922-1936 by the 29th ruler of Palanpur. It is a graceful manifestation of neo-classical and baroque architectural style. Situated amidst the Aravallis in the 542 sq. kms of Balaram Ambaji Reserve Forest at the tip of North Gujarat it borders Rajasthan. The palace is set in 13 acres of terraced upland rising from a hilly stream and surrounded by lush green gardens and designed flower beds.  The palace was visited by several dignitaries during the British Raj, including Lord Mountbatten.
A stay in the palace takes the tourist into the bygone Nawabi period to experience the real Nawabi ambience and architecture of northern Gujarat. The palatial huge rooms with antiques all around give a sense of royalty. The hunting point existed 3/4th of a century back. Everything around is picturesque and nature is at its best. ","Off. Abu-Palanpur Highway No. 14,Banaskantha, Chitrasani, Gujarat 385010",02742 284 278,"1. Balaram Palace Resort can be rated as one of the best palace resorts available 
in Gujarat.
Built in the midst of jungle with all the luxurious amenities available for stay as well 
as recreation. Lush green lawns with beautiful fountains is a view to remember.
Its said that this was the hunting palace of then nawab.. jessore bear wildlife 
sanctuary is nearby this resort. ",5,
,,,,,,"2. The ambience of the resort is very serene and soothing to the eyes. We feel the 
ambience worth our money. The lush green gardens spread over large area is a
 treat to eyes. The rooms are very big and they maintain the ethnic and historic look.
Resort staff is very very cooperative",5,
,,,,,,"3. Gorgeous gorgeous place!! Early morning was beautiful!!! ( considering that was
 the only time we were in the hotel as we checked in at midnight and checked out 
post breakfast) the rooms have a old world charm with very high ceilings. Some 
rooms have high beds so there is a step provided to get on to the bed. There was 
also a room with a large low sitting!! Verry royal!! ",5,
,,,,,,"4. I love the place, the surroundings, the ambiance, the decor, the food - it's regal, 
it's royal, it's elegant. Roads to get here from Ahmadabad is very decent. A must 
visit if you want to just forget everything for a wee bit and just travel back in time. ",5,
,,,,,,"5. On our way to mount abu from ahmedabad, we decided to stay one night here. 
Location of palace is off Ahmedabad - Mount abu highway and hotel did good job 
of placing signages at right places. We stayed in Gold room which is very basic 
and needs immediate upgrade.  Backside garden shared with all 4 gold rooms is 
nice area for kids to play and my 
5 year kid loved it.",4,
,,,,,,,,
12,Wild Chalet resort,,"Perched on the banks of the Banjar River, Hotel Wild Chalet is the ideal gateway to Kanha National Park. All the beguiling cottages, with a spray of bouganvillae growing over their sloping tiled roofs, command a magnificent view of the river with a backdrop of lush forests, The spacious and extremely comfortable rooms at Wild Chalet Resort are equipped with all modern amenities to ensure a perfect retreat in the Wilds. Individual Sit outs and hammocks strategically positioned are the perfect place to soak in the sun on a winter morning in Kanha National Park.","Village Mocha, Kisli, Near Kanha National Park, Mocha, Madhya Pradesh 481661",07649 277 205,"1. This place is right on the river Banjra, it was dry in May but could imagine the
same at monsoons would be a cozy place to visit in start of the season. ",,
,,,,,,"2. It was a certain breakthrough in amidst the wild that we experienced at the 
WILD CHALET RESORT. The Resort Manager, Mr.Dhiraj, was very co-operative and 
at his toes for us all the time. The experience was simply stunning as the property 
was not just beautifully placed, but also widespread.",,
,,,,,,"3. It's the best place to be if you are visiting Kanha. Located very near to the National 
Park, this property scores highly in terms of accommodation which is beautiful and 
unique, considering it has been the oldest property in Kanha. The food is also very 
good and offers plentiful variety for breakfast, lunch & dinner. The surroundings, 
with a river and light forest, is definitely plus point especially for bird lovers ...
the experience which was enhanced by their in-house naturalist Anukul who made 
our little nature walks oh-so worthwhile. Thanks to the help of Mr. Naqvi who 
ensured that our stay with them was pleasurable. Highly recommended to all. ",,
,,,,,,"4. This resort is situated very close to the core area of the Kanha National Park & 
next to a River. Best location of the resort out of all of them in Kanha. Helpful staff & 
enthusiastic to help and serve always. All the meals are the best.",,
,,,,,,"5. This was my second stay at this indeed nice resort, with a *very* hospitable staff 
and excellent food. The jungle (Kanha National Park) is one of the best in the world 
for tiger sightings. ",,
,,,,,,,,
13,La Cabana,,"Conveniently located in Goa, La Cabana Beach and Spa Resort is a great base from which to explore this vibrant city. The
 excitement of the city center is only 25. Km away. No less exceptional is the hotel's easy access to the city's myriad attractions 
and landmarks, such as Ashvem Beach, Morjim Beach, Chapora Fishing Area. Take advantage of a wealth of unrivaled services 
and amenities at this Goa hotel. Top features of the hotel include free Wi-Fi in all rooms, 24-hour security, daily housekeeping, 
taxi service, 24-hour front desk. La Cabana Beach and Spa Resort is home to 42 bedrooms. All are tastefully furnished and many 
even provide such comforts as television LCD/plasma screen, internet access – wireless, internet access – wireless
 (complimentary), air conditioning, wake-up service. Whether you're a fitness enthusiast or are just looking for a way to unwind 
after a hard day, you will be entertained by top-class recreational facilities such as outdoor pool, spa, massage, garden. Whatever 
your purpose of visit, La Cabana Beach and Spa Resort is an excellent choice for your stay in Goa. ","Ashvem Beach, Ashvem Wada, Mandrem, Goa 403527",088886 36334,"1. Great location , bang on the beach , well maintained tents and chalets... Small pool , 
but with the beach just outside , you really dont need it. Beach was clean and quiet. 
Place is quite far from popular attractions , so you have the beach for yourself. The staff 
were courteous lead ably by their dynamic manager Mr.Harihar.. ",4,
,,,,,,"2.  Lovely Beach Resort with great Villas. Location is a little issue but the moment you 
get there your experience changes. Lot of Pros: The View, Breakfast has a good spread, 
the staff are awesome and response time is great. Lot of space for small groups to sit 
and relax and have a gala time. Have a small pool next to the beach.
Cons: Location is a bit on the interior side and beach next to the resort is rocky, Hotel 
Restaurant is little expensive.
Overall a great place to be is in GOA.",,
,,,"
",,,"3. We stayed here in tents ... U will feel heaven after staying here ... Though food is not 
that great for veggies.. Ideal place for married couples .. Not at all commercialised ... 
Direct ocean view from each tent...Value for money not over priced. ",,
,,,,,,"4. Loved the location.Decent food and service.Must visit.The pool should be open till late 
night to enjoy night time.Need live music there to make it more lively.Can utilise the 
property in better way as it is spacious.",,
,,,,,,"5. Suits are good but required pest control , lizard was in bathrooms and rooms also, 
which is not acceptable, food is average, service average, location is very good but 
required trained staff. adjoin to sea beach, pool site is good. ",,
,,,,,,,,
14,The Hills- Sakleshpur,,"Nestled on the foothills of Western Ghats, enveloped in mist and milky clouds hanging at a touching distance, The Hills Resort
 in Sakleshpur is undoubtedly a traveller's paradise carved out of nature. Amidst mighty mountains shouldering a century-old 
temple, rolling tracts of lush greenery, endless expanse of coffee estates, this nature resort is a handy base to explore Western
 Ghats to utmost and be close to it.","Nelagalli Village, Hanbal Hobli, Sakleshpur, Karnataka 577132",094813 89629,"1. beautiful place,epecially for senior citizens.homely atmiosphere herbal envoirnment,
good food hygenic rooms.staffs are very polite,service minded,quick response.
really we appreciate Mr.Nandakumar who is all in all,with smiling and diplomatic
attitude towards us.only draw back no play area for kids,other activities can also be
included.",3,
,,,,,,"2. If you have powercuts then it is a bit hot there, without power , as they rely only on
 generators and they don't keep the generators running continuously.
But the hospitality and everything else is good.
Its also close to makanagadde trek and bettada bairaveshwara temple along with a nice 
waterfall as well.",,
,,,"
",,,"3. This resort is amazing. The staff will do anything to make you smile.
We stayed in swiss cottages and they were really 5-star like with AC and TV and huge 
room/bathroom. Food was outstanding. All the meals we had (breakfast, lunch and 
dinner) were delicious and very much like homemade. ",,
,,,,,,"4. Sakleshpur is a small place on the Western Ghats and easily accessible as its next to 
NH48. Not much to do here so one to two nights trip is the ideal option. The Hills is a very 
well maintained property with courteous staff.",,
,,,,,,"5. As part of my family trip, I was looking for some best stay options in Sakleshpur, and 
that is when I came across ""The Hills"". I went through their site, and as well as read 
reviews, and they all seemed very authentic, so I finally booked Indonesian cottages for 
2 nights. Booking process was very smooth, staffs were very professional... ",,
,,,,,,,,
15,Jungle retreat,,"Jungle Retreat, Ooty, is an unconventional way to enjoy an adventurous vacation in the wilderness. This captivating 
getaway in the tropical woodland offers great views of the panorama. It also gives an opportunity to connect with nature. 
The countryside cottages made of natural materials, piquant meals, an inviting swimming pool and vital facilities together
 contribute to a long lasting experience.Jungle Retreat is a family run establishment; a combination of wilderness, serenity 
and comfort appreciated by travelers 
from across the world. We, the Mathias family, have lived on tea plantations for years, in close proximity to the jungles of 
Tamil Nadu. Nestled in the foothills of the Nilgiris and skirting the Mudumalai Wildlife Sanctuary, Jungle Retreat was born of 
this close bond with our surroundings."," Bokkapuram Village, Masinagudi. Nilgiri Dist. Masinagudi - 643223
Tamil Nadu, India",097873 21170,"1. Jungle retreat just rocks! The service is amazing lots of food! you always have 
company, the view is amazing too. They are high chances you may see a leopard in the
campus. this place is simply brilliant. They have vaccinated dogs and cats too! I would 
recommend this place for anyone and everyone! Keep up the AMAZING work Jungle Retreat!",4,
,,,,,,"2. Situated at the foothills of the mountains and edging into the forest, this is a lovely 
lovely property, where you could find a herd of deer parked behind your room or wild 
elephants having a walk through the grounds or any number of different species of 
birds flying around.",,
,,,,,,"3. Just as the title suggests, Jungle Retreat is definitely heaven on earth, never ceasing 
to amaze.The drive up to the resort leaves one filled with intrigue,through the winding 
road, with just open spaces on either side and the blue mountains in the distance",,
,,,,,,"4. As per as name concerned its a really retreat aw-some place to visit .nice place nice 
hospitality and the good point is that you can see hundreds of deer roaming in front of the 
cottage really that is worth food is good but expensive overall experiencing is nice and 
please be aware of wild animal in the night they dint have any fence our boundaries in he 
resort its in the jungle after dinner we saw wild boar sitting in the front of our room and 
group of wild dog in the morning in front of pool wild elephant can see easily from the 
dining area.",,
,,,,,,"5. Strategically located , excellent view , Rustic and blends with nature. Very friendly staff .
If one wants to stay close to the jungle this is the place. july to September is the best time
 to visit the place . ",,
,,,,,,,,
16,Hampi’s Boulders,,"Hampi's Boulders in Hampi is a captivating resort nestled amidst towering hills and gushing rivers. This unique holiday home is
 approached with a network of water eroded boulders. Every guest at this resort is treated with great care and hospitality. Urbane 
pleasures, delectable food and well laid out cosy accommodations make it further desirable. The choice of standard non A/c
 rooms, standard A/c rooms, executive A/c rooms and executive suites are available at Hampi's Boulders. The aesthetically 
designed rooms are not only inviting but functional too. They have a lovely adjoining balcony. These well-appointed rooms with 
an uncluttered decor are truly complacent. The basic in-room conveniences include writing desk and telephone.","Narayanpet, 2 Km from Basapur, Bandi Harlapur, P.O. Munirabad, Koppal District Hampi - 
583227 Karnataka, India",094480 34202,"1.Hampi is a very historic place . Give a very nice feeling as u enter inside this ancient
 place . It's also hot during the day .advice to move out after 4 pm it's get nice and cool . 
Sun glasses and cap is must . Also advice taking a guide to know the history and points of interest and save time ",4,
,,,,,,"2. Most amazing place i've been to. Views from the room are breath-taking. Lot of hard 
work has been put in to create the place and maintenance is awesome. It is a must for 
Nature lovers. Natural elements are used in every detail. Very tasteful creation. Food was
 excellent and service too. DONT MISS IT!!",,
,,,,,,"3. We thought we'll love Hampi discovering it's rich heritage last year Christmas weekend. 
Wifey being a history buff.....N guess what ..best part of the trip turned out to be... this 
amazing Resort ... We just didn't wanted to step out of this adventure land...waterfall ...hills
 ...n ya lots of Boulders obviously... ",,
,,,,,,"4. Imagine a stay in a cottage overseeing a river and being frequently visited by dozens 
of different bird species. Monkeys decorate the branches and if you are up early and quiet 
enough you can catch a glimpse of river otters playing and the head of a giant crocodile
 idling swimming by. And if you venture outside the property for a jog or walk, little will 
prepare you for the serenity and beauty of infinite rice fields undulating in the breeze. Yes,
 this was our experience at Hampi's Boulders, one that will linger in our memories for years!",,
,,,,,,"5. Hampi Boulders is a place for renewal. The care that has been taken to preserve the 
tranquility, the cleanliness, the wildlife and the environment generally is a joy and most 
unusual in India. ",,
,,,,,,,,
17,Haritha Coconut Country Resort,,"Haritha Coconut Country Resort is surrounded simply by the beauty of nature in Dindi. Well-maintained rooms, offering of essential amenities and serene atmosphere ensure guests a pleasant stay.","Dindi Malkipuram Mandal, Kakinada Dindi - 533253 Andhra Pradesh, India",099128 77055,"1. Stayed here on the Houseboat for a night with friends. Was a fun experience. The Boat 
check in is at 10 Am amd during the day they go up and down stream. We reached late
 so we only did one leg for about 4 hours and it was great especially during sunset. ",3,
,,,,,,"2. It is one of those place where you go because of the beauty of the place. The Hotel is 
still not completely renovated. The rooms are decent adjoining the gorgeous Godavari. ",,
,,,,,,"3. The property is magnificient but very poorly managed
Restaurant is very bad
Rooms are very big and ok
Swimming pool also ok
The location on the river front is very good",,
,,,,,,"4. This resort is on a superb location. Right on the banks of the river. The water at the 
river is deep so you can't get in or play in the water. The hotel has a 5ft swimming pool.",,
,,,,,,"5. The Haritha Coconut Country Resort run by APTDC (the state tourism development 
corporation) is a largely clean, well managed resort on the banks of Godavari river with 
stunning river views. All suites have direct view of the river, and many normal rooms do 
as well. ",,
,,,,,,,,
