S. No.,Category Name,URL if available,Description(Minimum 80 words),location,Reviews,Rating,Images
,,,,,"2. I know, I know, this is India, and if you're paying 700 rupees a night you've got to expect things to be a little rough around the edges. We looked at the room before paying, and sure, it seemed a bit dingy, but it smelled of Neem cleaner and looked tolerable. But after settling in and lifting the top bedsheet and finding all sorts of crumbs or flakes of something, that cast some doubts. The holes and stains in the pillowcases were pretty gross but we just tried not to think about it. The water pouring out of the toilet tank when you flush wasn't too encouraging either. But the worst thing was that the ""quiet"" room we'd specifically requested, which had seemed decent in the afternoon, got really loud as everyone came in via the elevator during the night, holding the door open so that the elevator kept repeating some prerecorded music and message over and over until my partner asked them to keep it down and the guy at the front desk basically laughed at him. If it hadn't been 11:00 PM we might have tried to switch hotels that very night, but it was a bit late for that, so we somehow made it through the night and got the hell out of there in the morning. Best I can say about the place is that I don't THINK it had bedbugs... but I couldn't say that with confidence (when the mattress is red, how can you tell?), and I have put the clothes I was wearing in the freezer for a while, just in case.",1,
,,,,,"3. This property is located in Grand Bazaar, Jawaharlal Nehru St right next to the market area and is less than a 15min walk to Aurobindo Ashram as well as the other sites to be seen like the Pondicherry Beach.
However, the fact is that this is a lodge and not a Hotel. So don't expect any sort of Hotel service, beds, etc. I had booked a Double bed AC room & was charged 1125 (after a 25% disc on the 1500 room charge). This is certainly much higher than other good 'actual' hotels in the area.
Staff were courteous, spoke English well..",3,
,,,,,"4. My stay in Sri Saibaba guest house was really awesome, the main advantage of this property is it is located in the main place of pondicherry which is J.N. Street and it is surrounded by numerous shopping centers other tourist places are also wihin reachable distance. I had a great time staying in the guest house with my family.",4,
,,,,,,,
9,Mahabodhi -Bodhgaya,www.mahabodhi.com,The Mahabodhi Mahavihara Bodhgaya Temple is located in Gaya district of Bihar state. Mahabodhi Temple is world famous Buddhist temple where the Buddha have attained enlightenment. The Mahabodhi Temple Complex also has a holy Bodhi tree and the Bodhimanda Vihara monastery.,"Bodhgaya, Bihar 824231","1. Buddha, during his 3rd week of enlightenment, did meditation at this location which is next to the Great Bodhi tree.15 steps now denoted by Lotus on stone are to be seen here. Three days we went and these steps were decorated with Lotus and many other flowers. You can meditate, reflect on the life of Buddha and more importantly his teaching at this sacred site....It is within the Mahabodhi Temple complex.",4,
,,,,,"2. this is not perhaps the original site of the Muchalinda lake, but i suppose for logistical reasons it has been included in the temple complex. its rather ordinary with a kitschy statue in the centre of the manmade lake which is not appealing",2,
,,,,,3. Nice place to sit and relax. Can walk around the lake also. calm and quiet place. it will be nice to be there in early morning or in the evening.,3,
,,,,,,,
10,Ranakpur -Pali,http://www.ranakpurtemple.com/,"The Ranakpur Jain Temple is located in Pali district of Rajasthan,between two beautiful cities Jodhpur and Udaipur. The spectacular Jain temple of Ranakpur is dedicated to Adinatha and known for its Light colored marbles. Jain temple of ranakpur is one of the grand jain temple and most visited place in jainism.","Ranakpur, Rajasthan 306702","1. Ranakpur Jain Temple is one of the most beautiful temple complexes in India. Built in marble, the temple has 1,444 elaborately carved pillars and none of them are alike. The temple lies in Aravalli valley and can be accessed from Udaipur or Jodhpur. We visited the temple on our way from Udaipur to Jodhpur, which was convenient but it is worth a visit even if you have to make excursion just to see the temple.",5,
,,,,,"2. These temples are very nice and, unfortunately, not cleaned in hidden areas. If you are a traveler, the entrance fee is too big and it is better to make an outside round tour and then move on to the other three smaller temples",3,
,,,,,"3. The temple is almost 600 years old and has some amazingly beautiful carvings. Located amidst the hills, deep in the jungle, it gives a sense of quiet and serenity",4,
,,,,,"4. The renowned Jain temple at Ranakpur is dedicated to Tirthankara Adinatha.Over 1444 marble pillars, carved in exquisite detail, support the temple. The pillars are all differently carved and no two pillars are the same. (taken from google)

If ur a history or an architectural lover u shd defiantly visit this place...pls ensure ur not visiting this place in the scorching rajasthan summer, but again the cool breeze and calmness inside the temple makes u feel gud.

Tips...Eatables and water not allowed inside the temple, a camera or a smartphone will cost u 100 rs if u want to take pictures.",2,
,,,,,,,
11,Amarnath Dham -Srinagar,,"The cave of Amarnath is considered to be most famous 
and holiest shrines of great God, Lord Shiva in Hinduism. Amarnath Temple cave situated at an altitude 3,888 m (12,756 ft) near Srinagar and surrounded by snowy mountains. An ice stalagmite Lingam formed annually in the caves due to freezing of water during the month of sharavan.","Baltal Amarnath Trek, Forest Block, Anantnag, 
Pahalgam, Jammu and Kashmir 192230",1. This place is located near pahalgam anantnag. It is the Holly place for Hindus . Every year lacs of pilgrims went their for visit.,1,
,,,,,2. It's just awesome one needs to visit it to experience it words alone are not sufficient to explain the experience hats off to the security personals of crpf BSF n Indian army,4,
,,,,,"3. Darshan of Baba Amarnath 
The only way to visit amarnath caves that baba bholye call u 
Most dangerous tracks breathtaking mountain picks challenging waether make the it a life time experience",3,
,,,,,"4. I have visited there couple of times, first time in 2014 via pahalgam route. As is the case in kashmir, nature is always and everywhere at it's best, but it is very disappointing to see how the pilgrims have ruined the ecosystem of these high mountains by usage of plastics, polythene and litter all along the way.",1,
,,,,,,,
12,Shree Jagannath Temple -Puri,,"The Lord Jagannath temple is located in coastal town of Puri in Orissa, dedicated to Lord Jagannath. Shree Jagannath is a Hindu temple and one of the fourth pilgrimage destination for Hindu, Char Dham. The Rath Yatra of Jagannath Puri temple is well famous annual festival celebrated in the month of June.","Temple Road, Puri, Odisha 752001",1. Jai shree Jagannath....famous for car festival aslo known as ratha yatra....well maintained by the government as well as the temple authority...,4,
,,,,,"2. The Puri Jagannath Temple is a Hindu pilgrimage destination with lord Jagannath as the principle shrine along with several other gods and goddesses. The temple has beautiful architecture and is a wonder in itself. Throughout he day, pujas and rituals take place. A ritual call 'dhwaja' takes place every evening where 2 priests from the temple replace the flags atop the shrine. The place is officially restricted only for Hindus and other religion people are disallowed. One isn't allowed to wear shoes or carry cameras or phones within the premises. One may find places outside the temple premises where to keep the valuables for a minimal charge. At most times this place is crowded. One may find various curio and nicknacks outside. The place is thronged by priests who may at times fleece you off your money. Overall one may visit to experience the architecture and rituals.",3,
,,,,,3. No permit to Enter other religion people Except Hindu. Lots of priest (agent of god) irritate you. You can't concentrate to LORD SHREE SHREE JAGANNATH. ,3,
,,,,,"4. There is nothing wrong in visiting lord of all the lord Sri Jagannath mahaprabhu ki jay, but the only issue is that why should someone pay to have a glimpse of our beloved god.

Everyone please think about it, recently I had been to Srimachalam temple in Vizag & no body asked for a single penny.",2,
,,,,,,,
13,Vrindavan Land of Krishna,,"Vrindavan is a quaint township in the district of Mathura. This divine playground of Krishna has a spiritual vibration, which is felt when you enter several places like Nidhivan. Vrindavan is one of the prime Hindu pilgrim places in India. Some hallowed places in Vrindavan include Banke Bihari Temple, Prem Mandir, The Sacred Lake Kusum Sarovar, ISKCON Temple, Keshi Ghat and Nidhivan among several others.","Vrindavan, Uttar Pradesh","1. It is one of the famous temple in the holy city Vrindavan, the founder of ISKCON foundation was Prabhupad ji who enlightened the whole world with his spritual knowledge.
Tips for visitors: Apart from taking blessings of God, you can buy various products prepared from cow urine which are very good for health and also many books are available for purchase in shops inside the temple.",4,
,,,,,2. There are better ISKCON temples. I am from Pune and Pune temple is a way better one. Can avoid it except for religious reasons.,3,
,,,,,"3. ISKCON Vrindavan is quite different from one at Delhi and Mumbai. It may not have so eye catching statues but there is a serene experience that is blissful.
During my visit I found the chanting conducted by an old foreign priest quite enchanting.",3,
,,,,,"4. Ornate with circular staircases leading up, large courtyard and high standard paintings of Radha, Krishna, Gopi's and their lives on almost all the walls. Beautiful idol's of deities and expensive clothes, make ISKCON temple what it is filled with loud chanting of Radha Krishna by devotees. It is one of the prominent temples.",3,
,,,,,,,
14, Chottanikkara Temple Kerala,,This mythical temple of Goddess Parvati Devi is considered to be one of the top Hindu temples in India. The Goddess deity is a ‘Swayambu’ and said to possess great magical healing powers. Chottanikkara Temple of South India attracts millions of pilgrims who seek to get relief from their sorrow and anguish.,"Nedumkandam, Kerala 685553",1. Very clean and systamatic. located at the centre of the town. Lots of local transport available. You can have a good dharshan withinh max 1 hour and it will take 1 hour for you to go around the temple.,4,
,,,,,"2. One of the beautiful historical, architectural monument/temple of land of Temples, one should study its peculiar art designs, wall drawings & paintings, a visitor should not miss this Temple during visit to Kerala",3,
,,,,,3. It was the day after diwali so all the people on earth gathered there. The high decibel of the songs and people running helter- skelter was enough to rush out from there. May be some other time.,3,
,,,,,4. Get the blessing of Chottanikkara Amma..easily accessible by road. Famous for makam thozhal. A must visit place for pilgrimmage.,2,
,,,,,,,
15,Kedarnath Shrine,www.badarikedar.org,"The magnificent 8th century temple of Kedarnath is situated high in the Himalayan ranges at a gigantic altitude of 3581 mt. above sea-level. Surrounded by natural pristine beauty of snow-covered mountainous peaks and lush greenery, the temple is an awe-inspiring Hindu structure of great architectural beauty.","Kedarnath, Uttarakhand 246445",1. Kedarnath is recovering from the 2013 natural disaster. Sad to see the old path but the government has done a good job on the recovery path. It is humbling to see people's faith as they trudge up the path wearing little warm clothing without any complaints.,5,
,,,,,2. Management at the mandir as well as at booking counter is pathetic... After so much of effort you find only pushing and fake pujas inside.. You will not find any divinity inside.. After so much of effort you find it waste.. Book helicopter ride in advance otherwise it is very tough.. You get free VIP darshan with helicopter booking... That means you breach the line but cannot avoid the rush in peak seasons...,1,
,,,,,"3. When we started the journey, i had no idea how it is going to be. We started our trekking morning by 07:00 am. The beauty was at its best when it comes to Mandakini river flowing accompanying your way to the temple. It was a magnificent view when i saw the temple with greenery spread all over and the mountains covered with snow was the unforgettable view of the Lifetime !!!!!!!!!
After waiting in a que for around 4 hours finally we were lucky to get the darshan of ""Mahadev"" bcoz the temple closes for a break around 3pm. While going back to the hotel again a nature beauty yet to see "" Snow falling all over"".
I would suggest everyone to visit Kedarnath at least once in a lifetime which will vanish all the negativity in a person.",4,
,,,,,"4. Five friends had started their journey for Kedarnath on 14th August 2009 from our college KEC Dwarahat (Almora). By end of day we could not be able to reach Sonprayag. We stayed overnight at some lodge (cheap hotel) at Guptakashi. on 15th Aug we have started our trekking to Kedarnath. Although it was showering, we continued our journey have a lunch break at midway. By evening we reached at Kedarnath. We planned to stay for atleast 3 days to explore beauty of nature nearby Kedarnath, but we had to drop our plan due to rain and fog. We stayed overnight and returned next day to Sonprayag and rushed to Sari village for Tunganath and Devariya Taal trek.",3,
,,,,,,,
16,Gurudwara Bangla Sahib Delhi,,"Bangla Sahib Gurudwara is an idyllic consummation of rich Sikh values and traditions, with an inspiration for brotherhood, spirituality and a better future. Experience divine bliss and religious revival atone of one of the most prominent Sikh Gurudwara, Bangla Sahib Gurudwara in New Delhi. The religious epicentre attracts devotees from around the globe to experience tranquillity and closure to a contented lifestyle. The Gurudwara Bangla Sahib was originally a lavish bungalow of Raja Jai Singh, and was named as Jaisinghpura Palace. Later on, Bangla Sahib Gurudwara came into existence in the year 1783 as a representation of benignant of the eighth Sikh guru, Guru Har Kishan Sahib Ji who served the poor and downtrodden during en epidemic in the year 1664. The Gurudwara Bangla Sahib is established in honor of Guru Har Kishan Sahib.","Ashoka Road, Connaught Place, Next to Grand Post Office, New Delhi, Delhi 110001","1. I feel relaxed n peaceful wenever I visit to bangla sahib. Almighty helps those who helps themselves. I advice all my frenz to ve faith n wenever u feel perplexed, u must visit gurudwara and m sure u wil be out with happiness.",4,
,,,,,"2. Peacefull and holy place not restricted to any religion but develops an instant connection with the teaching of Sikh guru. With the delhi gurudwara committee managing it so well now, even kids and elders will be able to sit for time and relax and feel the peace of mind",4,
,,,,,3. Very interesting temple. Need to take off shoes and cover head. Bring a shawl otherwise you will have to use something used by many many people.,3,
,,,,,4. sasriyakal veeron ... its the most visited sacred place in delhi where people of all religion visit this amazing place.. parsada is the blessing,4,
,,,,,,,
17,Brahmeshwar Temple,,"The Brahmeshwar Temple was built during 11th century A.D in honor of the presiding deity Brahmeshwar, who is a form of Lord Shiva. The 60-feet tall temple was the first to exhibit iron beams in construction and splendid iconography of dancers and musicians on the walls. The porch features carved ceiling with lotus, while the walls have motifs of lion head in abundance. There are also carvings of voluptuous damsels and erotic couples. The exterior is adorned with sculptures of gods and goddesses, animals and birds, religions scenes, and tantric-like images.","Thirupattur, Tiruchirappalli, India",1. The temple is very old and ancient. It is very important to know about the history and mythology behind the temple. It is very interesting. The 12 lingas in the periphery of the temple should not be missed. One must not fail to meditate before the Jeeva Samadhi of Rishi Patanjali.,3,
,,,,,2. Only separate temple for Lord Brahma is situated near Tiruchy (just 25 kms away) and worth visiting and get the blessing of the Lord. One can enjoy the old stone sculpture and the temple is maintained clean.,4,
,,,,,3. 1st time came across a Brahma temple.The temple priest was narrating some useful information about the temple.,3,
,,,,,4. Persons having faith in the existence of SUPER POWER and Hinduism only will be seeking solace and comfort in visiting the temples like this..,3,
,,,,,,,
18,Akashardham Delhi,akshardham.com,"Akshardham' means the divine abode of God. It is hailed as an eternal place of devotion, purity and peace. Swaminarayan Akshardham at New Delhi is a Mandir – an abode of God, a Hindu house of worship, and a spiritual and cultural campus dedicated to devotion, learning and harmony. Timeless Hindu spiritual messages, vibrant devotional traditions and ancient architecture all are echoed in its art and architecture.The mandir is a humble tribute to Bhagwan Swaminarayan (1781- 1830), the avatars, devas and great sages of Hinduism. The traditionally-styled complex was inaugurated on 6 November 2005 with the blessings of HH Pramukh Swami Maharaj and through the devoted efforts of skilled artisans and volunteers.","Noida Mor, New Delhi, Delhi 110092","1. The architecture of temple is awesome. The best part is the musical fountain show. Here you can spend whole day. At weekend, you have to wait around 1-2.5 hours in queue to enter. You are not allow to carry mobile, camera, eatable things inside the temple campus.",5,
,,,,,"2. If u want to enjoy the beauty of akshardham, evng  is the best time but the irnoy is entry close by 6:30 pm ... hope someone responsible vl look into the issue and extend the timings ",1,
,,,,,"3. No doubt that it is a great peice of art and architecture but we should also understand  that just placing idols of gods doesn't make a ""tourist spot and BUISINESS centre"" a temple.
They need to employ some courteous staff which is mannered enough to listen to suggestions.
Lastly it is NOT EXACTLY a hindu temple as I said that merely putting idols of hindu gods and doing engravings on walls doesn't make a sanatan dharma temple ,  instead its more of an INSTRUMENT or MACHINE for glorification of saint Swaminarayan and his deciples. ",1,
,,,,,"4. One of the World Largest temple.A visit to Akshardham is a spiritually enriching experience.The mandir is tribute to Bhagwan(God) Swaminarayan ,you can see all stories of  swaminarayan by movies.It's a great piece of work,everyone should visit this temple once in their life.",4,
,,,,,,,
19,Bada Digambar Jain Mandir meerut,,"Hastinapur is considered one of the most important pilgrimage centers for Jains. The Bada Digambar Mandir is a beautiful temple situated on a 40 ft high hillock.

The structure is magnificent, every year the temple sees a huge number of devotees from all over the country to have a glimpse of the huge statue of Bhagwan Shantinath poised in a Padmasan. It is believed that the prayer offered here are always received well. There are multiple temples in this complex including Kailash Parvat Temple, Nandeeshwara Dweep, Trimurti Mandir, Maan Stambha, 24 tonks, Petrograph, Shrines, Nasiyan, etc.","Hasthinapur, Meerut, Uttar Pradesh 250404",1. this is a holy place for jain religious people,4,
,,,,,2. Beautiful and ancient jain mandir. Visit this at least once in your life.,3,
,,,,,3. Hastinapur is a place marked in Indian History as the Kingdom of various Emperors & Kings. It is at this place the the 1st Jain Tirthankar Bhagwan Shri Rushabhdev completed His 13 months fast at the hands of Shri Shreyanskumar.,4,
,,,,,"4. Hastinapur is famous for his history and Place of jain temples. 
Its a holy place of Jains and every year on occasion of ""Ganga Scanan"" n number of peoples come over there.
A huge amount of peoples come over there from different different areas of india on occasion of Holi.
We will get a peace when you enter in temple.
I visit over there many times in a year.",4,
,,,,,,,
20,Mukteshwar Temple,,"Mukteshwar Temple is one of the most compact and smallest temples in Bhubaneswar, but is renowned for its imposing ceiling that is adorned with eight-petal lotus in the porch, and astounding stone archway. It was for the first time that carved images appeared in temple architecture, exhibiting beautiful lion-head motifs. “Mukteshwar” means “Lord who gives freedom through Yoga.” The temple features sculptures and images of figures from Hindu mythology, ascetics in different mediation poses, Jain munis, and folk tales from Panchatantra. The temple is also famous for Mukteshwar Dance Temple held in the month of January every year.","Kedar Gouri Ln, Gouri Nagar, Old Town,
Bhubaneswar, Odisha 751002","1. there is a sacred Well inside the temple premises. This well stay locked through out the year  and is opened once in a year, This Well  is believed to have magical  power which can cure  problem in conceiving child  . On a particular day of the year the well is opened and the water of the well is auctioned. People travel from far places and queue there from midnight to buy water from the wall.According to the old saying the more earlier the water is used before sunrise more it is effective.",4,
,,,,,2. architecture is just breathtaking. Calm place with a pond within its compound.,3,
,,,,,3. Make You Feel as Floating,3,
,,,,,4. Ancient temples with full greenery garden looks awesome,3,
