S. No.,Category Name,,Description(Minimum 80 words),location,CONTACT,Reviews,Rating,Images
3,Indian Institutes of Management,www.iimahd.ernet.in,"IIMA aims to educate leaders of enterprises. We believe these leaders contribute to make a difference to their organizations and to the world around them.

In our endeavor, we draw upon reserves of goodwill among the diaspora of our alumni, reputation among recruiters and potential students, and commitment of our faculty and staff to the institute. 



The future holds tremendous promise for the Institute. We look forward to being recognized as one of the premier management schools worldwide. To achieve this goal, the Institute is following a three-pronged approach: connect, nurture, and grow. We will:
 
- CONNECT proactively with the worlds of practice and policy, with academic work nationally and globally, with our alumni, and with the local community.

- NURTURE a high performance work environment by emphasizing and supporting a climate of autonomy, stretch, and team work.

- GROW our capacity, but do so in a thoughtful and strategic manner, aiming to have an impact commensurate with our ambitions, and ensuring that we maintain and upgrade the quality of our people and our experience.


These three strategic priorities - connect, nurture, and grow – therefore, are at the core of our effort to be a premier global institute of management that educates leaders of enterprises.","Indian Institute of Management
Vastrapur, Ahmedabad 380015
Gujarat
INDIA",9.478811981,"1. The intensity of the academic rigour at IIM Ahmedabad is not one of those old wives' tales. The pedagogy is completely based on case studies, and these cases give the student an insight into management ideas involved in running a small grocery shop to a big corporate firm. They are challenging and daunting, and the decisions you are forced to make built or destroyed corporate empires. They make you think, they make you sweat and they make you introspect. They prepare the student for the real world.

It is not just the things you learn at IIM-A which makes the difference. It is the way those things are taught. One day you will have all the time in the world and on another you will find yourself with a short deadline for virtually impossible tasks, ranging from a dozen assignments to numberless quizzes. You are taught to survive in a realistic managerial atmosphere even when you are only learning what it takes to be a CEO one day.

The faculty at IIM-A are the very best in the country, and having handled the best minds in India every year through and through, they know how to keep us on our toes. Their research credentials are impeccable, and each faculty has his/her own approach to introducing management concepts, which makes everything all the more interesting.",4,
,,,,,,"2.Most of the acads rigor is only in the first year where there are so many courses and pop-quizzes. But overall, the curriculum is quite manageable, in fact it gives ample time to pursue your interests. No lectures post 1 PM during your first year means that you have the remaining part of the day for assignments, group activities and preparing for the next day. Second year is a little more relaxed (if you want it to be). Assignments are more fun assuming that you choose courses that you are interested in. Faculty seems a bit more relaxed (some were deemed very strict during our first year, but I personally have never faced any issue) Faculty members are excellent and very understanding.",5,
,,,,,,"3.The academic schedule at IIMA is pretty rigorous and trains us to think on our feet. The entire curriculum is case study based which gives us good insights into what had hapened in the past and what are the current trends in the industry.

The professosrs at IIMA are very knowledgeable and provides us food for thought. they are very approachable and are just an email orrr for some profs even a call away",5,
,,,,,,"4. 3 classes per day. 
Case based teaching methodology.
Overall study group assignments, projects and quizzes almost every day. So, 12-14 hours of study per day. Awesome experience",5,
,,,,,,,,
4,Indian Institutes of Information Technology,https://www.iiita.ac.in,"The mission of IIIT, Allahabad is to be a unique and world class nucleating ""Apex Center of Excellence"" in the area of Information Technology and Allied Sciences, so as to enhance India's Technological strength in IT and for become a pace-setting institution for other similar institutes to be established in the future. IIIT seeks to derive its strength from a linkage with sound Indian traditions of centuries past, and sets out to create knowledge-based resources in regional languages.","Devghat, Jhalwa
Allahabad - 211012","91 - 532 - 2922000, 
2922025","1. The academic part is good but the college administration actually focuses ONLY on academics. There is no scope for co-curricular activities in this college. Instead of encouraging students to take part in sports and cultural activities the college administration actually discourage them from going to other colleges and take part in their fests.

OK, you will get a nice placement from here but the personality development, which is an integral part of college life, will be absent.",3,
,,,,,,"2. The best part of IIIT A is the course structure which is very compact. Unlike other colleges, we don't have Chemistry in the First Sem and even Physics is not there in the Second Semester for IT students. This gives the students a great amount of time to work on what they love.

    We have to  submit assignment problems via an ONLINE JUDGE from the first year itself thus making students familiar with these things at the very beginning.
",4,
,,,,,,"3. What I feel is this college is meant to provide a platform to self motivated students who are good at understanding new technology on their own.

What I mentioned above is in reference to faculty status. There is lack of good faculty. It feels like hell when it comes to attending the classes and moreover min 80% attendance criteria makes it more difficult. Lot and lots of time gets wasted (I am unable to concentrate on any other work while someone is shouting in front of me).
But not to underestimate, We are having great infra here, everything is more or less well managed. We have hosted prestigious Science Conclave for 4 consecutive years.

Thanks to seniors and alumni who constructed good coding environment here. Because of them we have a decent and competitive environment.",5,
,,,,,,4. Had awesome four years.,3,
,,,,,,,,
5,Indian Institutes of Science Education and Research,,"Indian Institutes of Science Education and Research (IISERs) were created in 2006 through a proclamation of Ministry of Human Resource Development, Government of India, to promote quality education and research in basic sciences. Soon after the announcement, two of these Institutes at Pune and Kolkata, respectively, were started in 2006. This was followed by an Institute at Mohali (2007) and at Bhopal and Trivandrum in 2008. Each IISER is a degree granting autonomous institution with a prime focus to integrate science education and research, with a motive of attracting bright students and world class faculty. 

Indian Institute of Science Education and Research Bhopal will provide a platform for the faculty to engage in high quality pedagogy, at both undergraduate and postgraduate levels, and to perform cutting edge research in frontier areas of basic sciences. The Institute is also committed to impart high moral and ethical values to students and create a genuine concern for social and environmental issues. With these set of broad objectives, it is believed that IISER Bhopal will emerge as a world-class Institute within a few years of its inception. 

IISER Bhopal offer BS-MS (Dual Degree) programme, Integrated Ph.D. programme in Chemistry, Mathemetics and Physics and Ph.D. programme in Biological Sciences, Chemistry, Earth and Environmental Sciences, Mathematics and Physics. The details of these programs can be found under academic affairs.","Bhopal Bypass Road, Bhauri
Bhopal 462 066
Madhya Pradesh, INDIA",,"1. Learnt a lot here. Campus, study atmosphere, academic etc. in all aspect a nice Institute. Proud of being  a part of it.",4,
,,,,,,"2.  Inside our campus, we have

“Mio-amore” as well as “Sugar and Spice” in the basement of our hostel.
Cafetaria in the Lecture Hall Complex
Other small shops
At the gate, we have

Two restaurants named “Adarsh” and “Red Chilli”.
KfC which is “Kalyani fried chicken”
Two fast food shops
Two panipuri shops
Other small shops",3,
,,,,,,"3. IISER Pune has a hostel of its own and you can stay there if you are working in IISER. You need an application signed by the faculty in IISER you are working with.

Also, there are a lot of paying guest apartments available in Baner and Pashan areas.

“Magicbricks” and “99acres” (sites) have a huge list.",4,
,,,,,,,,
6,Range School,rangeschoolchandipur.org,"Knowledge is Power' is the motto of our school. When a student enters school, he is quite ignorant. It is with the help of his teachers that he gains knowledge The teachers who are the torch bearers lead their students to the light of knowledge. Range school, Chandipur is a day school under the aegis of DRDO, Ministry of Defence. It started functioning in the month of May' 1993 to cater educational needs of the employees of the DRDO, Chandipur, Balasore. 
It is affiliated to the Central Board Secondary Education, New Delhi under its 10+2 pattern of education and has Classes I to XII. At the end of class X and XII, students appear for the All India Secondary School examination and the Senior School Certificate examination respectively of the CBSE.
The school presents a majestic appearance and comprises of 6 blocks, spacious class rooms, Well equipped laboratories, a well stocked library and Computer Room. A team of dedicated, motivated and qualified staff are engaged in providing all round development to the students and inculcating the qualities of head and heart to prepare them to face the challenges of a highly competitive world.","Chandipur, Odisha 756025",06782 272 152,1. Teachers are good and total staff are very cooperative,3,
,,,,,,2. Management side facility are lack.but over all good.,4,
,,,,,,3. interior of the school are world class. awesome enviornment of the school.,4,
,,,,,,,,
7,Indian Public School,www.indianpublicschool.com,"The Indian Public School, Mrityunjaya Dham residential campus was started in 2001 and spread over an area of 80 acres, the entire school campus has patches of green and parklands. Tucked amidst the Himalayas (to its north) and the Shivalik ranges (to the south) the school provides a natural playground for children, keeping them in the lap of Mother Nature. In fact, the school campus has been planned in such a manner that only 20% of the total area will be concrete structures while the rest of the campus will be a harmonious blend of green patches, parklands and water-bodies.

Our education system integrates the most relevant and meaningful features of the ancient Gurukul with the best of the scientifically designed modern systems enlivened by psychological and educational research. Living in perfect harmony with nature, both teachers and students in the school have ample opportunities to imbibe service-mindedness and inculcate ethical principles.

We are a co-educational, English medium, purely residential school, with classes I to XII, affiliated to the CBSE Board, New Delhi. It is pursuing IGCSE affiliation.",Parre Kala G.E Road Rajnandgaon Chattisgarh,,"1. can get good experience in the campus
very good learning atmosphere
good facilities
free accommodation
International curriculum is followed
transport facilities are good",4,
,,,,,,2. It was good working with TIPS and the international standards that this school maintains is highly exemplary.Though it lacks team play still it is one of the best schools in Kerala.The hardest part of the job is most of the time we are bound to work multiple jobs.The most enjoyable part is the support this school provides for the comfortable working environment of employees.,4,
,,,,,,3. Worst management and staffs Nothing in international standards except the name first train the staffs in international level then can do other works worst school in Chattisgarh,1,
,,,,,,"4. I learned to manage the admin & teaching staff.
Among students discipline.
Management is OK but sometimes, very introvert.",2,
,,,,,,,,
8,Rukhmani Devi Public School,www.rdpschool.com,"Rukmini Devi Public School is a premier league institution situated in North-West Delhi, with state-of-the-art infrastructure and facilities of International standard and provides a stimulating congenial environment. The school is recognized by Directorate of Education, Govt. of NCT, Delhi and is permanently affiliated to Central Board of Secondary Education (CBSE), an autonomous body under the Ministry of HRD, Govt. of India up to 10+2 level, (Affiliation No. 2730165). The school has also been affiliated by CBSE for CBSE-i curriculum. 

In today's arena of globalization, RDPS has made sustained efforts to bring an international acumen in its activities. It can be substantiated by the school's involvement in Multicultural Students & Staff Exchange Programmes with prestigious schools in countries such as UK, Germany, France, Italy and Singapore, New Zealand, Australia and others. The students under these Exchange programmes work on different projects related to Socio-economic, Cultural, Historical and Geographical structure of the country. ","Block CD, Dakshini Pitampura, Pitampura, Delhi, 110034","011 - 2731 4235,
011 - 2731 3693",1.good working environment with proper support. Learn a lot of things which enhance my skills also. My co-workers are totally supported and management is also good.,4,
,,,,,,2. It was a great experience working with Rukmini Devi. My job as an associate teacher included taking care of children and helping them in their art and craft stuff and it was a great experience,4,
,,,,,,"3. Adoption of Progressive Education Practices, with a more holistic approach which emphasises on individual students' needs by using the new resources and schemes of work.",4,
,,,,,,4.Work load is heigher than salary. Salary benefit give us less. Management is solid.,4,
,,,,,,,,
9,Gmr Chinmaya Vidyalaya,gmrchinmayavidyalayahyd.org,"o provide a safe nurturing and unlimited learning environment where diversity is treasured and passion for lifelong learning is developed. To strive for overall development of the students with high morale level, required professional and personal skills to make them leaders and get recognition wherever they are for the Nation's pride.","Mamidipalli Road , After Dharma sai temple, Airport campus, Shamshabad, RR Dist - 501218","9247087621 
 9247087623",1. Learning point of our school. This is provide many different different facilities. ,3,
,,,,,,2. Many sports are include in my school and 4 sports and yoga teachers are here. This is also the best part of our school.,4,
,,,,,,3.4.Work load is heigher than salary. Salary benefit give us less. but overall good enviornment.,3,
,,,,,,,,
10,Bharatiya Vidya Bhavan'S Public School,www.bvbpublicschool.org,"The School has been designed with the following objectives in view.
1. To develop the physical, intellectual, emotional and spiritual capabilities of children.
2. To inculcate a sense of discipline, social responsibility and self-reliance in consonance with our culture and tradition.
3. To inspire love and reverence for ethical values and building of character to enable the students to meet the challenges of the present times without jeopardizing the basic values.
4. To safeguard young minds against the negative influences of materialism and consumerism which lead to degeneration of morals and character.
5. To create a sense of pride in our rich cultural heritage and national integrity.
6. To enable students to choose a vocation best suited to their aptitudes in order to compete successfully in the modern world and face the future confidently.","Vineet Khand-6, Gomti Nagar,
Lucknow-226 010. (U.P.) [India]",#ERROR!,1. My children attending school here. They are above their peers academically that attend other schools. It has been a great fit for our family.,4,
,,,,,,"2. Best private school in Lucknow. Best test scores, respectful children who learn, and a fun family environment.",4,
,,,,,,"3. I have two kids who attend this school and couldn't be happier with the education they are receiving. I think the teachers are great, and the class/school size is phenomenal. My kids both have around 15 students in their classes.",3,
,,,,,,,,
11,St Lawrence School,www.stlawrenceconvent.com,"St. Lawrence Convent, managed by Gagan Education Society under the Chairmanship of Sh. Girish Mittal, renowned Educationist associated with many Educational Institutes for over 35 years and business entrepreneur running many businesses for the last 35 years. St. Lawrence Convent, at the time of establishment was the latest venture in the field of Education, a stream in which the dynamic vision of Shri. Girish Mittal had dreamed to serve the society in a fully dedicated manner to culmination in the life within the precincts of life.

It was intended to start the new session of the school with an aim to promote a system of integral education emphasizing the unity of all knowledge and synthesizes the humanities and the Science. All efforts have been made to create an environment affording inspiration for the development of body, mind and spirit along with the values of truth, honesty, integrity and arduousness. It is intended to serve the needs, purpose and interest of the ""Whole Child"" of every child.

The school proposed to promote value based education including ethical, spiritual and moral education under the tutelage of experts and experienced teachers. St. Lawrence Convent is the temple of humanity build on the foundation of character. It is a matter of pride that our school is chosen by the residents of Paharganj, Daryaganj, Ajmeri Gate, Azad Market, Chandni Chowk, Kashmere Gate and adjoining areas. Some students are coming from the South Delhi area also. This rare achievement is achieved by St. Lawrence Convent only; other well established schools for a long period in East Delhi could not achieve this distinction. After overwhelming and great response, we are pleased to start the registration for new academic session.","Geeta Colony Facility Center, Delhi-110031","011-32542100, 32003205","1. The school was managed very well from top to bottom. Having confronted a wide range of tasks during my time here, I have learned a great deal. Being able to see a finished product in the majority of my projects made it an enjoyable place to work.",4,
,,,,,,2. Saint Lawrence Catholic School is by far the best elementary school in Muncie. My son is currently in Second grade and has learned so much. My daughter is in Kindergarten and loves going to school. The teachers are great and have many years experience. I would highly recommend this school.,4,
,,,,,,"3. I love St Lawrence School.......my daughters enrolled last year and I have seen them grow academically, spiritually, and emotionally. I like how involved the school is with the parents. The teachers and staff are always welcoming. I feel that the teachers truly have a passion for education, fun and faith. Thanks for the opportunity to express my gratitude.",5,
,,,,,,"4. Caring teachers, small class sizes, good use of technology. My kids have made lots of friends and I think it is the best option in Muncie for school. Very affordable.",4,
,,,,,,,,
12,Govt Boys Sr Sec School No-2,,,Punjabi Bagh New Delhi Delhi,,,,
,,,,,,,,
13,Golden International School,gisindore.in," It's all hidden, embedded in a child. Whether a bud will transform into a rose or a sunflower, need not be told or contra led by anyone. The bud is going to bloom, naturally. A child has it all within, he or she will become a musician or a painter, another Einstein or Aryabhatta needs no one to tell. At the Golden International, the very belief in uniqueness of every child makes education a natural process. The focus here is on developing an individual vision for every child considering the inert potential, and then creating experiences for the child that will help achieve the envisioned objective without burdening the child with the task of earning knowledge. The challenge is to create that nature of learning environment where children grasp as much as they can from the outside world and yet not lose their originality. Towards this end the school has applied a modest approach. Though a lot has been done to ensure that a child gets everything here that goes into creating the right learning environment, the focus is completely on the central philosophy of nurturing the child in the most natural way.

The Infrastructure and list of facilities are mere means to facilitate the natural process of imparting education. Like a sports field is not only used to teach Football,or play cricket but also to explain some conceptual mathematics of speed, distance and time.The classes are spacious and ventilated,but this is just one part; what's more important is that classroom teaching is done through art, music and poetry;which really helps children in learning their lessons,naturally.","Rau-Rangwasa, Cat Road Indore Madhya Pradesh","0731-3256648,
 0731-2857050",1. This place aint' got notihn.,1,
,,,,,,"2. It was my exam centre. Average kind of school. There's a gym too, although that's not maintained well. ",2,
,,,,,,,,
14,Tagore Sr. Sec. School,,"The school is affiliated to the CBSE (Central Board of Secondary Education). Various details about the school are listed below - contact information, academic facilities and statistics based on academic performance based on whatever data is available online. The Affiliation Code is 2730126.","Satguru Ram Singh Marg, Mayapuri, New Delhi, Delhi 110064", 011 2512 5679,1. I studied from this school and have some great memories,4,
,,,,,,"2. Teachers , faculty , students and the principal all are very humble and brilliant 
And I am proud if my school",3,
,,,,,,"3. school is good, Teachers are also good, Physical structure & school compound is also good. Bus system is good---------- But overall gentery of students is quite OK.
I must say school staff has to put some control on students-- Please dont mind it , it;s my personal opinion.",3,
,,,,,,,,
15,Delhi Public School,dpsnoida.in,"DPS GN one of the Core Schools under the control and support of the  DPS Society New Delhi,  having commenced its operations effectively in 1998, has certainly come of an age, with a strength 3900 students (approx.) and 205 dedicated faculty members now, from classes Nursery to 12th.  Situated in a very systematically planned township forming the suburb of Delhi, it has been imparting a holistic education to its lively students under the guidance of dynamic principals, since its inception, who have acted as the true mentors.Several exciting participation opportunities are offered through initiatives like Mind Vision, DPS MUN, well–planned International Exchange Programmes and other annual Inter-DPS sports competitions and cultural festivals, together, leading to an experiential learning to address diverse issues that confront our largely inter-connected world. 
The spirit of social responsibility is amply expressed by the adoption of 25 girl children from disadvantaged background for their education and general enhancement of their personalities, and also by imparting free education and other facilities to more than 200 children form economically weaker sections of the society. The School Alumni has indeed done their Alma Mater proud by exploring great opportunities in the country and abroad to give back to society what they were nurtured for. 
Our students & the teachers who take to professional orientations and trainings as their privileged right, realize that they have a stake in the kind of educational institution DPS Greater Noida is today and will be in the years to come, and this realization defines our collective aspirations & future goals.","Sector Gamma - II,Greater Noida City
Distt,Gautam Budh Nagar, U.P.-201310",91 - 120 - 4612 300/ 301,"1. School has callous attitude. I have had multiple bad experience that shows this school just does not care.
I had given multiple application in the name of principal complaining about certain things and I did not even get an acknowledgement.
Also, the phone number of DPS appears busy most of the time and there is no other way to contact school.
Principal believes in one way communication she just speaks and does not listen.
This school is fast loosing respect.",1,
,,,,,,"2. Very Bad school, if u want to study it's the wrong school. It's only meant for show off, not a good school. The students also can't get good opportunities like part in inter schools . They also don't do much inter class activity and inter schools. U will see it's on the top but actually on the basis of studies it on last. I am also a student of dps noida but i left it because of it's show off. I would say it's 0 star school. It would be rated last in school list",1,
,,,,,,"3. I don't know much about dps but I am joining dps till July and it's review we're great and I have a dream of dps noida :) 
And it has many other club activities and I am the president of interact club .",4,
,,,,,,"4. Great school environment surrounding.I'm a student there. Feels great. But too much academic pressure for us. Senior year is the best. I wish the dress code was casual unlike uniforms,free-diverse way of expression.",4,
,,,,,,,,
16,"BRD Medical College, Gorakhpur",http://www.brdmc.org/,"It was like a dream come true for citizens of Eastern part of Uttar Pradesh state, that is Purvanchal, when the first seed of inception of this medical college was sown in November of 1969. Its foundation stone was laid by the then Chief Minister of Uttar Pradesh Late Shri Chandra Bhanu Gupta. It was named after a devoted freedom fighter Baba Raghav Das who was a prominent Sarvoday Leader of this area and close associate of Mahatma Gandhi and Acharya Vinoba Bhave. Initially the teaching started in government polytechnic and later shifted to college and hospital buildings under the dynamic leadership of Prof P.L. Shukla as first principal of this college. First batch of MBBS students was admitted on 7th August 1972. Since then this college has grown and now runs post graduate courses in various specialties.
BRD medical college includes Administrative Block, Central Library, Examination Hall, Auditorium, Lecture Theatres and various departments of non clinical and para clinical subjects of medical education, etc. It forms the base for medical career of future doctors and provides research backup in basic medical sciences.","Gorakhpur, Uttar Pradesh 273013",0551 250 1736,"1.i am studying in the college not too good but still it is better than the other govt colleges.some teachers teaches well.but the college is so strict that we can not able to enjoy with our friends,too much extra classes but the best thing is that proper notes are given to the students by some teachers only,canteen food is not good.",4,
,,,,,,"2.Area of the college is good , ground and other facility are so so.",3,
,,,,,,3. Level of the teachers are high and practical also live on the patients,3,
,,,,,,,,
17,"Era Lucknow Medical College , Lucknow",,"Quality education leads to quality living. Life, nourished with knowledge of the highest order, not just stirs up your potential, it also takes you beyond your capabilities. Obsessed with the idea to transform education from being a cluster of well-understood subject to becoming well-adapted aspects and principles of life the ERA EDUCATIONAL TRUST has conceptualized Era's Lucknow Medical College and Hospital as a ""Centre of Excellence"" in medical education, medicare, training and research. The college is affiliated to Dr. Ram Manohar Lohia Avadh University, Faizabad and is recognized by Government of India and Medical Council of India, New Delhi. ELMC is offering comprehensive patient care with a humane touch on charitable basis for the benefit of the poor and needy. The college is on the list of WHO/ AVICENNA and IMED/FAIMER directories.

Era's Lucknow Medical College & Hospital brings to the semi-urban and rural population in and around Lucknow the best medical facilities in the state at subsidized rates. The charity work done by the hospital benefits the poorest of the poor. Free admission, free medicine and free meals are provided to patients from underprivileged sections of society. Diagnostic services are also available free of cost for such patients. The registration fee for a patient is a token amount of Re. 1/- after which the patient can consult highly experienced doctors for a period of 15 days during which patient is also provided with medicines. Beds are provided to in-patients @ Rs. 5 /- per day. For the children of employees of ELMC&H an English medium school has been established within the campus. Books are provided free of cost. Uniform is provided at subsidized rates. A nominal fee of Rs. 50/- per month is charged which is further reduced to Rs. 10/- to charge as a token amount for Extremely needy students just to maintain their self respect. The EET through its tireless efforts aims at inculcating the traits of honesty, compassion, courage, persistence and responsibility among students, so as to enable them to become competent doctors on one hand, and sensitive and caring human beings on the other.","Sarfarazganj, Hardoi Road, Lucknow, Uttar Pradesh 226003",0522 240 8122,"1.Worst college for the hindus and one more thing you can get good p.g. college or if you are planning to go abroad then you have to drop yurs all ideas and planning becoz if you have done mbbs from this college you will be have no option left with you . you have to campromise with the same college.

I realize when I got selected in pg program of all india in councling they are not giving any other college . so please its my personal expirence do not take admisson in ERAS MEDICAL COLLEGE LUCKNOWE. please friends . look ou for some other colleges .",1,
,,,,,,"2. This is the only college which provides free medical treetment to poor patints including free C.T, MRI, ULTRASOUND, XRAY, ETC. dICIPLINE IS HARD SO SOME STUDENTS DONOT LIKE. FACULTY IS EXCELLENT.",3,
,,,,,,3. SORRY BUDDY ELMS IS THE ONLY COLLG WHERE DICIPLINE IS VER HARD .. N IN THIS COLLG NO DICIPLINE AT ALL ..,3,
,,,,,,,,
18,Career Instt. Of Medical Sciences & Hospital,www.careertrust.in,"The clinical facilities for teaching Medical, Dental and Nursing subjects as well as well-equipped 400 bedded hospital with ICU, ICCU, NICU and all specialized departments etc. are available, as per the requirements of Medical/Dental/Nursing Council of India. The hospital has 24 hour emergency services.50 acre Land on highway
Fully Wireless Campus
Digital Library
Sports Ground
Air- conditioned Hostel
Reputed Faculty
Most Hi-Tech Campus
400 bedded Hospital",,,1. Job opportunity General and Multi specialty hospitals-both government hospitals and corporate hospitals Polyclinics specialty clinics Nursing homes Industrial hospitals generally attached to large factories Medical services of the Army NAvy and Air force,3,
,,,,,,2. It is spread over an area 30 acres of land having all the necessary facilities and infrastructure like playground separate hostels for Boys & Girls,3,
,,,,,,3.The Trust is also successfully running (1) Career Convent College (2) Career Convent Girls College (3) Career Convent Degree College for Girls (4) Career College of Management & Education. carriar counciling is also best part of the college.,2,
,,,,,,,,
19,"F.H. Medical College & Hospital, Firozabad",www.fhmc.co.in," RB Group founded in 1969 and become north India's one of the largest educational group. 
The group has presence in various sectors e.g. Education, Media and Petroleum. RB Group has traveled
 an extra ordinary journey and have achieved remarkable position in the education. 

         FHMC is the self finance unaided private institute approved by Ministry of health & Family Welfare
 Govt. of India & Medical Council of India under section 10A and Affiliated to Dr. B.R. Ambedkar University, Agra. 

             FH Medical College is located at Etmadpur, NH-2, Agra. The Campus is lush green sprawling
 over an area of 50 acres. FHMC has been established as an Institution of national importance with 
the objects to develop patterns of teaching medical quality education.In the first phase the Institute
has 350 beds hospital and 150 seats for MBBS course. It is on outskirts of Agra and about 15 km, 
Tundla Railway station just 5 km. The well furnished accommodation for faculty and separate hostels 
for Boys and Girls available.

        FHMC beckons you to explore whole new world of opportunities to experience the vibrancy.
 Discover new experiences in a dynamic and supportive environment. 
Your horizon will broaden and you will be intricately woven into our core fabrics of flexibility, creativity,
 innovation and walk out with confidence, energy and ability that empower you to face the challenges 
and realize your dreams and potentials as future health care providers for the society","Near Etmadpur, Railway over Bridge NH-2, Tundla Distt, Firozabad, Uttar Pradesh 283201",095680 05053,1. Result of the college is the best and studing enviornment is also good.,4,
,,,,,,2. Hospital also include in the college campus is the best part of student learning process.Good result always generate from good environment.,3,
,,,,,,3.I am satisfy from my job in the F.H. Medical college as a clerk.On time getting salary.,3,
,,,,,,,,
