S. No.,Category Name,URL if available,Description(Minimum 80 words),location,contact(Multiple If available),Reviews,Rating,Images
3,Catalysts For Social Action,,"CSA was started in 2002. Vipul Jain, CEO, Kale Consultants ltd., had himself adopted and was consequently, exposed to the concept of adoption. Kale decided on direct contribution to Social Welfare.
 
Sidney started his career in the travel and transportation industry and has over 22 years of Corporate and BPO experience. He gave up his corporate position to pursue his passion and take up an assignment in the social sector. He has been actively involved with Catalysts for Social Action (CSA) over the last 1.5 years. According to him Children from orphanages do not get opportunities to enjoy childhood our aim is to provide opportunities to such a children so that they also have wonderful experience to remember.","Mrs. Bharati Das Gupta 
C/o Kale Consultants Ltd, Kale Enclave 685/2B & 2C, 1st Floor, Sharada Arcade, Satara Road,- 
Pune - 411037,India ",91 20 66083777,1. CSA Act as a catalyst to promote adoptions as well as facilitate the placement of children in rural agencies.,3,
,,,,,,"2. CSA works in a multi-dimensional framework, with a holistic development model, that allows us to work on primary interventions as well as long term deeper engagements for systemic changes.",3,
,,,,,,,,
4,ACIL NAVSARJAN RURAL DEVELOPMENT FOUNDATION,,"ACIL NAVSARJAN RURAL DEVELOPEMENT FOUNDATION is a non-governmental 
organization (NGO) working in Gujarat, India. The registration number of the organization 
is: E-7126?(09-04-1979)?. Established in the year 1979?, ACIL NAVSARJAN RURAL 
DEVELOPEMENT FOUNDATION works in the area of Art & Culture, Children, Civic 
Issues, Disability, Education & Literacy, Food and Agriculture, Health & Nutrition, 
HIV/AIDS, Housing and shelter, Human Rights, Labour & Employment, Land Resources
, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, 
Rural Development & Poverty Alleviation, Tribal Welfare, Water and Sanitation, 
Womens Development & Empowerment, Youth Affairs, etc. The NGO works towards 
the promotion of sustainable development.","310, Sukh Sagar Complex, Near Petrol Pump, Usmanpura, Ahmedabad, Gujarat - 380013",9327015842,"1. Acil Navasarjan Rural Development Foundation is a very popular Ngo In India, which is working for Education, Employment, Environment, Health, Micro-enterprises, Poverty, Rural Development, Sanitation, Training, Urban Development, Water, Women’s issues.",3,
,,,,,,"2. 

Pros

It is good to have social work where i get peace of mind by serving poor and needy people in their need.

Cons

since 2003 i am working with this NGO and i found many people who required some ones guidance but continuously doing same work you feel burnout.

Advice to Management

in every work their should be good environment and understanding co staff so each one could complete their work with concentration.
",4,
,,,,,,,,
5,Daudnagar Organisation for Rural Development,,"DORD was established in 1989 at Daudnagar in Aurangabad district, Bihar by some young persons who imbibed social, secular, non-political and philanthropic fervour.
 
Dr. Mohammad Moinuddin Raja, a 41year old Post Graduate in Commerce and a MBA is one of the Founders of DORD and came into this field of social work by choice. Dr. Raja was honoured by Mr. Justice M. Rama Jois, the then Governor of Bihar for serving the cause and care of poor persons in the year 2003-04 and was chosen a Leadership Development Mechanism (LDM) Fellow by International Institute of Education, USA through an elaborate selection process in 2002.","Dr. M.M. Raja 
2nd Floor, Chitkohra House, Dr. Ashraf Lane, S.P. Verma Road,- 
Patna - 800001,India",91 612 2207606,"1. 

Pros

Only Best salary nothing else

Cons

They make u bhikari..begging in front of everyone for donation..

Advice to Management

Dont waste career of young girls for ur needs
",1,
,,,,,,"2. 
Pros
Anyone can join who is in need of money for the time being....

Cons
You need to have a better option always..",3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,Action for Social Advancement (ASA),www.asaindia.org.,"Action for Social Advancement (ASA) is a NGO head quartered at Bhopal and working
 for the livelihoods improvement of rural poor in over 1300 villages in Madhya Pradesh, 
Bihar, Chhattisgarh and Jharkhand, since 1996. It works in the field of Land and Water 
Resources Development, Agriculture Productivity Enhancement and Agribusiness
 Promotion for small and marginal farmers","E-5/A Girish Kunj, Above State Bank of India, (Shahpura Branch), Arera colony, Bhopal,",755-4057925,1. ASA was awarded best Indian NGO in the medium category in 2008 by the Nand and Jeet Khemka Foundation and Resource Alliance.,4,
,,,,,,"2. Ms. G.Jayanthi is extraordinary women. she  has specialised in community organisation, designing development interventions in the fields of natural resource management, livelihood promotion and institutional development. She steers the human resources development activities in ASA ",4,
,,,,,,,,
7,Foundation for Excellence India Trust (FFE India Trust,,"FFE IT was started by FFE Inc., a 501 (c) (3) organization based in CA, USA. The goal of both organizations is to ensure that no meritorious student in India is deprived of the opportunity to realize the dream of higher education for want of finances
 
Dr. Prabhu Goel, a private investor and Founder of FFE Inc., says that his program enables a bright – minded student with financial constraints to pursue higher education and aspire for a professional career. The successful scholar becomes a role model for others to come out of a life of poverty. He says The goal of FFE is to be one of the empowerment with a distinction that it is not just any man, but to those who are bright –minded with financial constraints that FFE aims to empower.","Sudha Kidao 
No.840, MHT House, 1st Floor, 5th Main, Indiranagar 1st Stage- 
Bangalore - 560038,India ",9886021861,"1. FFEIT is a member of Credibility Alliance, Mumbai. Credibility Alliance is an initiative of voluntary organizations in India that seeks to enhance accountability, transparency and good governance within the voluntary sector.",3,
,,,,,,"2. FFE receives its financial support from public charities, corporate foundation and individual donors.",4,
,,,,,,,,
8,Akhil Sanskritik Sansthan,http://www.guidestarindia.org/Summary.aspx?CCReg=7754,"Akhil Sanskritik Sansthan is a registered non-governmental organization (NGO)
 working the field of Aged and elderly, Animal Husbandry, Dairying & Fisheries, 
Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Welfare, 
Disability, Disaster Management, Education & Literacy, Environment and natural 
resource management, Food and Agriculture, Health & Nutrition, HIV/AIDS, Housing 
and shelter, Human Rights, Information & Communication Technology (ICT) , Labour &
 Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro 
Small & Medium Enterprises, Minority Issues, etc. The NGO works towards the 
promotion of sustainable development. The NGO was established in 1989?. The 
registration number of the organization is: 2340/1988-89?(22-02-1989)?. The 
organization is operational in Uttar Pradesh, India.","Madhya Pradesh-462016, India Vill. Bantala, Po. Walterganj (Govind Nagar) Distt. Basti (U.P.)-272001
Nagar-
Uttar Pradesh, India","9415173630, 05542-274451","1. This NGO is very great. To providing training & up gradation of skills of poor, self-employed in villages.
To provide support services like health care for weaker section of the society.
To provide technical inputs to weaker farming community.
To create market linkages for the agricultural products.",5,
,,,,,,"2. To help the poor farmers, landless laborers & such other economically weaker section of the community for redering services include research, educational & training to enable them to undertake the dairy & animal husbandry activities",4,
,,,,,,,,
9,Grace Peter Charitable Trust,,"As Grace and Peter were philanthropists, we followed their foot steps in establishing this NGO and followed their ideals.
 
The Head of the organization is Mrs.P.Amarjothi Radhabai. A retired post graduate teacher and well known philanthropist. She hails from reputed family of philanthropists. Her parents regularly contributed to the needy society and their contributions have helped many downtrodden families to mitigate their miseries. Likewise she is following the policies and footsteps of her parents","S R Vijay Kumar 
Plot No:25, 14-11/7, Narmadha Nadhi 4th street,Mahatma Gandhi Nagar.- 
Madurai - 625014,India ",91 452 2523321,1. I have worked with the Grace Peter Charitable Trust as a Volunteer. The trust is doing my program for the development of Women. I have served as volunteer for taking classes in basic computer training. ,4,
,,,,,,2. I have worked as a volunteer in seedling plantation project for Grace Peter Charitable Trust. I know very well about the Grace Peter Charitable Trust activities. They are doing good activities to save earth from the global warming.,5,
,,,,,,3. I have been a long time donor of this organization. They have implemented very good projects among the rural population in and around madurai. ,4,
,,,,,,,,
10,AL AZIZ EDUCATION AND WELFARE SOCIETY,,"Al- Aziz Education & Welfare Society is an NGO serving people on 
humanitarian ground. It aims at peace, harmony, equality, in India and 
through out the world by means of education, donation, scholarships, 
help for poor & handicap, orphanage homes, old age homes, making 
work group for widow & other womens and child development, helping 
disaster & natural disaster victims, organising health awareness
 program, aids awareness program, free checkup medical camps,","Sultan Complex, Shop No. 5, Near Shalimar Book, Roshangate Aurangabad - 431001 Maharashtra, India",,"1. The NGO provides women survivors of war the opportunity and the tools to rebuild their lives, and their families' and children's lives, with job skills , education and agribusiness training, financial assistance, microcredit loans and access to markets.",4,
,,,,,,"2.  ‘One day all children will attain an excellent education’- a vision that defines Teach For India, a Teach To Lead project that encourages young college graduates and professionals to take up two years of full-time teaching sessions in under resourced schools. In an effort to provide quality education to all, Teach For India currently works in 5 main cities of India- Mumbai, Delhi, Pune, Hyderabad and Chennai and is well equipped with some 700 Fellows who are working towards eradicating the high inequality present in Indian education system.",3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,Hemophilia Federation (India),,"The Organization was started in 1983 by Late Ashok Verma who was himself a hemophilia patient to alleviate the sufferings of thousands of hemophilics in the country.
 
Dr Kanjaksha Ghosh President, HFI, Director, National Institute of Immuno haematology, KEM Hospital Campus, Parel, Mumbai 400012,working for past 30yrs for haemophilia care, director of National Institute of Immuno Haematology, Consultant in comprehensive hemophilia care in Mumbai.
 ","Rtn.Wg.Cdr.(Retd.) SS Roychoudhury 
A-128 Mohammadpur(Behind Bhikaji Cama Place)New Delhi- 
New Delhi - 110066,India ",11 26175791,1. Hemophilia Federation (India) best organisation. it is safe place for me,4,
,,,,,,2.To make treatment available at affordable cost,3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
12,AMAR BHARATI GRAM VIKAS SAUNSTHA,http://amarbharatigoa.com,"भारत गाँवों का देश है। यहाँ की 75 प्रतिशत जनता गाँवों में रहती है। शहरों के
 अधिकांश लोग गाँवों से ही जुड़े रहते हैं। ग्रामीण अर्थव्यवस्था का मुख्य आधार 
कृषि है। कृषि मानसून पर निर्भर करती है- कहीं सूखा तो कहीं बाढ़। दोनों ही 
स्थितियों में कृषि उपज का काफी नुकसान होता है। परिणाम स्वरूप अन्न पैदा 
करने वाले किसान खुद भूखमरी के शिकार हो जाते हैं। कृषि के लिए लिये गए 
कर्ज़ को वे भुगतान नहीं कर पाते हैं। ऐसी स्थिति में अधिकांश किसानों के सामने 
आत्महत्या करने के अलावा और कोई दूसरा रास्ता शेष नहीं रहता है। कृषि उत्पाद 
में कमी के कारण शहरों में भी महँगाई बढ़ जाती है। इन समस्याओं से निपटने के 
लिए सरकारें कोई ठोस, स्थाई और कारगर योजनाएं नहीं बनाती हैं । प्रतिवर्ष 
करोड़ों रूपये पानी में बहा दिए जाते हैं। नदियों से नहरें निकाल कर बाढ़ वाले 
इलाकों का पानी सूखाग्रस्त इलाकों में छोड़ कर बाढ़ और सूखा दोनों पर नियंत्रण 
पाया जा सकता है। यह कार्य केन्द्र सरकार के द्वारा ही किया जाना चाहिए।
 अधिक से अधिक पेड़ों को लगाकर प्रकृति और मानसून के संतुलन को कायम 
रखा जा सकता है एवं बढ़ते हुए प्रदूषण पर नियंत्रण पाया जा सकता है।","Amar Bharati Gram Vikas Sanstha Vasudev nagar(Jogiwada),Bicholim,Goa pin- 403529",9247352663,1. I had just gone through the AMAR BHARATI GRAM VIKAS SAUNSTHA website..Really like their work and the time they take out to care for the needy.,4,
,,,,,,2. This NGO is very nice . ,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
13,AMEN SOCIETY,http://www.amensociety.org,"Activities: Agriculture,Forest & Environment,Women/Gender,Children,
Education,Training, Micro Finance,Health/Nutrition,HIV AIDS/SRH,
Livelihood,SHG/IGP,Youth,Water/Climate, Welfare,Others,Human Rights,
Legal Assistance To give voluntary service to the Indian communities To
 help in the construction of India a developed country To work for 
Indian with out any discrimination of caste creed color or race.","9-32 CCC-Naspur, Mancherial Adilabad, Andhra Pradesh",9912682535,"1. The foundation is a non-profit charity organisation formed by the Emirates Group to provide humanitarian, philanthropic aid and services for children in need.",2,
,,,,,,"2.  The NGO provides women survivors of war the opportunity and the tools to rebuild their lives, and their families' and children's lives, with job skills and agribusiness training, financial assistance, microcredit loans and access to markets.",3,
,,,,,,,,
14,Ananda Moyee Mental Disability and Handicapped Society,http://www.amhskolkata.org,"It gives us a great honor to establish this line of communication with you 
regarding our organization AMHS (Anandomoyee Mental Disability & 
Handicapped School) working for the children of special needs such as MR, 
Autism, Slow Learner & CP in different spheres of life working to build their 
identity in the mainstream of the society. Our society was formed in June 2013 
& since the day of inception it has been our ardent endeavor to inculcate these 
special children’s in our special school with multiple avenues of educational
 techniques to enhance their self-confidence level. They have been participating 
in various stage performances & competitions like singing, dancing; acting
 recitation etc. apart from academic education imparted to them according to 
mental skill sets. Based on the above details of our institution we are furnishing 
the list of Managing Committee for your perusal and subsequent approval of the 
same.","27,Anjangarh,Birati,Kolkata-51 Anandamoyee handicapped School KolkataNorth 24 Parganas West Bengal 700051",8697174636,1. This is a great way of helping the millions displaced in war and armed conflicts. ,3,
,,,,,,2. I was able to learn new skills for my new career as a social worker. There were many seasoned therapists that I was able to network with and learn from. To understand the environment of a state funded agency this is the place to be.,4,
,,,,,,,,
15,Global Vision NGO,,"        Global Vision founded with an aim to provide monetary, medicinal and social help to the needy cancer patients, Global Vision, the Cancer Care NGO has helped more than 1500 such patients since its formation in 2009 and has donated a lot for the treatment.
Global Vision’s registered office is located in Thane, Maharashtra, India. Global Vision has 8 operational offices in India and more than 300 volunteers working for the different activities for the organization such as Fund Raising, Creating Awareness about cancer by presenting Seminars and via print media like News bulletins, Pamphlets, Posters, Banners, conducting Detection Camps, organizing Road Shows, Rallies etc. [Click Here to Know More]
Then donors who help Global Vision by providing financial support are benefitted as they got income Tax Exemption on 50% of the amount donated. Want to Donate then Click Donate.
Our efforts in this field have been recognized by many national as well as state level awards. Global Vision is a nationwide, well organized Cancer Care NGO dedicated to eliminating cancer as a major health problem by preventing cancer, saving lives of patients suffering from cancer, through funding, education, awareness, advocacy and service. More than 100 Hospitals from allover India send patients to Global Vision for assistance","35/36, 103, 1st Floor, Chicago Avenue, Opp. KFC, Cunningham Rd, Bengaluru, Karnataka 560052
",080 2235 4777,1. I work as an assistant in global vision NGO. Global Vision help needy cancer patient by providing funds for the treatment and I am proud to work with such a organisation.,3,
,,,,,,2. Global Vision is a Cancer Cancer NGO helping needy cancer patitient..every one should be a part of such organization for a good cause.,3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
16,ICARE Eye Hospital & Post Graduate Institute,,"The Founder, Dr. Sushil Choudhry set up the Ishwar Charitable Trust from the Insurance money Rs. 5000 received by him after the death of his mother. The ICARE Eye Hospital & Postgraduate Institute was set up in 1993 to provide comprehensive quality ophthalmic services of International Standards to all sections of the society at an affordable cost.
 
Dr. Sushil Choudhry completed his MBBS, from Maulana Azad Medical College in 1965; he topped the University in MS (Ophthalmology) in 1969, graduating with distinction. He set up his own private practice in 1973 after working as a Lecturer from 1971 to 1973. The Ishwar Charitable Trust was set up by Dr. Choudhry in memory of his mother in 1982, to reach out to the needy sections of Society. Under the aegis of the Trust, he founded ICARE Eye Hospital & Post Graduate Institute in 1993 at Noida which works to eradicate avoidable blindness in the states of Western Uttar Pradesh, Haryana, Delhi and Rajasthan. His aim is to reach quality ophthalmic services to the doorstep of the patient irrespective of his ability to pay, which are unable to get treatment form large Government facilities because of overcrowding and share apathy for the poor.","Dr. Sushil Choudhry 
E-3A, Gautam Budh Nagar Sector-26,- 
Noida - 201301,India",91 120 2477600,1. It is good to have social work where i get peace of mind by serving poor and needy people in their need.,4,
,,,,,,2. Their was an panelist where 3 interviewer was their and asking the question related to the general knowledge about the Goan rivers and then few question about the NGO work and experience.,2,
,,,,,,,,
,,,,,,,,
,,,,,,,,
17,Ankur Yuva Pratisthan,,"Ankur Yuva Pratisthan works in the area of Aged and elderly, Animal 
Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, 
Biotechnology, Children, Civic Issues, Dalit Welfare, Disability, Disaster 
Management, Education & Literacy, Environment and natural resource 
management, Food and Agriculture, Health & Nutrition, HIV/AIDS, Housing
 and shelter, Human Rights, Information & Communication Technology (ICT) 
, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro 
Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, etc. 
The organization works towards the promotion of sustainable development.","Kamble Pradipkumar Dashrathrao At-Post- Shekapur Tq-Kandhar Dist-Nanded, Kandhar, Nanded - 431714",2466- 223089,"1. Ankur Yuva has recently initiated an intervention in Mirzapur district for promotion of primary education amongst the out of school girls, especially those who have never been to the schools. ",3,
,,,,,,"2. Ankur Yuva has come to the solemn conclusion that none but the community knows best what is needed for their betterment. It is the community itself, with the right motivation, can accomplish impossible feats in the field of developmental action. It is the people from urban slums and villages, who have inspired Ankur to adopt this slogan:",3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
18,J Watumull Global Hospital & Research Centre,,"J Watumull Global Hospital & Research Centre was commissioned on October 24, 1991, to offer medical services through out-patient clinics, ward admissions, outreach health care, medical research, vocational education in paramedical streams and the promotion of health awareness in district Sirohi.
 
Founder trustee and managing trustee BK Nirwair is a visionary leader with the ability to foresee and prepare to meet the needs of people. His drive, dedication and meditative qualities has motivated many employees of the hospitals at Mt Abu and Abu Road into forming long-term and lifetime associations with the GHRC trust. Watumull Global Hospital & Research Centre and its connected institutions at Abu Road, Vadodara and Mumbai have been rendering yeoman services to society, especially for the poor and needy. From preventive cardiology to diabetes awareness and treatment, immunizing children against polio to blood donation drives, eye surgeries to conducting focused health interventions for Mt Abu and its precincts, all of these and other activities have been very useful to society.","Dr Partap Midha 
Delwara Road- 
Mount Abu - 307501,India",2974 238347,"1. I have not gone there, but I want to go there. I know, this hospital is one of the best hospital. I recommend to all to go there. I met Dr. Shrimant Sahu.",4,
,,,,,,"2. Great service to humanity, not only taking care of body but a complete care mind and soul as well.
Devoted Deity like doctors really doing selfless service. ",4,
,,,,,,"3. In Global hospital I feel homely environment which is run by God grace , blessings , best wishes of great souls . They are serving the people holistically . Great job .....",3,
,,,,,,,,
,,,,,,,,
19,ANTARDHONI JANASEBA PROTISTHAN,,"Antardhoni Janaseba Protisthan is a non-governmental organization (NGO). The 
registration number of the organization is: 179340?(02-04-2012)?. It was established
 in the year 2012?. Antardhoni Janaseba Protisthan works in the area of Human Rights,
 etc. The organization works towards the promotion of sustainable development. The
 organization operates in West Bengal, India.","130/31,
P.G.H.Shah Road,P.O. Jadavpur,
Kolkata
Kolkata
West Bengal
700032",9903907629,"1. beautiful organization working to serve the parentless people of our nation by providing various basics ammenties to them,which help them to grow and stand on there feet.",4,
,,,,,,"2. Pros
security, easy going, no work load
time pass
Cons
no specific time
no personal space
any thing can happen any time",2,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,Kalinga Institute of Social Sciences,,"Looking at the dismal scenario of the tribal Education in Orissa, it was realized that education is the best way to empower the tribal people that constitute about one quarter of the total population of Orissa. It started in the year 1993 in a very small building with only a few students
 
Dr.Achyuta Samanta’s Passion is to promote the education among the poor and hitherto backward tribal children in the state and country at large in order to empower them and provide level playing field. He is a educationist by qualification and profession but in short span of 17 years he has developed KISS into a temple of learning for poor tribal children of Odisha and neighbouring states under free residential environment, with special emphasis on harnessing their vocational skills as part of the standard academic curriculum. According to him Poverty breeds illiteracy and Literacy eradicates poverty. Also giving education to the deprived is like giving eye sight to the blind.","Dr .Prashanta Kumar Routray 
KIIT Campus -10- 
Bhubaneswar - 751024,India ",674 2725386,1. The best place to learn so many things. Environment is good.,4,
,,,,,,"2. Cons
Regional language is given preference",3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
21,ANTI ADULTERATION CONSUMER SOCIETY NAGPUR,,"e local unit of Food and Drug Administration (FDA) has fined many an erring companies for breaking certain norms over the last few days. All these fines came about after the authorities received complaints from NGO Anti-adulteration Consumer Society.
Restaurant Krishnum Foods was fined 10,000, a grocery shop in Jafar Nagar was asked for a fine of Rs 8,000, HP Gas had to pay Rs 6,000 while BPCL was fined for Rs 2,000.
""The restaurant had served molten ice-cream. As per the norms, ice-creams can not be served in molten condition as there are higher chances of them going bad when they are not solid. The store in Jafar Nagar had sold flour with some with some scrap in it,"" informed consumer rights activist Mohammad Shaihd Sharif.
The society had started investigating the transport vehicles of the LPG companies following some complaints against them. It was found that the vehicle of BPCL did not have any weighing machine, which is mandatory as per the FDA norms so that the gas cylinders can be measured while being delivered to the consumers. The other vendor had a machine but its license was an expired one.","Anti Adulteration Consumer Society
Sitaduild
Nagpur
Nagpur
Maharashtra
440012",8796121213,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22,Madhya Pradesh Viklang Sahayta Samiti,,"Fr. Thomas C.T was committed to do meaningful work to minimize problems of neglected sections of society. The assessment of the ground situation revealed that though there were many different sets of people who were neglected, the disabled persons were the most neglected section. Even among these children with mental and physically disabilities were the most among neglected. Hence, the organization was started to work for them.
 
The founder Fr. Thomas C.T., a special educator and social worker, led the organization since its inception till June 2013 i.e. for 16 years. The Present head Fr. Tom George, a special educator and social worker, was assistant director for the last 7 years and took over the headship in July 2013. They believe Less Ability Does Not Make Anyone Less Human Being.","Father Jose 
Sector 9, Jawahar Nagar- 
Ujjain - 456010,India ",91 734 2511031,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
23,APEX EDUCATION SOCIETY DHULE,,"APEX EDUCATION SOCIETY DHULE IS INTO WOMAN/STUDENT TRAINING,
 HEALTH/NUTRITION LIVELIHOOD,SHG/IGP,YOUTH,WATER/CLIMATE,SLUMS
,WELFARE,OTHERS,
INF&COMMUNICATION,POPULATION,HUMAN RIGHTS AND WELFARE. IT IS
 SITUATED IN DHULE, MAHARASHTRA","111/B NATESHWAR SOCIETY
WAKHARKAR NAGAR
DHULE
Dhule
Maharashtra
424001",2562-699111,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
24,Mumbai Mobile Creches,,"Our founder Meera Mahadevan, set up the first Mobile Creches in 1969 as a spontaneous response to the neglected children she saw on the site of Gandhi Cetenary Exhibition, in Delhi. From that rudimentary shelter, the journey began towards gaining entry into other construction sites and ensuring basic minimum care for the children of the vast migrant labour force belonging to the poorest strata of the society. In 1972, a branch was set up in Mumbai called Mobile Creches, Mumbai. From the 1st April, 2007, we began separate operations as Mumbai Mobile Creches. This was for administrative simplicity.
 
Vrishali Pispati worked as General Manager (Finance) with MMC before taking over as the Chief Executive Officer on March 1, 2010. She feels that it is deeply ironic that the children of the very construction workers who produce the symbols of economic development – the tall commercial and residential skyscrapers are denied the right to participate in and enjoy the fruits of development. MMC plays a very important role in providing stimulation, care, nutrition, education to the children on sites, enabling them to enjoy a childhood that they deserve.","Debdatta Purkayastha 
1st floor, Abbas Building, Mereweather Road, Colaba.- 
Mumbai - 400001,India ",22 22020869,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25,ARMAAN FOUNDATION,www.armaanfoundation.org,"Most citizens have some kind of hopes o dreams. hopes are 
""desires accompanied by expectations of fulfillment, they are 
one that give promises to the future"" However, these dreams
 are many times thwarted by many obstacles along the way ,
Living with a disability is easier when you got the precise
 information and resources.' The Armaan Foundation provides 
people with different abilities the answers, the resolution, and 
the association they need for living life to the fullest.Armaan
 Foundation is a development organisation of public repute ,
assisting society development organisation of public repute ,
assisting society development inventiveness since by building 
up their aptitude through Skill-based development programmes
 and support. We are working for the cause of human 
development focusing on the ' Differently-abeled ' sections of 
the society in the human race,'Armaan' also assists people 
with disabilities by providing job training and placement services.","Model Town, Ludhiana-141002, Punjab, India.",98888-24697,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
26,ASHADEEP MULTIPURPOSE SOCIETY,http://www.ashadeepindia.org/,"Ashadeep - an organization founded in 1996 in Guwahati works in the field of mental 
health in North-East India. Ashadeep's focus lies on psychosocial rehabilitation for
 persons with mental illness.
There is a dismal lack of Mental Health related services in the North Eastern states of 
India. Ashadeep through its work addresses the impact and associated burden of
 mental illness for the affected individual as well as his or her family thereby moving
 beyond a mere clinical and medical intervention for persons with mental illness. Ashadeep works to provide rehabilitation and care at the level of the family and the community. Working with the families of persons with mental illness has also led Ashadeep to work with women who are homeless and mentally ill, with the ultimate aim of reintegrating them back with their families. This has extended and given a new dimension to family interventions in the field of mental health.","Piya Apartments, 
Kanaklata Path, Lachitnagar 
Guwahati 781 007
Assam, India",9422106850,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
27,Association for Environment and Development Research,,"AEDR is a non-profit organisation with the objective of conducting and 
disseminating studies relating to India's economic and social development 
with special reference to their interaction with environmental factors. It is a 
venture of a group of academics, -journalists and environmentalists with a 
special interest in studies relating to environmental and developmental issues. 
In particular AEDR will conduct studies relating to :","1467 Poorvanchal,JNU
New Delhi, Delhi-110067
India",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
28,AYUSH SOCIETY,http://www.ayushsociety.com/,"AYUSH SOCIETY is a Non-Government Organization working for Persons with Special Needs. The Society was established on December, 2007 in Delhi and it was registered as a Non-Government Organization (NGO) under ‘the Society Registration Act, XXI of 1860’ when a group of like-minded people came together for noble cause with the common objectives of serving the persons with disabilities living in Delhi and NCR. The Society believes in the holistic approach to work with persons with various disabilities.","C-278/1, Lane No. - 11, 
Bhajanpura
Delhi - 110053",9911228787,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
