S. No.,Category Name,Description(Minimum 80 words),Singer/music Director/Director,Reviews,Rating,Images
,,,,"3.  Everything about this app is great, but it needs to have the feature of sorting the downloaded songs. Please fix that.",5,
,,,,"4. Add gapless music playing..and equlilizers..improve song quality..sound is crackling due to more treble..""GAANA"" app is best.",3,
,,,,,,
6,Soundcloud,"Millions of people use SoundCloud to listen to music and audio for free.
Wherever you are. Whatever you’re doing. The SoundCloud app lets you hear more.

More hip hop. More rock. More electronic. More classical. More house, jazz, audiobooks, sports…
 Discover new and trending music you won’t find anywhere else
- Find new favorites with suggested tracks based on your likes and what you listen to most
- Listen to your favorite tracks and artists from a variety of genres, countries, and artists
- Connect with friends and your favorite artists to hear what they share
- Personalize your listening experience by liking favorite tracks to listen later 
- Create playlists for parties, workouts, on the way to work, or whatever mood you’re in
- Play, pause and skip tracks from lock screen 
- Sign in or register with Facebook, Google+, or your email

Upgrade to SoundCloud Go, and in addition to the SoundCloud you enjoy for free, you get to:

- Play all tracks
Access a newly expanded catalog of everything from Grammy-winners to garage bands

- Listen offline
Listen to your favorite tracks anytime, anywhere, with or without a signal

- Go ad-free
Listen without any ad interruptions",,"1. Only three things I want that would lead to a five star review are better uploading from mobile controls on par with the browser version, being able to see comments, and the ability to repeat a playlist or a single track like through a browser.",4,
,,,,"2. Spam accounts cannot be blocked or reported from within the app, can only be done via website. Visiting site on mobile device constantly opens app. Need to clear permissions to log in via browser and report. May not be clear how to do this for less savvy users meaning pornographic spam goes unreported. Very bad practice. Needs sorting.",1,
,,,,"3.  I only use sound cloud for podcasts. I wish I could download the content. Since I can't, I've found it struggles to stay in the same spot or not crash entirely when I pause the podcast and switch audio devices (vehicle Bluetooth to headphones to other Bluetooth speakers). It is very annoying. If they could fix that one thing I'd be much happier.",3,
,,,,"4. For some reason the audio sounds like it's bitcrushed on my mobile device pretty severely, and not just on my own device. About 90% of my friends have the same issues, and I presume it's those who have an updated version of the app. Curious to know if this is a side effect of trying to improve streaming? Please fix, audio quality was bad before and now it's unusable.",2,
,,,,,,
7,Jiomusic,"JioMusic provides truly Unlimited Ad-Free access to HD music in your favorite language without any barriers. Listen & Download your favorite HD Songs without any additional charges unlike other music apps. Listen it anytime, anywhere.
From latest Bollywood songs to hard to find Golden Classics, JioMusic comes packed with 1Cr+ songs covering across all languages, genres, moods and artists.
With a never before True HD Quality music (320Kbps) and beyond, enjoy a vast catalog of music library spanning across languages like Hindi, English, Telugu, Tamil, Punjabi, Malayalam, Kannada, Bengali, Gujarati, Bhojpuri, Odiya, Urdu, Assamese, Carnatic, Hindustani and more for all occasions.",,"1. This app dose not work at all, it looks good before we use it regularly, this is not working at all , quality is also very bad. In short this application is totally useless.",1,
,,,,"2. Whenever I download the song it plays only in the app and I open it in the file manager folder it shows in video format and can't play in the other music player , I really very disappointed . Please fix this surely I will rate it 5.",2,
,,,,"3.  It is better music app but not best as it does not have all the latest songs , for eg. songs of rustom . It needed some improvement like ,in searching songs etc. Thank you",3,
,,,,"4. we can select only one language and the home screen will display only songs from that language. give us the option to select multiple languages, and Recommendations on home screen should be from all the languages that we selected.",3,
,,,,,,
8,Hungama,"Hungama Music App provides free & unlimited access to listen to music online or download Songs & music videos from Bollywood, Hindi, English, Tamil, Telugu, Punjabi & many other Indian languages.
Diwali Offer, Get 50% off on Hungama Pro Subscriptions till October 31st 2016.

Plug in to the sound of music & entertainment unlimited - wherever, whenever. Get the free Hungama Music App and pocket over 3.5 million songs & music videos. From the hottest Hindi songs and the coolest Regional hits to chartbusting English songs; from the latest trending artists to beloved retro favorites and remixes – we have songs to match your every mood! Our adaptive streaming feature guarantees you a stellar music experience as you can enjoy your selection of music and videos seamlessly without any buffering.",,"1. Have paid version features are not great when compared to other similar apps. Also you can't find all album songs here.. Only pros is cheaper compared to others. UI definitely needs lot of improvement. Not user friendly. To access Offline playlist you need to enable data, once you see playlist then you can go offline...",2,
,,,,2.  I have purchased 3 month hungama pro. I can't download or play some songs i really want to listen. I have reported the same from application also. My name is Muhammed Niyas. Iam going to uninstall this app. So guys please dont buy plans from this app. I am going to use any other app,3,
,,,,3. The Hungama Music PRO Subscription is awesome and it comes with 1 year free with Xiaomi Device purchase which is good..!!,4,
,,,,4. The downloaded songs are not been saved in phn memory hence can't move the song to sdcard / memory chip,3,
,,,,,,
9,Google Play Music,"Google Play Music provides free, ad-supported radio for what you’re doing, how you’re feeling, or what you want to hear. Instantly start radio stations based on songs, artists, or albums, or browse by genre, mood, activity, decade, and more. Bring your own music collection with you by uploading 50,000 of your own songs; then listen to them across Android, iOS, and the web, for free.
Subscribe to get on-demand access to millions of songs and download anything to listen even when you’re not connected - or sign up for the family plan on Android to provide access for up to six family members for one low price. Plus, subscriptions come with membership to YouTube Red, so you can enjoy YouTube ad-free, in the background, and offline.",\,1. Love everything especially recommendations. Lost a star as version 7 homepage really is an astonishingly ugly mess. All other screens have space around art. Homepage just smashes busy random imagery together and has no sense of consistency whatsoever.,4,
,,,,"2.  The radio feature is very good, but when you try to make your own playlists and change the order of songs on them, it usually reverts or partially reverts it when it syncs. I've reordered songs and literally seconds later, before my very eyes they switch back to how they used to be. Needless to say this is very frustrating. (I'm using a Galaxy S6 Edge)",3,
,,,,"3.  Inability to switch payment options after 3 month trial, and lack of support from Google is irritating. Sometimes lags when skipping tracks.",3,
,,,,"4. Why its the album art zoomed in? It makes it look low quality. And there is also a bug with the unknown album folder on the desktop version that says ""couldn't connect to station"".",3,
,,,,,,
10,Pandora,"Powered by the Music Genome Project®, the most comprehensive music analysis ever undertaken, Pandora gives you personalized radio that plays what you love and continually evolves with your tastes.
• Create personalized stations from songs, artists, genres, or comedians
• Browse hundreds of curated genre stations to find the perfect match for your mood or activity
• Create an account and listen on desktop, mobile, TVs and home devices, or in your car
• With Pandora Plus™ (formerly Pandora One), you can listen ad-free, skip and replay all you want, and enjoy your favorite stations offline — all for only $4.99/month (new Plus features are currently only available for our US listeners).

Note: Pandora may use large amounts of data, and carrier data charges may apply. For best results, we recommend you connect your device to trusted Wi-Fi networks when available",\,"1. The widget doesn't work Been using the app for years, never really had issues with it until recently. I can place the widget on my home page but it remains blank. Doesn't show whats playing or any controls to skip on thumb up or down, etc. Just a blank blue widget. It has Been like this for months, i was hoping it would be fixed but still hasn't. Tried moving the app back to internal storage, uninstalling, reinstalling, clearing cache, removing and replacing widget, restarting phone but nothing worked.",3,
,,,,"2.  I love pandora, even with the ads, but it has been stopping literally after every song, no matter what station I'm on, and just freezing. It's not the Internet. And I deleted the app for a couple of months and just uploaded it again and the same thing is happening! Help!!",2,
,,,,"3.  I keep trying to get away from Pandora but I always find myself coming back to it. Pandora's algorithms for finding similar music and creating stations just seem fat superior other services. However, if Pandora expanded its services to match those of Spotify our Google music than Then it would be number one. Also an option to exclude live tracks would be the best!",3,
,,,,"4. The app does what the free app is supposed to do, so that is fine with me. However I had to move the app from the primary location in my streaming folder to the last location. The non descript splat from a giant blue seagull just couldn't be tolerated as a folder icon on my home screen. . . Think about what your companies core purpose is, think about why you called yourself Pandora, sleep on it and then get your brief together and get an artist to do a worth while icon.",3,
,,,,,,
11,Last.fm,"Millions of people use Last.fm every day to track the music they listen to from their favourite services and power their music & event recommendations.
Tracking all of the music you listen to via your Android device has never been easier.

This update includes the much requested support of Soundcloud, plus the following services:

- Spotify
- Deezer
- Rdio
- Google Play
- And many more!

The app also allows you to:
- View your personal artists, albums and tracks charts
- 'Love' tracks",,"1. This app is a joke Ugly ads. Everything in settings opens up a window in my phone's browser, which would be bad enough but the website is awful too. Plus there's no way to turn off the persistent notification, so now I have to have it taking up space on my notification bar. I just want it to run in the background.",1,
,,,,"2. It scrobbles only the first song played. What is the point, then? Actually, this behavior occurs whenever a bluetooth speaker is used - only the first song is scrobbled. If the music is played on the phone itself or with headphones, no problem. Unfortunately, I use bluetooth speakers A LOT - by my bed, in the car, on my bike. For the record, I am using a Samsung Galaxy S7 phone, android 6 (Marshmallow), scrobbling from Google Music app.",3,
,,,,"3. Minimal, Lazy Effort Really, all it does is scrobble. You can't even hit the love button on a recent track unless it was recorded by the app itself. It really serves no purpose for me as a lot of music players will scrobble on their own. And it doesn't even do that well either - there are toggles to disable for certain players (e.g. Spotify), disabling does nothing and you end up with double scribbles anyway. Frustrating. Will be installing a third party app instead...",2,
,,,,"4. Finally redesigned Gingerbread era design is finally dead! Nice update but could still use more features from the website. So many times clicking something kicks you out of the app and into the browser. Plus Last.fm is supposed to be a social website, but there is no social aspect to this app.",3,
,,,,,,
12,iHeartRadio,"iHeartRadio lets you access the world of music and radio in one simple app. Download today to listen to top radio stations, music, news, podcasts, sports, talk, and comedy shows.

iHeartRadio is easy to use, and best of all, free.
The Best Live Radio Stations & Podcasts from Around the Country
iHeartRadio has the most popular AM and FM radio stations from cities across North America like New York, Los Angeles, Phoenix, Denver, and even Mexico City.

Catch music countdowns and live talk shows from top radio stations like 106.7 Lite FM, Z100, KIIS FM, KTU 103.5 & Power 105.1 FM in NYC, 104.3 myFM in Los Angeles, and Wild 94.9, which covers the Bay Area from San Francisco to San Jose.

Are you a Podcast junkie? Check out new or past episodes of your favorite podcast and news shows like Ted Talks, On Air with Ryan Seacrest, The Breakfast Club, Bob and Tom in the Morning, Elvis Duran, and The Bobby Bones Show.",,"1. I've used iHeartRadio religiously for a few years now. On several different phones from HTC's to Samsung's on the Galaxy platform; I am now exclusively an iPhone user and have had iHeartRadio on a 4s, 5, 5s, 6, and today I purchased a 7 plus. iHeartRadio was the FIRST app I downloaded. As always- functions perfectly! I am listening now as I post this rating. I saw a few people saying it's no Pandora... And thank God for that! VERY VERY rarely do you have any commercials and that's only at app start up!",5,
,,,,"2.  It has a great variety of my favorite stations & songs. Plus, it has a wonderful variety of music made for relaxation & sleep. The sleep mode was what turned me to iHeartRadio in the first place. Also, I like that when you favorite a song, the app does a pretty good job of finding similar songs. However, there are a few annoyances:1.I can't group my fav songs into categories.2.I can't pick what songs I want to listen too.3.Certain stations I liked sometimes won't play.4.Sometimes a fav station gets deleted.",3,
,,,,"3.  I like the app, however, I HATE when my notification tray gets cluttered. That being said, I just received a notification from this app recommending a new station. I checked my settings and push notifications are disabled so I have no idea how to stop these kind of annoying advertisements from pushing to my notification tray!",2,
,,,,"4. Not thrilled with newest update Used to effortlessly be able to jump over to my saved favorite channels once I tired of certain artist genre. Now instead of taking me to the station it takes me to an artist bio +top hits list page. If I needed that, I wouldn't have the artist as my favorite already!! How about you move the profile to ""options"" or something (the ... on the station page). Also, the new I love radio blurb says I can now get ABC news + TED Talks. Excited, I searched your channels; they aren't there!",2,
,,,,,,
13,Radio Mirchi,"A free radio player to listen to Hindi Radio Mirchi 98.3.
Note: This app is an internet radio player and is not affiliated with this or any other radio station. This app does not host the channels being played and is not responsible for the content or language used in the channel.
All reasonable efforts are taken to ensure that the channel used in this app is free for public consumption, but in case we mess up and end up using your non-public channel, please write to us to remove the channel/player.",,1. Fake because It is Not Radio Mirchi It is not Radio Mirchi. It is like mp3 player only.👎👎,1,
,,,,2. Wrong description of app It's not radio mirchi... It's just like a mp3 player... Dev. team kindly correct the name of app...,1,
,,,,3. Excellent application Few suggestions are. On and off timer. Themes change with gfx type...,4,
,,,,4. Good Very good app its esy useful and clear saund quality...,4,
,,,,,,
14,POW-Star Plus,"Most awaited show of Star Plus POW Bandi Yuddh Ke started from 7th November. POW is a star-studded show and makers have already announced that it will be a table turner for Indian Television. Most of the stars acting in Badi Yuddh Ke have worked in Bollywood movies. Director Nikhil Advani is famous for films like Kal Ho Na Ho. First Episode of POW Bandi Yuddh Ke was an emotional feast for television viewer. Actors like Sandhya Mridul, Amrita Puri, Purab Kohli, Satyadeep Mishra and Manish Choudhary are convincing and impressive. Series is based on 2 Indian army soldiers who were kept prisoners of war during 1999 Kargil war in Pakistan and they escaped.",,,,
,,,,,,
15,"Bhabhi Ji Ghar par hai
 - &TV","The show is set in Kanpur and revolves around two neighbouring couples. Manmohan Tiwari is a successful undergarment businessman, whose wife Angoori is a simple and naive housewife. Their neighbour, Vibhuti Narayan Mishra, is an unsuccessful and unemployed insurance policy agent, often called ""Nalle ji"" (unemployed), who spends his time doing household chores. His wife Anita is a headstrong, smart and modern lady who has also been crowned as a beauty queen. She is the breadwinner of the family, and her husband's unemployment and laziness irritate her. As the men devise schemes to impress each other's wives, they pull each other down and create problematic situations.",,"1. The title, the Concept, Actors, Story line, all are perfectly directed! This is the first time in Indian television, this kind of a perfection is shown which must be highly recommended and appreciated by the critic/reviewers. Paglet - Saxena Ji , Happu singh, vibhuti,2 londe, Tiwari are doing their great work in this serial who never seen in any other pathetic series which meant to be the first time these guys are working on for this splendid series BJGPH and doing the tremendous work as compared to any comic serials/roles. they should be awarded for the same , If not , this will be shame for them who is getting awarded for their pathetic work like working with Ekta Kapoor's Sas Bahu kind of serials!!! Good luck for this series! Do promote BJGPH folks and offer what they deserve! Cheers!",4,
,,,,"2. After long time there is one must watch Hindi serial. I really enjoy this show. The cast, the direction, the script, the dialogues, the acting everything is great in this show. This show needs more recognition what it deserves. The trademark dialogues like ""Sahi pakde hain"" , ""I like it"" are well timed. The Angoori Bhabhiji's Bhojpuri lines inspires us also to use it. The two day story also works well. The lead actors as well as supporting actors are very talented. Each character is very well written. What works well is the comedy is very well timed. Anita's modern women character is delightful. Angoori's innocent nature is loved by all. Vibhooti's style is hilarious, Tiwari's expressions are funny. Among supporting characters Ammaji and Saxena are very interesting. Hats off to the production house for pulling out such a great show...",4,
,,,,"3. First time ever Indian television house has launched a serial which is full of entertainment and more importantly any age group/anyone can watch this with whomever they want to watch. I love the cleanliness it has in its quality, plot, dialogs, story acting. Far away from vulgarity. It really fills my heart with joy and laughter with each single episode i watch. Talking about writer and cast, each cast is doing a great and wonderful acting. Hats off to writer for Putting all their effort to make us laugh without involving any vulgar or dual meaning jokes. All characters has their own identity because of which we love their acting and very much different from each other. Not to forget to mention the dialogue delivery of all the 4 pillars of this show ""Anguri bhabhi, Anita jee, Ladoo k bhaiya and Barbhooti jee"". Thanks a lot Shashank Bali.",5,
,,,,"4. I am one of those people who never care to appreciate anything easily. However, I must admit this show has really helped me to relieve my stress levels after days long work. Everything is so perfectly done, it doesn't make you feel the show is ""over done"" for sake of comedy. The story, script, dialogue, acting are so perfectly timed. Every character has its own unique style. The UP accent of Daroga, innocent bhojpuri of Anguri, 2 londes, Saxena, Tiwari, Gori mem, Ammaji, Vibhuti and recent character of Vibuti's character are so well written and implemented. Every one has done so great job. Even watching repeated broadcast is always a delight! The story writing team is always bringing new ideas into the show to make it worth watching without a miss.",4,
,,,,,,
16,Naagin- Season 2 Colors,"The fantasy fiction show is produced by Balaji Telefilms and is telecast as bi weekly torture, every Sat-Sun at 9 pm on Colours. Like its many of its predecessors in this genre have enlightened us, there exists such a creature as the Ichadhaari Naagin. One moment a snake, another a woman, or a man, this shape shifting terminator is the Uma Thurman of the reptilian world. Predictably we only encounter them when they are out to get revenge for the snakicide of a family member. Fasssscintaing....The show must be awarded for creating the most stilted one dimensional characters of recent times. Protagonist Ritik Raheja (Arjun Bijlani) is a rich businessman (yawn) who has to get married before he turn 25 to avoid a glitch in his horoscope. Otherwise engrossed with his phone and laptop, Ritik's heart warms instantly to snake woman Shivanya ( Mouni Roy) posing as a poor maid at his palace. His Father, Ankush Raheja (ManishKhanna) gets facials, pumps iron and manhandles his wife to seem scary. Mommy Yamini (Sudha Chandran) spends time with priests and astrologers trying to appease them into forgetting her husband's snake killing past. Arjun Bijlani tries in vain to make his character interesting, and while the man is easy on the eye there is very little he can work with. Sudha Chandran tries earnestly to breathe life into her role but her flashlight bindis are more interesting than her role. Manish Khanna father is suitably evil looking and has rather reptilian eyes but needs to be told that acting cool or scary is not acting. The saaging supporting cast includes drinks a lot sister, nerd cousin, and other folks who don't contribute in any way to taking the story forward. In the middle of this mess is another Naagin (Adaa Khan) who serves as a red herring in the first couple of episodes but it's not quite clear whom she has her fangs set on. There is no emotional connect with any of the main cast and 5 episodes into the show, one can't wait for the killing to start to save us from watching their expressionless faces.",,1. We didn’t want to watch karanveer as Rocky….he. Will be replaced by someone..And most of all Arjun is the right choose …please cast Arjun as Rocky….,1,
,,,,2. Arjun bijlani and mouni roy is best for nagin 2 So plz cast him and make it sime twist.already zee tv present yaron ki barat which give a competition to it,2,
,,,,3. Karan is not correct choice for naagin2.he is not looking as good as arjun in his role,2,
,,,,,,
17,Shakti Colors,"The story is about two sisters, Soumya (Rubina Dilaik) and Surbhi (Roshni Sahota). Soumya is not liked by her father and grandmother, but is adored by her mother. Surbhi gets all the attention from her father. Soumya is a calm and quiet girl, but Surbhi is a fun-loving and loquacious girl. A trouble-maker, Harman (Vivian Dsena), breaks into Soumya's house while running away from some goons. While there, Harman develops feelings for Soumya.

Harman learns that Surbhi did called the goons and decides to kidnap her but kidnaps Soumya by mistake. Harman releases Soumya the next day, but all the villagers accuse her of sleeping with Harman. To avoid insult to both the families, Harman's father orders him to apply sindoor on Soumya's forehead and Harak Singh inform to the villagers that he will bring his daughter-in-law together with him after the married done with full of rituals. Nimmi, Soumya's mother, is shocked to see that Soumya is married to Harman.

Soumya's mother worries that Harman isn't the right match for Soumya because he might go against her after knowing Soumya's truth. Despite the protests of Harman's mother and Soumya's father and grandmother, Soumya and Harman get married. During the wedding Soumya's grandmother tries to poison Soumya, but she recovers. After the failed poisoning, Soumya's father tries to poison her with a poisonous snake disguised as a snake. Surbhi finds the snake and replaces it with bracelets, and Soumya remains unaware of the attempt on her life. Harman called Soumya as Gulabo and some romantic moments happened between Harman and Soumya.

Later Soumya is shocked to learn that she is transgender and attempts suicide, but Harman saves her. When Harman makes a romantic advance, Soumya reveals that she is transgender and that she loves Harman. Harman becomes enraged and Nimmi begs Harman not to reveal Soumya's secret. Soon Harman and Soumya become friends. However, Preeto finds out Soumya's secret and has Soumya exiled to a transgender society. Meanwhile Harman and Surbhi try to find Soumya as they do not know that she is in a transgender society. Meanwhile Harman realize that he has fallen for Soumya.",,1. i really love this serial . n this new jodi.... both are made for each other.. No .1 serial this is,4,
,,,,"2. It''s nonsense story ,I dnt why the ppl are watching it.. No sense at all .. Love story with transgender like seriously dude.",2,
,,,,"3. Trangender has nothing to do with the genitals, rather it''s to do with whether a person feels that they have the or female behaviour and characteristics that society claims are essential for a person to be identified as being male or female. if a person feels they do not conform to these standards set by society and don''t feel like the gender they are on the outside then they may choose to adopt the characteristics of the gender they feel they relate to the most. For example a male may feel more feminine then masculine and hence may want to be identified as a female instead. But these idiots and you guys yourselves have no idea about all the terminology. I understand kinner is a umbrella term for all the sub-categories but why use the term transgender to translate the term kinner in to english when that is inaccurate especially considering the way the story is portraying transgenders.",4,
,,,,,,
