S. No.,Category Name,URL if available,Description(Minimum 80 words),Location,Contact,Reviews,Rating,Images
3,Punakha Suspension Bridge,,"Punakha Dzong is also known as the palace of great happiness. 
The elegantly designed palace is the current administrative centre of 
Punakha District. Constructed in 1637 by Ngawang Namgyal the 1st 
Zhabdrung Rinpoche. The palace is the second oldest and second 
largest dzong in Bhutan. Located at the confluence of the Pho Chhu 
and Mo Chhu, Punakha Dzong is known to be the most picturesque 
Dzong in the Country.","Punakha Dzong, Punakha 13001, Bhutan",,"1. We got taken to the bridge by our guide. We walked across the
 full length of the bridge and back. Amazing views on a clear day. 
Good fun and not the average bridge you get at home",5,
,,,,,,"2. Just a normal suspension bridge not very special. Since is 
not too far from the Punakha Dzong, no harm to visit and try to 
pass but nothing to see at the other side. Just take a shut and 
comeback. ",4,
,,,"
",,,"3. The Suspension Bridge can be avoided in the summer 
season as its nothing too exciting. Since its close to the 
Punakha Dzong it can be done but only if you have nothing
else to do! ",2,
,,,,,,,,
4,Rajasthan,,"Pushkar has a magnetism all of its own – it’s quite unlike anywhere 
else in Rajasthan. It’s a prominent Hindu pilgrimage town and devout 
Hindus should visit at least once in their lifetime. The town curls 
around a holy lake, said to have appeared when Brahma dropped a 
lotus flower. It also has one of the world’s few Brahma temples. With
 52 bathing ghats and 400 milky-blue temples, the town often hums 
with puja (prayers) generating an episodic soundtrack of chanting, 
drums and gongs, and devotional songs.","Ajmer District, Pushkar 305022, India",9462750383,"1. Pooja for peace of Acestoral departed soul was highly 
satisfying , Handicraft Shops and Items near lake and temple are 
good for window shopping ",5,
,,,,,,"2. Dont take any offers from ""priests"" here, After blessing process, 
they asked to donate $100 per family member, they even checked
my wallet because i told him i didnt have that much money. ",1,
,,,,,,"3. Pushkar lake, very tranquil, a must is a boat trip around the 
lake, trust me, you will not be disappointed. ",4,
,,,,,,"4. It's ok ok type lake. Nothing much doable there also the place is
 full of crowds all time. The hygiene is also not good around the 
hotel. ",3,
,,,,,,"5. Another place in India ruined by beggers disguised as ""holy 
men"" asking for 11000 rupees per family member. Just don't be
 stupid and don't take the flowers. Nice to look at though ",2,
,,,,,,,,
5,"Ross and Smith Island Beach
Andaman & Nicobar",,"The most famous sight to behold at North Andaman is without a 
doubt the majestic twin islands of Ross and Smith connected by a 
thin fifty meter long sand bar. This silky white sand bar descends
 inside the sea at times of high tide and surfaces up again during low
 tide. The bar divides the shallow swimming area on one side and 
some amazing snorkeling on the other. The warm waters are crystal
 clear and the untamed virgin beaches are the most picture perfect 
ones you will see on the islands. The best part is that the beach is
 seldom crowded and most of the time you can cherish the whole
 sight by yourself. Tropical forests surround the beach and the inner 
islands are a preferred place for nature trail hiking. Smith Island has
 limited facilities; spacious bamboo huts with plenty of shade, 
changing rooms and toilets can be found.","Aerial Bay, Diglipur",9007742360,"1. These twin sisters up north Andaman is an awesome sight to 
behold. Easily approachable from the jetty, find a nice shady spot 
and relax watching the time standstill between blue sky and 
shallow green ocean! ",4,
,,,"
",,,"2. Mostly tourist visits Ross Island, Jollybouy Island and Havlok. 
But without visiting Ross & Smith Island, your Andaman trip is 
incomplete. You can say paradise in earth. ",5,
,,,,,,"3. Its one of the best place in earth to visit. Located in the North 
most part of Andaman & Nicobar Islands. Can get to this island 
by a fiber boat from Aerial Bay, Diglipur. An island with white sand 
lying between two islands...Good place for snorkling and taking 
sun bath....njoyed being there again and again. ",5,
,,,,,,,,
6,Kaziranga National Park Assam,,"Kaziranga National Park is one of the prides of India. Kaziranga is the 
place where the nature unwinds its pristine form in millions of hues, 
where wildlife roams fearlessly, where man and nature meets together.
 This prestigious national park of India is situated in the north eastern part 
of the country in the district of Golaghat and Nagoan in the state of Assam. 
Let’s go back to the beginnings of the twentieth century in the year of 1904 
when this beautiful wildlife sanctuary was created, and about 68 years later
 it was declared as National Park by the Government of Assam. It is 
noteworthy to mention that it is the host for two third of world’s population 
of endangered Indian one-horned rhinoceros and also declared as a tiger
 reserve in 2006, holding the highest density of tigers in the world. The park
 is also a domicile for large breeding inhabitants of Elephants, wild water 
buffaloes and Swamp Deer. It has been declared as a forest reserve in the
 year of 1908 and wildlife sanctuary in the year of 1950. Covering an 
approximate area of 430 square kilometers, Kaziranga was declared as a
 World Heritage Site by UNESCO for its unique natural environment in the
 year of 1985. Apart from this, the park has been identified as an important
 bird area by Birdlife International Society as it is a home to various species 
of migrating and inhabitant birds. Situated on the banks of river Brahmaputra,
 the sanctuary is blessed with the four different kinds of vegetation. The 
Tropical moist mixed deciduous forests and tropical semi-evergreen 
forests is marked by the 41% of the tall grasses, 29% open jungle, 11% 
short grasses and rest is covered with the rivers and the water bodies. Its 
breathtaking array of flora and diverse fauna adds value to the scenic 
beauty of the park. ","Golaghat and Nagaon district, Guwahati 
110092,  Assam India",887652279,"1. Dense, huge and beautiful are all the words that come to mind.
Travel to the Park is also mesmerising",5,
,,,,,,"2. Your visit to Assam would be incomplete if you do not plan a
visit to Kaziranga National Park for sighting of the famous one 
horned rhino. The animal of assam. ",5,
,,,,,,"3. We stayed in green village for 2 nights and had taken up 4
 rooms for a family of 10.
The room size was good, however there was no heater provided. 
The floor had collapsed in one of our rooms and there was water
 leakage issue. We were not given a new room instead.
The service was also not good, we had to go to the hotel/front 
desk multiple times to get things done.
The only saving grace was that the hotel arranged for a last 
minute elephant tour and a big dance for us
",2,
,,,,,,,,
7,Amritsar Golden Temple,,"The Golden Temple Amritsar India (Sri Harimandir Sahib Amritsar) is not 
only a central religious place of the Sikhs, but also a symbol of human 
brotherhood and equality. Everybody, irrespective of cast, creed or race 
can seek spiritual solace and religious fulfilment without any hindrance. 
It also represents the distinct identity, glory and heritage of the Sikhs. To 
pen-down the philosophy, ideology, the inner and outer beauty, as well as 
the historical legacy of Sri Harimandir Sahib is a momentous task. It is a 
matter of experience rather than a of description. As advised by Sri Guru 
Amar Dass Ji (3rd Sikh Guru), Sri Guru Ram Dass Ji (4th Sikh Guru) 
started the digging of Amrit Sarovar (Holy Tank) of Sri Harmandir Sahib in 
1577 A.D., which was later on brick-lined by Sri Guru Arjan Dev Ji (5th Sikh 
Guru) on December 15, 1588 and He also started the construction of Sri
 Harimandir Sahib. Sri Guru Granth Sahib (scripture of the Sikhs), after its 
compilation, was first installed at Sri Harimandir Sahib on August 16, 
1604 A.D. A devout Sikh, Baba Budha Ji was appointed its first Head Priest.","Golden Temple Rd, Amritsar, Punjab 143006",0183 255 3957,"1. Amazing place to visit. The temple is so beautiful. It is insanely 
clean and people are ultra helpful in nature. A must see for 
everyone. Highly recommended to go sometime in the night, 
spend the night inside the temple and leave the next day morning
after the sunrise view",5,
,,,,,,"2. Such a divine place. Its an extremely beautiful temple with good
 facilities. Free drinking water and also free food to everyone. The 
place is very clean and the people are very nice. The most 
peaceful environment I've ever been in !!",5,
,,,"
",,,"3. Its a divine world inside the Gurdwara Sahib. You feel the 
difference out there, so peaceful, away from stress and other 
materialistic things which one can leave behind while entering the
 Gurdwara Sahib. Must see once in life.",4,
,,,,,,"4. Beautiful and peaceful place. You have to cover your head with 
any cloth before entering. And most important THE LANGAR 
which is really amazing to see how they cook so large amount of 
food for people and how they serve it. Food is very tasty in Langar 
and free of cost. Toilets are very very clean in temple. Good 
experience. :)
",5,
,,,,,,,,
8,Sun Temple in Konark,,"One of the most stunning monuments of religious significance, a true 
masterpiece of architecture proudly stands in the form of Sun Temple at 
Konark. A culmination of Oriya architecture, the temple is a wonderful 
place as the language of stone defeats the human language here. Built in 
13th century by King Narasimhadeva, the temple is designed in the shape 
of a colossal chariot with seven horses and twelve wheels, carrying the 
sun god, Surya, across heavens. Located at a manageable distance from 
the seat of Lord Jagannath, Puri at 35 kms; the temple is around 65 kms 
from the capital city of Bhubaneswar. The name of Konark temple is an
 amalgamation of two words--Kona meaning corner and Arka meaning
 the Sun. That is to say that the Sun god worshipped in Ark Kshetra is 
called Konark. Legend says that after killing the demon Gyasur, Lord 
Vishnu placed his belongings at several places to commemorate the 
victory. With His conch at Puri, Disc in Bhubaneshwar and Mace in 
Jajapur; He placed the Lotus at Konark.","Konark, Odisha 752111",06758 236 821,"1. A historic Sun temple, built in the form of a chariot. Carved out 
of stone, with intricate stone work, it is a architectural
 technological and scientific wonder. The place is much ruined 
now and has no devotional ceremonies and is under restoration.
 Entry is on chargeable basis. Shoes are allowed, still 
photography is free. If on a sunny/rainy day, an umbrella is of
 much help. Taking a guided tour is recommended.",4,
,,,,,,"2. Visited Orissa during summer 1985. Visit to Sun Temple at 
Konarak is still green in our memory.  Architectural marvel. 
Engineering science at glorious heights even ceturies ago.",4,
,,,,,,"3. Lot of architecture is demolished already. But inspite    of that it 
is awesome. Don't miss  to see time on a sun dial. Needs better 
maintenance. Hot most of the  time in a year. ",3,
,,,,,,"4. Historic temple with magnificent work.  Surrounding is also 
nice and clean. But be aware of bees in the old temple. It can 
cause serious damage",3,
,,,,,,,,
9,Dwarkadhish Temple Dwarka,,"Depending on who you are, what you are about to read can seem anything 
from myth to legend to reality. Turn back the cosmic clock, let your 
imagination plummet suddenly into 1500 BC, and you may begin to 
recreate in your mind’s eye, a city of gold – Dwarka, the mesmerizing 
kingdom of Lord Krishna. Ranchhodrai, as Lord Krishna is affectionately 
called in Gujarat, came to Dwarka from Mathura to build his new kingdom 
where he would later spend a significant part of his life. Located at the 
western tip of the Saurashtra peninsula, this town enjoys remarkable 
importance in Hindu lore. It is the only place considered both one of the 
four principal holy places (char dham), as well as one of the seven ancient
 towns (sapta puris) to visit. For this reason, millions of pilgrims and 
historical scholars have come here over the centuries.","Dwarka, Gujarat 361335",02892 234 080,"1. You have to walk past the narrow lanes which resembles old 
world to reach the spot. The temple complex houses a few tiny 
sanctums along with the main one of Lord Krishna. A good walk 
of 2 kms from the bus stop gives you ample opportunity to feel the 
nostalgia of one of oldest cities in the world.
",5,
,,,,,,"2. The temple is visited by us in month of july.The temple is very 
old and beautiful.The temple is always filled with devotees.You 
can also take bath in the Gomti river which is flowing near the
 temple.You should also taste Prasad after the Maha Aarti. ",3,
,,,,,,"3. This is the first temple that made me write such a negative 
review. I myself being a bhramin by caste, was amazed to see 
that when you enter a temple why do you get a bunch of bhramins 
ready to explain the temple history without even talking about 
Dakshina. There is a big reason behind it. The Pujaris are more 
interested in the Daan which counts in thousands. They ask you
 for doing this daan or that daan pricing in multiples of 2500/- 
They literally brainwash you saying it will help you in this way or
 that. So being religious is good but asking for so huge daan is
 not good.
",3,
,,,,,,"4. The place is known for the temple Bhagwan Krishna. Its one 
of the really sacred places of India. Located near the railway 
station of dwarka and transport to the temple is easily available. 
But, the cleanliness is not up to the mark. Must visit place if you're
 a believer.",4,
,,,,,,,,
10,Rashtrapati Niwas Shimla,,"The Rashtrapati Niwas, also known as Viceregal Lodge, is located on the 
Observatory Hills of Shimla, Himachal Pradesh, India. It was formerly the 
residence of the British Viceroy of India. It houses some of the most 
ancient articles and photographs going back to the times of the British rule
 in India. The Viceregal Lodge was designed by British architect Henry Irwin
 and built in the Jacobethan style during the regime of Lord Dufferin. Its 
construction started in 1880 and was completed in 1888. Lord Dufferin 
occupied the lodge on July 23, 1888","Boileauganj, Shimla, Himachal Pradesh 171005",,"1. A place of immense beauty and peace. You can get up their 
either by car or walking. I recommend walking because you get to
 experience the wondrous nature all around you. Normal people 
aren't allowed entry inside the building which sucks but is 
understandable because scholars study there.",3,
,,,,,,"2. The viceroy used to live here during British rule. One of most 
magnificent British era building. You can see lots of ancient things
 that hold immense historic value. There is a museum in 
compound also. Since Independence the premises is used as 
campus for Indian institute for advanced studies ",4,
,,,"
",,,"3.Beautiful architecture ...awesome interior Wooden work. Good to 
know it's natural internal fire rescue provision.
",2,
,,,,,,,,
11,Green Valley Shimla,,"Green Valley Home Stay is a Private Residence, located in the close 
excursions like Jakhu Temple (8 km), The Ridge (7 km), Christ Church 
(7 km), The Mall (7 km), Shimla State Museum (9 km), Kufri (10 Km) and
Naldera (12 km). The Home Stay offers basic facilities like travel desk and
parking facility. The homely ambience makes their guests to feel like 
home. The Home Saty facilitates well-appointed rooms with standard 
amenities like cable television, mineral water, balcony/sitout, room heater
 and bathroom amenities with toiletries. The Home Stay is situated 28 km
 from Shimla Airport, 9.1 km from Shimla Railway Station and 8 km from
 old ISBT.","Bhattakufer, Sanjauli, Shimla, Himachal 
Pradesh 171006",094183 07943,"1. It is one of the best place I have seen in Shimla. All hills are 
covered with green trees. It is also known as Hassan valley by
 locals. There are many hawkers with good food. You can take 
pictures in local traditional dress over there. While going to Kufri 
from shimla after dhali this place comes. ",4,
,,,,,,"2. Not cost effective clarks- stay don't eat I was not comfortable 
because of bad bathroom ",3,
,,,"
",,,"3. Good Not a nice place to stay Budget hotel, it is just average",2,
,,,,,,,,
12,Kufri Shimla,,"Situated near the Himalayan range, Kufri is a picturesque hill station 
situated 20 km from Shimla in Himachal Pradesh. Founded in 1819 by the 
British, the popularity of the hill station as a tourist spot grew only in the 
last few decades. Kufri derives its name from ‘Kufr’ which means lake.
 Especially popular among trekkers, Kufri is the starting point of treks to 
Manali, Shimla, Rewalsar and Fagu among others. Kufri, Shimla and 
Chail form the Golden Triangle of Himachal Pradesh. The cool and 
pleasant climate, along with stunning natural beauty, makes Kufri a 
perfect summer getaway.","Shimla, India",9318192601,"1. only in snow u must go , otherwise go to chail,, in snow u may 
find some winter sports as well ,",2,
,,,,,,"2. Quite an adventurous 3km ride for family members. Not much 
to see after claiming up...beware of cheaters...have not seen any
 apple garden except few trees. Nice experience on the horse ride ",3,
,,,,,,"3. Highy overrated place. Nothing to do except horse riding which 
is over crowded. One cannot think of walking as the roads erre full 
of mud. Only saving grace is the adventure park where one can
 enjoy some really good rides. ",3,
,,,,,,"4. Nothing is there to visit. There was only a temple. The way to 
go to Kufri is very risky. Not satisfied. No cultural activity nothing
 to visit. ",2,
,,,,,,,,
13,Solang Valley Manali,,"Solang Valley, locally known as Solang Nullah, is renowned as the 
preferred location for adventure activities in Himachal Pradesh. For those
 who love the rush of adrenaline; there is no place better than Solang in
 Kullu Valley to indulge in parachuting, paragliding, skating and zorbing. S
olang Valley derives its name from a village called Solang and Nullah 
means water streams from mountains.Located 16 km from Manali in north 
India, it lies on the western bank of the Beas River. It is 8500 feet above 
mean sea level. Solang is not just about adventure activities. Its lush
 greenery, apple orchards, snowcapped peaks and lakes attracts lakhs
 of visitors from India and abroad every year.","Lies on the western bank of the Beas River, 
Manali, Manali Tehsil, India",9816008077,"1. If you are visiting manali then solang valley is must visit place.
 Its around 14 km away from manali city. In solang valley you can 
enjoy snow fall and ride of rope way. ",4,
,,,,,,"2. I visited this with my wife. I found it average. Might be the case 
that I visited it after my road-trip from Manali-Spiti valley. No 
snow during this time. Only paragliding activities and ropeway to
 top of the valley. ",3,
,,,,,,"3. During summer best place for outdoor activities like 
paragliding etc. and in winter you can enjoy skiing . do not need 
stay here. ",2,
,,,,,,"4. We were a little upset with Solang Valley but not because there
 was nothing but because all adventure sports done there are 
done in snow. during rainy season we could not enjoy them but 
definitely a nice place to enjoy the sports I would say ",3,
,,,,,,,,
14,Dargah Shariff Ajmer,,"Hazrat Khwaja Moinuddin Chishty Dargah of Sufi saint at Ajmer, Rajasthan,
 India. It is old saying that people who visit Ajmer Sharif and pray with pure
 faith and loyalty at his Dargah will free their soul. Hazrat Khawaja 
Moinuddin Hasan Chishti is also known by different names as, Khawaja
Gharib Nawaz, “Sultan-Ul-Hind”, Khwaja Baba, Khwaja Gharib Nawaz 
Ajmeri, Khwaja Sahib, Khwaja Saheb, Khwaja Ajmeri Saint Moinuddin 
Chishty. The Dargah Khawaja Gharibnawaz ( R.A) has several tombs, 
buildings, Daalaans and courtyards are of Mughal architecture.","Doula House , Hashmi Chowk, Gate No.4 , 
Dargah Sharif, Ajmer, Rajasthan 305001",099284 18797,"1. Place is peaceful if you can ignore the crowd. I liked the gazzal 
which was a prayer song. Be sure to have cash in hand. No at 
some near by. And you need to pay inside for them to add your 
name in a register. You can pay what you can.",4,
,,,, ,,"2. Dargah Shariff - one of the most important Sufi Dargah of the 
world. If one visits Ajmer, one must go and pay respect to the 
Dargah. It is said that Akbar the Great got the blessings of Gharib 
Nawaaj and was blessed with a son.Big vessels donated by 
Akbar and Jahangir are used even now for cooking. Thousands 
of devotees across religion visit to seek His blessings.
",4,
,,,,,,"3. I went Ajmer for dargah darshan. My visit was good. I 
recommend not to take luggage or too many belonging to dargah
 as this place is very crowded and have to walk a lot. Try to buy
 things in limited way there. Do not contact beggars there, they
 will not let you walk properly.
 Good thing is that it is very near to Ajmer railway station, so you 
can visit and come back easily. Not forget to enjoy kawwali in
 dargah premise.",4,
,,,,,,"4. This place, the resting place of a Sufi Saint, is one of the 
holiest destinations for people of different faiths. It is said that 
even the Mughal emperor Akbar came here to offer prayers and 
ask for the blessing of a son to be born to his wife. It is historic 
and coming here gives one a feeling of peace.",5,
,,,,,,,,
15,sai sansthan shirdi,,"Shri Sai Baba is revered as one of the greatest saints ever seen in India, endowed with unprecedented powers, and is worshipped as a God incarnate. (SAI meaning Sakshaat Ishwar) - GOD THE ABSOLUTE. This mysterious Fakir first made his appearance in Shirdi as a youth and remained there throughout his long life. He transformed the lives of those who met him and continuously is doing so even after his Samadhi in 1918 for those whose hearts are touched by his love and who pray and call him at any emergency in life for his blessings.Baba stated that his mission is to “Give Blessings” without discrimination to all, and he proves it in myriad ways by healing the sick, saving lives, protecting the vulnerable, averting accidents, granting offspring, facilitating financial gain, bringing people into harmony within themselves and with each other and, above all, in effecting the spiritual evolution and transformation of those who came to him as the last resort. Baba is, as one of his contemporary devotees put it, “The embodiment of the supreme spirit lighting the sadhakas (seekers') path by his every word and action”. To his devotees, Baba is nothing less than a God. This has been a matter of experience and not imaginary. “I look at all with an equal eye”","Tal. Rahata, District Ahmednagar, Shirdi, Maharashtra 423109",02423 258 500,"1. Its a best chance to book accommodation in shirdi through a 
official website . it was giving the best facilities for devotees . 
thanks to shri  sai  baba sansthan  .",5,
,,,,,,"2. Nice accommodation but worst people.... Just checked in 3rd
floor....no lift also and stairs is very hard to climb for an elder...
 And authorities also arrogant and aren't concerned about the
 people..... they will listen to only localities... Need to change 
management....its a shame such a big organization run by such 
nitwits",1,
,,,"
",,,3. healthy cheap food and clam place,3,
,,,"
",,,,,
16,Thajiwas glacier sonmarg,,"Snow peaked Thajiwas Mountain loomed over Sonamarg, and made it 
more picturesque. The Thajiwas Glacier is located 3 kilometers from 
town. It would not be wrong to consider it to be among the most 
accessible glaciers as one can easily walk to its base or reach there by 
hired ponies.Thajiwas Glacier is just half an hour walk from Sonamarg
 town. A motorable road takes you to the base of the glacier but the more
 popular mode of transport is by ponies. Like most tourists places, pony 
rides are overpriced at Rs. 500 or more for to and fro ride to the Glacier. 
The Thajiwas Glacier recedes as the summer progresses. By the time 
of my trip, it had dwindled in the vast valley and was confined to the gentle 
slopes, where the mountain begins. There were few camps and 
makeshift shops at the valley. Higher further, the Gujjars made their camp
 on either sides of the valley.","Forest Block, Jammu and Kashmir 191203",,"1. The first thing you notice in Sonmarg is the ice glaciers 
standing tall. Reaching there is either through pony ride or taxis.
 Lot of bargaining happens so pls be ready when you negotiate. ",4,
,,,,,,"2. Its a Paradise.... Loved thz place like anything... A wonderful n 
unforgettable experience.. Beware of guides n other people...
 Too much of bargaining... Right away from horse riding... 
Sledging... Sking... So beware..",4,
,,,"
",,,"3. This is a beautiful place to visit. We were lucky to find snow n 
experience snowfall during our visit. You can either trek or rent a
 horse for the travel to this valley from the drop off point. I do not 
recommend going by local taxi, cause its a beautiful walk / horse
 ride. You will have to bargain with the horse renters but be polite. 
Bundle up in warm clothes, it can get pretty nippy here. ",3,
,,,,,,"4. You have to reach after riding a horse for about more than an 
hour. But the location is just mind blowing. The perfect bollywood 
shooting location. ",3,
,,,,,,,,
17,Bangkok Thailand,,"Bangkok, Thailand’s capital, is a large city known for ornate shrines and 
vibrant street life. The boat-filled Chao Phraya River feeds its network of 
canals, flowing past the Rattanakosin royal district, home to opulent Grand 
Palace and its sacred Wat Phra Kaew Temple. Nearby is Wat Pho Temple
 with an enormous reclining Buddha and, on the opposite shore, Wat 
Arun Temple with its steep steps and Khmer-style spire. Traditional teak 
buildings like the grand Vimanmek Palace and the residence-turned-
museum Jim Thompson House contrast with the city’s skyline of modern
 high-rises. Shopping options range from the upscale mega-malls of the
 Ratchaprasong district to the thousands of tiny stalls at overflowing 
Chatuchak Weekend Market. The city’s renowned food scene spans
 traditional street-cart snacks – spicy, sour, sweet and salty – to upscale
 international restaurants. Bangkok is also known for its exuberant nightlife, 
with venues ranging from swanky rooftop lounges to basic backpacker
 bars and nightclubs of the notorious Patpong district.",Bangkok Thailand,,"1. The place is a bit small, but very well done up.",2,
,,,,,,"2. Bangkok is indeed vast and it really takes more than 5 nights to 
explore Bangkok. There are many attractions to go to. Food is 
very tasty. There are also malls with goods of lower prices. Taxis
 are everywhere and also tuk tuk. We would be going back to 
Bangkok, definitely. ",3,
,,,"
",,,"3. Nice place cheap shopping for clothes but the downside is 
many Thais don't know how to speak and understand the English 
language",4,
,,,,,,"4. to relax and see the spiritual palace. Brings you calmness 
and allows you to reflect on yourself for a moment. ",4,
,,,,,,,,
18,Lakshman Jhula Rishikesh,,"Lakshman Jhula, the famous hanging bridge across Ganga, is about 3
 km from the main township of Rishikesh. It is 450 feet long and is 
situated at a height of 70 feet from the river. As per mythological tales, 
once Lakshman, the younger brother of Lord Rama, crossed river Ganga 
at the same site where the bridge now stands. At that time, there was 
only a suspension bridge, made of jute. After this incident, the bridge 
came to be known as ‘Lakshman Jhula’. With time, the jute bridge 
eroded and a new iron bridge was built along the same path in 1939.","Tapovan, Rishikesh, Uttarakhand",,"1. The place is easy enough to get to with a decent collection of
 pretty decent eating places/ cafes and shops selling curios. A 
one time visit only though. ",3,
,,,,,,"2. The lead in to the jhula was filled with dirt. We personally 
disliked the bike riders on the jhula. It was a bad experience 
overall but since it is a holy place it needs more care and 
cleanliness ",3,
,,,,,,"3. Laxman jhula as seen from atop is a busy crossing to go 
across the mighty Ganges. Beware of the monkeys ready to 
snatch any food if not carefully.
There are some temples and nice eating joints across.
",4,
,,,,,,"4. Laxman Jhula is where spirituality is peddled to tourists. It is a 
vibrant part of Rishikesh with lots of yoga studios, reiki classes, 
massage parlours, ayurveda treatment centers etc. So if you are 
into those things head to Laxman jhula.",5,
,,,,,,,,
19,Baga Beach Goa,,"Baga a seaside town in Bardez, Goa, India. It comes under the jurisdiction
of Calangute, which is 2 km south. Baga is known for its popular beach 
and Baga Creek. It is visited by thousands of tourists annually. Baga Beach
 is a popular beach and tourist destination in North Goa. Baga is
 located at the north end of the contiguous beach stretch that starts from 
Sinquerim, Candolim, leads to Calangute and then to Baga.","Baga, India",7870402209,"1. Beach is very happening due to the nearby nightclubs...
restaurants in beach keeps the beach lively whole night",4,
,,,,,,"2. Baga beach is one of the best beaches around North Goa and
never fails to impress. The best part are the shacks by the beach 
where one could spend the entire day hogging on good food and 
beer. Water sports such as Jet Ski, Banana boat and Para-
sailing are a must-try. Found it a bit more crowded this time though. ",3,
,,,,,,"3. Persistant beach sellers, litter in some places (lack of care of 
the environment, in places).",1,
,,,,,,"4. Beach is beautiful. Only complaint is the jewelry girls who 
come running when you get to the beach. Love that there are 
spots you can walk miles without very many other people. ",3,
,,,,,,,,
20," Ram Mandir, Bhubaneswar Orissa",,"A gorgeous temple located in the heart of the city, Ram Mandir in Bhubaneswar is known for housing beautiful images of Lord Ram, Lord Lakshman and Goddess Sita. The temple is characterised by its fiery colours and large spires which that can be spotted from afar. This temple celebrates a lot of festivals, specially Ram Navami, Vivaha Panchami, Janmashtami and Dussehra. Drop by in the evening and revel in the beauty and the tranquility of Ram Mandir. You may also meditate in the pristine marbled inner sanctum and soak in the divine aura of the temple. Travelers may step out of the temple and munch on the yummy street food available just outside the main entrance. The Dahi Bada and Bada Dalma are a must try.","Patia, Bhubaneswar, Odisha 751024",,"1. A nice beautiful, calm and peaceful Hindu religious shrine . It's
 beautiful in the evening to sit on the large stairs and enjoy the 
cool breeze.
",4,
,,,,,,"2. Ram Mandir is well known to all. The best time to spend at the 
temple is the ""Sandya Arati"".It gives a different feeling and 
pleasure. ",4,
,,,"
",,,"3. Located at the bustling and busy street of Kharvela nagar but
 still gives a very peaceful atmosphere. Must visit temple after
 Lingaraj and Iskon Temple. Visit during aarti time. Anna 
Prasad is available. ",5,
,,,,,,"4. A place to taste peace. Peace to evaporate stress, a must 
visit location in odisha. Just sit anywhere inside or outside the 
area and listen to the chanting of bhajans and kirtans. ",4,
,,,,,,,,
