S. No.,Category Name,URL if available,Description(Minimum 80 words),Reviews,Rating,Images
5,Fan heater,,"A fan heater is a heater that works by using a fan to pass air over a 
heat source (e.g. a heating element). This heats up the air, which
 then leaves the heater, warming up the surrounding room. They can
 heat an enclosed space such as a room faster than a heater without 
fan, but, like any fan, create audible noise.Electric fan heaters can be
 less expensive to buy than other heaters due to simple construction. 
The fan carries heat away from the device, which can be made smaller 
without overheating. The relatively small amount of electricity used to 
operate the fan is partly converted to additional heat, so that efficiency 
is not a problem. All heaters without external ventilation are nearly 
100% efficient (minus a relatively small amount of energy used to
 operate the fan, indicator lights, etc.), meaning that almost all energy 
input goes into the room as heat. However, if the efficiency of 
generating the electricity is taken into account, the overall efficiency 
decreases significantly.
Electric fan heaters are more expensive to run than fuel powered
 heaters due to the cost of electricity. This makes them best suited
 to occasional use rather than as regularly used heat sources.
Externally vented non-electrical (combustion powered) fan heaters 
lose some heat to the outdoors, and are thus less efficient. These 
are used where it is necessary not to release the fumes of 
combustion into the heated area.","1. If you're looking for a cheap fan heater for occasional use to top up your rooms heat, or to warm up a small space. This basic model  has 74.7% of users giving it 3 to 5 stars and 46% of all users giving it the top 5 star rating (not bad for a £7.50 cheapie). It's  a robust little 2Kw heater with 2 heat settings, adjustable thermostat and a safety cut out to prevent overheating. Nicely styled, but can be a little louder than more expensive models. I have one in my tool shed and it doubles up as a nifty little fan in the summer. Originally bought as a stopgap thinking it was so cheap I would  throw it away, it has been in my tool shed for 5+ years now and I use it every winter. Not recommended for use as your main space heater or use for prolonged times.",3,
,,,,2. Dimplex are the worlds leading manufacturer of heating appliances and have been making heaters since 1973. All their heaters are BEAB approved and Dimplex heaters have stood the test of time.,3,
,,,,"3. Convection heaters are low maintenance so that you will not need to worry about the heater needing to be serviced regularly. They also don’t need to be refilled.
As most convection heaters don’t need a fan, they are very quiet and don’t produce an unpleasant noise. They are great for all rooms of the house including the bedroom because of this.",2,
,,,,"4. As convection heaters warm up on the outside as well as the inside, they become hot to touch. You should be wary if there are children or pets in your home and you may need to install a safety guard.
Convection heaters take a while to heat up so if it’s instant heat that you want, these space heaters are probably not for you.",2,
,,,,,,
6,Clothes dryer,,"A clothes dryer, tumble dryer, drying machine or dryer is a powered
 household appliance that is used to remove moisture from a load 
of clothing and other textiles, usually shortly after they are washed in 
a washing machine. Clothes may also be dried by natural 
evaporation and, if available, sunlight on an outdoor or indoor 
clothes line or clothes horse.
Many dryers consist of a rotating drum called a ""tumbler"" through 
which heated air is circulated to evaporate the moisture, while the 
tumbler is rotated to maintain air space between the articles. Using
 these machines may cause clothes to shrink or become less soft 
(due to loss of short soft fibers/lint). A simpler non-rotating machine 
called a ""drying cabinet"" may be used for delicate fabrics and other
 items not suitable for a tumble dryer.","1. This dryer is a great for small spaces, but some may find the cycle times a bit long.",3,
,,,,2. This powerhouse has innovative solutions that make laundry feel like less of a chore.,4,
,,,,"3. This model dried a towel load quickly, but also did well with delicates.",3,
,,,,"4. dryer is basic enough to get the job done, but we found some drawbacks in its ease of use.",3,
,,,,,,
7,Hair dryer,,"A hair dryer, hairdryer[1] or blow dryer is an electromechanical device 
designed to blow normal or hot air over damp hair, in order to 
accelerate the evaporation of water particles and dry the hair. Blow 
dryers allow better control over the shape and style of hair, by
 accelerating and controlling the formation of temporary hydrogen
 bonds inside each strand. These hydrogen bonds are very powerful 
(allowing for stronger hair shaping than even the sulfur bonds
 formed by permanent waving products), but are temporary and 
extremely vulnerable to humidity. They disappear with a single washing 
of the hair.
The normal use of a hair dryer
Hairstyles using blow dryers usually have volume and discipline, 
which can be further improved by the use of styling products and 
hairbrushes during drying to add tension, hold and lift.
Blow dryers were invented around the end of the 19th century. The 
first model was created by Alexander F. ""Beau"" Godefroy in his salon
 in France in 1890. The handheld, household hair dryer first appeared
 in 1920. Blow dryers are used both in beauty salons by professional
 stylists, and in the average household by consumers.",1. I love hair dryer. It gets my hair dry super fast and is the most quiet hair dryer I have ever used! Plus its extremely light weight and easy to handle.,4,
,,,,"2. I have fine thick curly hair and always blow dry it straight (usually every 3 days) and have been doing so for years now. I use to own a Parlux 2800 which I loved and would always get smooth straight hair with. Unfortunately after about 10 good years it died a couple of years ago and I could not find the same one so I purchased the Parlux 3200 Ceramic & Ionic Compact- I HATE this hairdryer as it is too powerful and no matter what setting I put it on I cannot achieve the same results I use to get with the 2800- my hair is more frizzy and I have lots of fly aways. I use to be able to run my brush through it a few times to get it straight and smooth but the 3200 dries it out too quickly creating frizz.
Similar opinion? Write a review!
",2,
,,,,"3. I used to own a cheap hair dryer which I rarely used because it blew hot or very hot and dried my hair out. So I air dried and alternated between frizz or limp locks, depending on the weather. Decided to fork out for a Parlux 3200. What a difference! My hair turns out lovely and shiny, with volume and wave without the dryness or frizz. At first I wanted it to be hotter, but now I appreciate how its gentle heat looks after my hair. Loving how lightweight it is, the long cord and the pretty grape colour.",3,
,,,,"4. My hair is a little difficult, I've some terrible hair days and this hair dryer has ionic technology that reduces a lot frizz, enhances shine, repels static and seals the hair's cuticle for an incredibly smooth finish. Allowing me to blow dry my hair quickly but no suffering the regular hair damage from the high heat.",3,
,,,,,,
8,Hair iron,,"A hair iron or hair tong is a tool used to change the structure of the 
hair using heat. There are three general kinds: curling irons, used to
 make the hair curly, straightening irons, commonly called 
straighteners or flat irons, used to straighten the hair, and 
crimping irons, used to create crimps of the desired size in the hair.
Most models have electric heating; cordless curling irons or flat irons
 typically use butane, and some flat irons use batteries that can last 
up to 30 minutes for straightening. Overuse of these tools can cause
 severe damage to hair Curling irons, also known as curling tongs, 
create waves or curls in hair using a variety of different methods. 
There are many different types of modern curling irons, which can vary
 by diameter, material, and shape of barrel and the type of handle. The
 barrel's diameter can be anywhere from .5 in (1.3 cm) to 2 in (5.1 cm).
 Smaller barrels typically create spiral curls or ringlets, and larger 
barrels are used to give shape and volume to a hairstyle.
Curling irons are typically made of Teflon, ceramic, tourmaline, metal, or
 titanium, each of which has its pros and cons. The barrel's shape can
 either be a cylinder, cone, or reverse cone, and the iron can have brush
 attachments or double and triple barrels.
The curling iron can also have either a spring-loaded, Marcel, or clipless
 handle. Spring-loaded handles are the most popular and use a 
spring to work the barrel's clamp. When using a Marcel handle, one 
applies his or her own pressure to the clamp. Clipless wands have
 no clamp, and the user simply wraps hair around a rod. Most 
clipless curling irons come with a Kevlar glove to avoid burns.","1. Modern anti-static technology prevents frizz and fly-away hairs
There Auto Shut-Off feature comes on after 60 minutes
It features a turbo boost that heats up fast",3,
,,,,2. Sometimes smells like burning when it is on,2,
,,,,"3. Leaves hair looking soft and shiny
Hair stays straight for the entire day
The swivel cord adds styling flexibility",3,
,,,,4. The outside sometimes gets very hot,2,
,,,,,,
9,Icebox,,"An icebox (also called a cold closet) is a compact non-mechanical
 refrigerator which was a common kitchen appliance before the 
development of safe powered refrigeration devices. Iceboxes had 
hollow walls that were lined with tin or zinc and packed with various 
insulating materials such as cork, sawdust, straw or seaweed. A 
large block of ice was held in a tray or compartment near the top of
 the box. Cold air circulated down and around storage compartments
 in the lower section. Some finer models had spigots for draining ice 
water from a catch pan or holding tank. In cheaper models a drip pan
 was placed under the box and had to be emptied at least daily. The
 user had to replenish the melted ice, normally by obtaining new ice
 from an iceman.
Commonly iceboxes were made of wood, most probably for ease of 
construction, insulation, and aesthetics; many were handsome
 pieces of furniture.","1.Icebox is the best with macaroons, ice cream, both combined, and more. Very good and even better than cream.
I love icebox and you should too.",3,
,,,,"2. I'm in love with the concept! Who doesn't love macarons and ice cream? I was even more excited to see they offered Ube and Coconut ice cream! 

I ordered an ice cream macaron sandwich with one side churro flavor and another side salted caramel. I don't think I'll order the salted caramel macaron next time. It was really salty for my taste. Perhaps I just ordered a bad combo to go with the Ube ice cream? 

The service was a tad slow but it could be because there was only one worker. I'll have to give this place another try! They also offer boba drinks, too",3,
,,,,"3. I think I must have stumbled across their mediocre menu items. I thought that for sure I'd be blown away by what Icebox has to offer but I guess not :/

The milk shaved snow was pretty awful. I could taste how artificial the milk flavor was and the tapioca balls were too soft. I do not recommend getting shaved snow here. The cookies and ice cream were way better. I recommend the cookies and cream cookie. Snickerdoodle was also good. But, then again, nothing really stands out here. That's why this place gets an average rating from me. Next time I will have to try a macaron ice cream sandwich instead.",2,
,,,,,,
10,Internet refrigerator,,"Internet refrigerator (also known as an smart refrigerator) is a 
refrigerator which has been programmed to sense what kinds of 
products are being stored inside it and keep a track of the stock
 through barcode or RFID scanning. This kind of refrigerator is often 
equipped to determine itself whenever a food item needs to be 
replenished. By the late 1990s and the early 2000s, the idea of
 connecting home appliances to the internet (Internet of Things) had 
been popularized and was seen as the next big thing. In June 2000, 
LG launched the world’s first internet refrigerator, the Internet Digital 
DIOS. This refrigerator was an unsuccessful product because the 
consumers had seen it as unnecessary and expensive (more than
 $20,000) and that the problems solved were obscure. For example, 
many juice bottles are transparent, providing a visual reminder that
 a purchase is needed eventually; vegetable drawers are similarly
 transparent and contain items often removed from packages, thus 
eliminating bar codes for inventory which meant manually keying in
 descriptions and dates. Moreover, the ability of the device to remind
 users of upcoming purchases when there are often multiple buyers
 in a household who communicate informally is not typically 
addressable as a use case","1. I had the misfortune to purchase six LG appliances. In the past two years, I have had 2 repairs to my refrigerator, 2 repairs to my stove, 1 repair to my washing machine, and my microwave had to be replaced. Presently, my products are still under a warranty, however, LG Repair service have refused to come to my house, again to fix my stove. DO NOT BUY LG PRODUCTS!",1,
,,,,"2. We purchased a $2,100 stainless steel French Door LG (Kenmore) model 795.71603.012 refrigerator from Sears just over five years ago. The unit lost its ability to keep the contents cold. Today the technician informed me that it would cost almost $1,000 to replace the compressor, condenser plus repair leaks. In addition, the technician detected a Freon leak at the point where the Freon enters the freezer and that leak cannot be repaired because it's buried in the chassis - the tech suggested it was time to buy another refrigerator.

This is the second time the compressor has failed in five years. My previous GE refrigerator lasted me 14 years when I sold it in working condition. LG refrigerators designs and parts are significantly flawed and need to be addressed. Too many complaints describe the same problem and other complaints describe a substandard product sold as a premium product. Considering the number of complaints, LG (Kenmore)'s attitude of ""too bad you're out of warranty"" should be confronted with ""too bad here's a class action lawsuit"" for selling a flawed, low quality, junk products.",1,
,,,,"3. We purchased a brand new LG refrigerator in July of 2015... At the time I did a fair amount of research and reviews on the brand and the model (French Door, Bottom Freezer), and all reviews were over 4/5 stars. We paid $2400 for a device that lasted less than 18 months. Fast-forward 13 months later (conveniently 1 month after the ""we cover everything"" part of their warranty ended), and the fan began to make a loud noise. A few days later, our fridge was no longer cooling, and on the digital panel we received a fan motor error code.

We had purchased a 5 year major appliance warranty from Lowe's... After 3 repairs in one weekend (each time the fridge went about 2 hours prior to it producing the same error code), followed by a separate service provider who had to order parts (and hasn't returned in over two weeks), we still do not have a working refrigerator. LG is a PoS company producing horrible quality appliances -- each service provider told us to never again buy an LG or Samsung appliance... They're made to last ""up to"" 7 years, but many appliances don't even make it two years at this point.",1,
,,,,,,
11,Manual vacuum cleaner,,"The manual vacuum cleaner was a type of non-electric vacuum 
cleaner, using suction to remove dirt from carpets, being powered 
by human muscle, similar in use to a manual lawn mower. Its 
invention is dated to the second half of the 19th century, when 
patents were granted to inventors in the United States, Britain, 
France, and elsewhere.These household appliances created 
suction by either a pumping action, bellows, a piston being pushed 
up and down a tube, or had a fan driven by the wheels. Most required
 the efforts of two people. The models operable by one person were
 less efficient, but none were truly labor-saving devices or delivered
 the cleaning efficiency they promised. Besides hand-operated 
models, foot-operated models were also available, and according to
 a Swiss source there was even one where the operator sat in a
 rocking chair, rocking back and forth to produce the energy needed 
to create suction.","1. The Dirt Devil QuickPower M0896RED is affordable, performs very well on bare floors, and has a long battery runtime. It also earned high marks from our consumer testers for ease of use and maneuverability. If you're relying on the QuickPower to clean carpets, though, consider another model: In our tests, it left behind dirt and debris. ",3,
,,,,"2. Our top-rated corded handheld vacuum, the Dirt Devil Scorpion has a 7-amp motor, an extra-long 20-foot cord, and a clever quick-flip crevice tool for getting into nooks and crannies. It did a great job wiping out pet hair and erased nearly all of the debris we put down on bare floors. Plus, our consumer testers said it was easy to use and maneuver around a room and this model comes with a whole host of accessories to make it even more user-friendly. The Scorpion is loud, however, and left behind some dirt on our test carpet. ",2,
,,,,"3. Black & Decker's Dustbuster CHV1510 cordless handvac is on the pricey side, but it's easy to use and is a dependable choice for removing dirt and debris. In our tests, it left bare floors and carpets clean and wiped out pet hair. It's easy to push around and comes equipped with a slim nozzle that rotates, a flip-up brush, and a crevice tool. One major drawback: This model is pretty noisy during use. ",3,
,,,,,,
12,Air ioniser,,"An air ioniser (or negative ion generator or ""Chizhevsky's chandelier"") 
is a device that uses high voltage to ionise (electrically charge) air 
molecules. Negative ions, or anions, are particles with one or more
 extra electrons, conferring a net negative charge to the particle. 
Cations are positive ions missing one or more electrons, resulting 
in a net positive charge. Most commercial air purifiers are designed
to generate negative ions. Another type of air ioniser is the electrostatic
 discharge (ESD) ioniser (balanced ion generator) used to neutralise
 static charge. In 2002, Cecil Alfred 'Coppy' Laws was credited with 
being the inventor of the domestic air ioniser in an obituary in The 
Independent newspaper.
Air ionisers have been used to eliminate the occurrence of air-borne 
bacterial infections and to reduce static electricity buildup in electronics.","1. Pros
Inexpensive
They use convenient washable plates

Cons
 Does not do a good job on dust or pollen",3,
,,,,"2. Pros 
They work well for smoke and odor
Smokers: it will work without hepa filter costs
 
Cons
May create harmful or irritating Ozone
Does not help with viruses, mold, or germs",2,
,,,,,,
13,Oil heater,,"An oil heater, also known as an oil-filled heater, oil-filled radiator, or 
column heater, is a common form of convection heater used in 
domestic heating. Although filled with oil, it is electrically heated and 
does not involve burning any oil fuel; the oil is used as a heat 
reservoir (buffer), not as a fuel. Oil heaters consist of metal columns
 with cavities, inside which silicone oil (mostly siloxanes like 
polydimethylsiloxane) flows freely around the heater. A heating
 element at the base of the heater heats up the oil, which then flows
 around the cavities of the heater by convection. The oil acts as a 
heat reservoir, with a relatively high specific heat capacity
(approximately 2 kJ.kg−1.K−1)[1] and high boiling point (approximately 
150–300 degrees Celsius).[2][3] The high specific heat capacity 
allows the oil to store a large amount of thermal energy in a small 
volume, while the high boiling point allows it to remain in the liquid
 phase for the purpose of heating, so that the heater does not have
 to be a high pressure vessel.
Using the oil as a heat reservoir, the heating element heats the oil, 
which remains warm for a long period of time while the heat is 
transferred to the metal wall through convection, through the walls via 
conduction, then to the surroundings via convection and radiation. 
The columns of oil heaters are typically constructed as thin fins, such 
that the surface area of the metal columns is large relative to the 
volume of the oil heat reservoir. A large surface area allows more air
 to be in contact with the heater at any point in time, allowing for the 
heat to be transferred more rapidly from the heater into the room.",1. An excellent heater for a small room.,3,
,,,,2. Good prodcut. Initially heard some abnormal noise but was OK later on. Prompt reply from Usha techs.,3,
,,,,3. Its very comfortable if the heater wid a coil does not suit u.Easy to move.No maintanence.,3,
,,,,"4. It consumes too much of power, built in power cable is too short to find and connect to a 15amps power point in the house, overall not worth of money spent.",2,
,,,,,,
14,Oven,,"The earliest ovens were found in Central Europe, and dated to 29,000 
BC. They were roasting and boiling pits inside yurts used to cook 
mammoth.[2] In Ukraine from 20,000 BC they used pits with hot
 coals covered in ashes. The food was wrapped in leaves and set
 on top, then covered with earth.[3] In camps found in Mezhirich, 
each mammoth bone house had a hearth used for heating and 
cooking.[4] Ovens were used by cultures who lived in the Indus 
Valley and in pre-dynastic Egypt.[5][6] By 3200 BC, each mud-brick
 house had an oven in settlements across the Indus Valley. 
Ovens were used to cook food and to make bricks. Pre-dynastic
civilizations in Egypt used kilns around 5000–4000 BC to make pottery
 Culinary historians credit the Greeks for developing bread baking
 significantly.[8] Front-loaded bread ovens were developed in 
ancient Greece.[9] The Greeks created a wide variety of doughs
 loaf shapes, and styles of serving bread with other foods. Baking 
developed as a trade and profession as bread increasingly was
 prepared outside of the family home by specially trained workers
 to be sold to the public.[8]
During the Middle Ages, instead of earth and ceramic ovens,
 Europeans used fireplaces in conjunction with large cauldrons.
 These were similar to the Dutch oven. Following the Middle-
Ages, ovens underwent many changes over time from wood, iron,
 coal, gas, and even electric. Each design had its own motivation 
and purpose. The wood burning stoves saw improvement through
 the addition of fire chambers that allowed better containment and
 release of smoke. Another recognizable oven would be the cast-
iron stove. These were first used around the early 1700s when
 they themselves underwent several variations including the 
Stewart Oberlin iron stove that was smaller and had its own 
chimney.In the early part of the 19th century, coal ovens were 
developed. Its
 shape was cylindrical and was made of heavy cast-iron. The gas
 oven saw its first use as early as the beginning of the 19th century 
as well. Gas stoves became very common household ovens 
once gas lines were available to most houses and neighborhoods
. James Sharp patented one of the first gas stoves in 1826. Other 
various improvements to the gas stove included the AGA cooker
 invented in 1922 by Gustaf Dalén. The first electric ovens were
 invented in the very late 19th century, however, like many electrical
 inventions destined for commercial use, mass ownership of
 electrical ovens could not be a reality until better and more 
efficient use of electricity was available.
More recently, ovens have become slightly more high-tech in terms
 of cooking strategy. The microwave as a cooking tool was
 discovered by Percy Spencer in 1946, and with the help from 
engineers, the microwave oven was patented.[10] The microwave 
oven uses microwave radiation to excite the molecules in food 
causing friction, thus producing heat","1. Hey Guys, I have been using this item from past 06 months and I should say this the amount spent on this Oven is really worth and it's ideal for a family of four.",4,
,,,,"2. nice and good quality
working performance is nice and fast,
after on line purchase we have no problem in installation and demo for our ifb Microwave Oven
prise is veri good compare to other side and store",4,
,,,,"3. Can we see food cooking inside, is the door transparent enough for clear visibility. The picture here looks like the door is completely dark",1,
,,,,4. No demonstrations and installation support given after calling so many times.,1,
,,,,,,
15,Radiator (heating),,"Radiators and convectors are heat exchangers designed to transfer
 thermal energy from one medium to another for the purpose of 
space heating. The heating radiator was invented by Franz San 
Galli in 1855, a Prussian-born Russian businessman living in St.
 Petersburg.In practice, the term ""radiator"" refers to any of a number
 of devices in which a fluid circulates through exposed pipes (often
 with fins or other means of increasing surface area), notwithstanding
 that such devices tend to transfer heat mainly by convection and 
might logically be called convectors.
The term convection heater or convector refers to a class of devices
 in which the source of heat is not directly exposed. As domestic 
safety and the supply from water heaters keeps temperatures 
relatively low, radiation is inefficient in comparison to convection. 
Convection heaters also work differently to electric radiators in 
that they disperse heat differently. 
The international standard for energy efficient consumer products 
Energy Star recommends placing heat-resistant reflectors between
 radiators and exterior walls to help retain heat in a room.",1. Useful device,4,
,,,,2. Good product ,3,
,,,,,,
